post,tema,topic
 lole decxkitju mwax,tehnologija,NA
kucao pola sata post bukvalno sjebe vukajlija tjatja zashto radish dechko elem san andreas igra igara mod srbija no on sjebe grafiku ovako dicna,tehnologija,NA
e super mod san andreas brzinomer benzini stajes benzinskim pumpama punis benzin a ti nestane benzina jednostavno ti stanu kola ,tehnologija,NA
e dajte predlog smorili gta nid spid kanteri total vorovi slicno a obecao necu igram pes makar vreme nemojte dote slicne zajebancije previse zahtevna zanr cu stavim batman arkham asylum skida al dajte manje mrzelo istrazujem igre dalje ovih osnovnih igra ,tehnologija,NA
 volid basket preporucio nba k odlicna igra tedko dosadi,tehnologija,NA
 volid basket preporucio nba k odlicna igra tedko dosadi pogotovu nekoga koga deres po ceo dan ja,tehnologija,NA
a l pojasni nađem maunt blejd a moram kupim celu verziju probao torent ,tehnologija,NA
pogotovu nekoga koga deres po ceo dan ja rado nemam koga igram my player jurim kuću slavnih ,tehnologija,NA
skidaj svena cepad deri ja glasije možed de ćed boљe,tehnologija,NA
kakvi sims medival tropiko ,tehnologija,NA
a l pojasni nađem maunt blejd a moram kupim celu verziju probao torent probaj stvarno mrzi tražim e skini najc of onor nisi prešo prethodnih puta,tehnologija,NA
skini stronghold kec,tehnologija,NA
tropiko loš igrao ,tehnologija,NA
ja igram world of tanks il sturmovik lord of rings war in north assassins creed revelations a skidam call of duty black ops,tehnologija,NA
ae serious first encounter nek skine pika neta,tehnologija,NA
skini stronghold kec upravo stuko saladina dva ricarda zajedno,tehnologija,NA
nejbor from hel keca dvojku,tehnologija,NA
il sturmovik dzojstik igras full realism volis zajebancije moz skines warbirds dogfights poprilicno realno letenje full real picimo dogfight ,tehnologija,NA
ma džojstik cepam tastaturi loš onako uključim ponešto al full realism a netu igram hypperlobby ja oćeš možemo opikamo edit gledam piratebay warbirds dogfights sidera jednim ličerom link dobar,tehnologija,NA
 il mrzi instaliram windows a mac gore najbolja simulacija hocu ovih dana igrao online a flajt simulatore pacifisticke odskora pucanjem pikam ,tehnologija,NA
skini pes jsl pec igraj po ceo dan,tehnologija,NA
e al warbirds dal servera nekupljene igrice naravno krekovana,tehnologija,NA
 torentsi ovu,tehnologija,NA
 rece cavez igrao fear igrica trenutno igram trojku obavezno ugasim svetlo sobi opicim slusalice kraja zombije americka cod black ops jede zivu decu jedna boljih pucacina pogotovo dobru grafiku,tehnologija,NA
 cu vidim kakav betmen arkam asajlum zatim skidam sirijus sem podsetim asasins krid batalio misije stojim sobi okruzen nindzama naravno odmeh ubise tropiko mecem preporuci slobodno dajte predloga,tehnologija,NA
 los skidrow potrajace al bar probaj licno interesantnija il,tehnologija,NA
e rosoneri odlična igrica jedna retkih moro prođem dahuozbiljnoa igricu obično razvlačim mesecima edit betmena olo,tehnologija,NA
dajte foru skyrima ,tehnologija,NA
stante љudi il sturmovik neta igram nekim dogfajts sraњa,tehnologija,NA
shomy minuta dajte foru skyrima oblivion,tehnologija,NA
stante љudi il sturmovik neta igram nekim dogfajts sraњa lepo organizujemo nadjete ponekog instaliracu windows naucicu igra il gadjamo,tehnologija,NA
lepo organizujemo nadjete ponekog instaliracu windows naucicu igra il gadjamo vidim onoliki sati protraćeni betl of jurop investirani d hoćete stvarno љudski skidate onako gotvanski klik skinite ekspres fajls ja skinuo slucajno ukucam izađe rezultat imesh muziku kliknež daunloud programa igrica skidad bukvalno bitno tacno ukuca traži izbacuje program sugestije dođe gredke kucaњu,tehnologija,NA
 opremu igras realizom max ,tehnologija,NA
ma crna oprema ja tek skidam il dotle picio letackih simulacija simuladoraaimg smedno jednako tedko kontrolisati avion gta nadam il komplikovaniji ,tehnologija,NA
ohoho dzojstika tesko igra kolko probao simulacija avion ponasa poprilicno realno vuce palica gore dole kraja izgubis kontrolu znaci verovatno tastatura kontrolises rep moras znas letis teoriji pucas nekim,tehnologija,NA
e rosoneri odlična igrica jedna retkih moro prođem dahuozbiljnoa igricu obično razvlačim mesecima edit betmena olo jeste ,tehnologija,NA
 il sturmovik vam prvo m patch ukupno zauzima puno mrzi skinite igramo igra džojstika ja igram netu loš a ostali igraju džojstikom,tehnologija,NA
 radi link torent celte a ni čuo igru gledao trejler youtube il briše patos ovom igrom ,tehnologija,NA
il sturmovik a daj meseca obrisao instalaciju ,tehnologija,NA
ja upidem,tehnologija,NA
skinite nfs world online trkamo,tehnologija,NA
 d upishem,tehnologija,NA
team fortress left dead oba dela portal oba dela css ignoriši kažu cod,tehnologija,NA
cold fear neces pokajati,tehnologija,NA
 instalirao nid spid ran igrica grafika perverzno dobra po najboљi nfs toplo preporucujem svima ,tehnologija,NA
ajte kazite igrice fazonu halo a fps tps buducnosti horor,tehnologija,NA
prej singulariti ,tehnologija,NA
au zaboravih napomenem slabijim sistemskim zahtevima neam extra cool komp prej singulariti predlogu igrao pray a singularity moz podrzi,tehnologija,NA
skinuo juče ovog novog betmena igricu ololo probao gleo ytneke klipove zanimljivo,tehnologija,NA
 slabijim sistemskim zahtevima neam extra cool komp možed probad star trek elit fors jeste st zaista dojajne igre rađene kvejk enčinu izgledaju super imad matore anrilove prvog ut mod igrad,tehnologija,NA
ja nedeљa cepala sirius a naivna pucacina igra lanu onlajn probala zarazna totalno tri dana po sati dnevno predla kraj multiplejeru jod jednim igracem oće dodmori mozak napuni dupeta olovom cudovidtima proba zahteva eve pikcrs wjycdwvedcbqsaqbiwbih,tehnologija,NA
možed probad star trek elit fors jeste st zaista dojajne igre rađene kvejk enčinu izgledaju super stvarno lepo izgledaju skinucu ,tehnologija,NA
 igra lanu onlajn probala split skrinu cetiri osobe inace ss obe igre hd verziju nekome smeta mutњikava grafika dobri hrvati sunce im њihovo,tehnologija,NA
aaa zaboravio skinem simu a nikako konacno uradim mess podseti ,tehnologija,NA
 split skrinu cetiri osobe opa bravo dobri rvaći stvarno igrala keca ocajan grafike davno spravљen semica dvojka pristojnija,tehnologija,NA
skinuo juče ovog novog betmena igricu ololo probao gleo ytneke klipove zanimljivo arkam siti ja poterati slaba graficka asajlum stoji upaljen dana jerbo nemam ostale zajebancije sacuvam,tehnologija,NA
ja nedeљa cepala sirius a naivna pucacina igra lanu onlajn probala zarazna totalno tri dana po sati dnevno predla kraj multiplejeru jod jednim igracem oće dodmori mozak napuni dupeta olovom cudovidtima proba zahteva trenutno pikam al keca zaraza igrice,tehnologija,NA
 potpisem upravo skidam il pici torent lud mbs instalirao win dajte dana uvezbam dugme il cemo pucamo,tehnologija,NA
ma dugme ja koristim nekoliko strelice z x rudder space pucanje jačina motora flaps detalji pizdarije kežjual kelte jesam ja jeger ,tehnologija,NA
ma ja dzojstike posebno palicu posebno gas palica rotira rader zajebancije flapsa kontrole motora ,tehnologija,NA
au ti ovih džojstikaša al videćemo majka crnu vunu prede ti pomoć ovih pečeva pitaj naguraš ,tehnologija,NA
aj pvt pusti odradim igramo ful realizam moz iskljucis blekoutredout volim cisto vitlanje stall a ostalo funkcionisu prave taktike dogfightovima,tehnologija,NA
au full realisam igrao dva puta single al ajde ja igram onako problem pazim stall spin ček potražim linkove ti pošaljem,tehnologija,NA
 poslao ti pvt,tehnologija,NA
dajte preporuku,tehnologija,NA
betlfild nisi igrao bacite it kutak raznorazno pitanjestranapost,tehnologija,NA
 kanta potera betlfild čabe skidao onomad,tehnologija,NA
e jebežga volid žanr,tehnologija,NA
gta splinter cell call of duty dvica četvorka najbolji gothic league of legends left dead elder scrolls,tehnologija,NA
 bitan žanr onlajn igram onlajn buљu pocepaju opasni gejmeri,tehnologija,NA
kol of huraz ti gode kubojdtine asasins krid nisi igrao sliping dogs mod poterad,tehnologija,NA
ja cekam dragon ejč oričinsm vidim komentarima kikestorencu tedku raspravu isnstaliraњu ćemo vidimo inace igrica po gejmpleju jućubu,tehnologija,NA
asesina obrno svaku igru dajte novije pratim odavno igracku industriju kupovao skrinfan odatle uzvlacio vaљane igre smorilo davide dragon ejč nemoj propustid,tehnologija,NA
dajte novije probaj sliping dogs ti novo,tehnologija,NA
dishonored zadnjih godina izasla bolja igra ni mark of ninja los,tehnologija,NA
e disanrd poceo skidam saću vidim kakav sliping dogs,tehnologija,NA
skinite cocek he he,tehnologija,NA
 ti komp kanta čaba tražid nove igrice,tehnologija,NA
 tolika kanta novijih igri betlfild nitvor spid ran mogao poteram ostalo lepo dљakalo,tehnologija,NA
 dishonored kriminalno lodu grafiku stalo cenim igrivost pricu stvarno sramota igra godine grafiku jod bethesda pravila igru ocekivao њih,tehnologija,NA
probajte skinete zensku,tehnologija,NA
ja cekam dragon ejč oričinsm vidim komentarima kikestorencu tedku raspravu isnstaliraњu ćemo vidimo inace igrica po gejmpleju jućubu dragon ejč najboљa igrica otkako sveta veka govorim ovakve stvari inace al pregenijalno,tehnologija,NA
probajte skinete zensku meh isplati cuo dishonored bogotac igrica igrao ,tehnologija,NA
world of warplanes,tehnologija,NA
care posledњi post prodloj strani,tehnologija,NA
dajte dobru strategiju link po mogucstvu zajebavaju torrenti ovih dana usput vidim ,tehnologija,NA
 stronghold kingdoms losa,tehnologija,NA
dishonered odlicna igra jbga nemam vremena igram grafika dobra zalis stilizovana igra mracnu atmosferu trebala vremenom popravi igras ubijanja a ides koljes redom trebala mracnija voli nek izvoli gameplay podseca deus ex human revolution dishonored steampunk a deus ex cyberpunk svemu prijatno iznenadila bethesda igrom nakon razocaravajuceg skyrima inace dishonored bethesda razvijala distributeri ulozili kintu pravljenje igre samu igru radio drugi tim,tehnologija,NA
sevastokrator world in conflict complete edition total war shogun zavisno omiljenog zanra,tehnologija,NA
sevastokratore izuva igra nećed pokajati,tehnologija,NA
sevastokratore izuva igra nećed pokajati daj realno al preopdirno vojska ekonomija diplomatija ,tehnologija,NA
 hval dzordi blackarrow,tehnologija,NA
tebra bacje ocekivao ti igrad igru grafike,tehnologija,NA
skinuo juče dishonored al tek probam,tehnologija,NA
dobra dishonored vido ortak igravredi al ja nem kompa ,tehnologija,NA
tebra bacje ocekivao ti igrad igru grafike igram kažem sramota tim pravio zaostaju konkurencijom inace igra vaљa igrao jutros,tehnologija,NA
 upucen konkurencija bethesdinim igrama cod ponavljam tim isti bethesdin tim radio skyrim ostale igre ovu iskesirali zarazna igra pravila konfuzna trebalo moguce cela igra predje a nikog ubijes definitivno najzanimljiviji nacin svakako mucnuti glavom sprovede delo,tehnologija,NA
upis,tehnologija,NA
trebalo moguce cela igra predje a nikog ubijes moguce thief najbolja stealth igra definitivno mark of ninja takodje dobra stealth igra skrolujuca kvazi d fazonu shank a,tehnologija,NA
dishonoredi jeste odlicna igraali mana vidimovde navode valjaniko kaze avajda krenem ai vojnika traze ocajan primete tejure teti popenjes banderu ni desilonastavljaju patroliraju po skripti sunjanje pristup uopste tezakteleportzaustavi vremeteleport presao igrutakodje stealth prilicno dosadan razliku manijakalnog ubijanja krecemogli poraditi njemuubaciti oruzjeudaracnesto kraj zavisi ubio nekogili prilicno glupo strategija preporucujem rometotal waral roma surrectum modomigrica ovako razbijaa modom duplo bolja surrectum ii ed upucen konkurencija bethesdinim igrama cod tesko tvrditicod drugacijeg zanra vecine stvarno fps bethesdinih igaraza cod konkurencija bfmohza bioware reci pravi bethesdi konkurenciju,tehnologija,NA
stealth igra aj pređi deus ex hr ubiješ jednog npcja,tehnologija,NA
 cu pobijembrei mrzim post zadnji strani d,tehnologija,NA
daj realno al preopdirno vojska ekonomija diplomatija probao anno civilizaciju,tehnologija,NA
upisujem skyrim dawnguard deus ex hr tw pop ,tehnologija,NA
daj realno al preopdirno vojska ekonomija diplomatija empiretotal war,tehnologija,NA
daj realno al preopdirno vojska ekonomija diplomatija europa universalis rome crusader kings europa universalis iii chronicles victoria hearts of iron ,tehnologija,NA
tesko tvrditicod drugacijeg zanra vecine stvarno fps bethesdinih igaraza cod konkurencija bfmohza bioware reci pravi bethesdi konkurenciju ironican,tehnologija,NA
hmmverovatno upucen razlog edit tek video komentar iznad ,tehnologija,NA
 ironican covek pravu onakav stealth pristup zaustavljanje vremena gay ni koristio stealth zestoko varanje vidim ubacili igru verujem napravis zanimljivih situacija tipa stazar ispali metak ti zamrznes vreme metak pola puta odes prevuces mesto ti trenutku vreme vrati metak pogadja ispostavlja izvrsio samoubistvo probao teorijski trebalo moguce prakticno jako tesko imati fenomenalne reflekse presao deus ex hr ijednog kill a osim boss glupo odradili nemoguce drugacije pobediti a ijednog kill a onom trenutku obore helikopter zasede sanse spases malik mogao predjem ijednog ubistva probao puta previse stigao uspavas pritom resis onog robota strategija preporucujem europa universalis onima probali onima jesu probaju crusader kings obe igre zderu vreme nenormalno,tehnologija,NA
 krusejder kings krd igra geografija istorija ic evropa majka,tehnologija,NA
kakva europa universalis cini starija igra dajte vase utiske kakva grafika najvaznije al necu igram osecaj devedesetim,tehnologija,NA
znaci pazi skined svim ekspanzijama europa universalis iii chronicles kompletan paket imad torent tim igra bog svih strategija grafika solidna vidi najboљe videa a ti velika ned jebati general duh države pametan apgrejdovaćed verziju skinuti mod death taxes igrati jednu najboљih igara svih vremena daleko detaљniju mapu original igra veći vremenski period znaci imad carstvo cara uroda opcija vizantija ujedini rimsko carstvo srbija ujedini iliriju daљe znaci evropa univerzalis hronikls bog strategija a det end taksis bog igara,tehnologija,NA
 dosta skida zahtevna igra patch direktno igre apgrejduje,tehnologija,NA
pes ,tehnologija,NA
car vidis probao isprobao modova legli inace eu igram instaliram heir throne ekspanziju uvela bitne promene crusader kings smara zabavi kratak period zanimljive bile intrige igrao srbijom ujedinio napokon teritorije balkanu nasao nebranom grozdju ostao naslednika svih strana pritiskaju vazali organizuju pobune previse komplikovano ukus hearts of iron jednostavnost eu odusevljava ti nudi ti stvarno potrebno jedino nervira ai vara jbga naprave ai ravnopravno parira vecini igraca,tehnologija,NA
 dosta skida zahtevna igra patch direktno igre apgrejduje direktno igre bar ortak ja radili inace eu igram instaliram heir throne ekspanziju uvela bitne promene tebra hronikls ti heir thronenapoleons ambitionskojavećekspanzijabedesaddivine wind znaci ceo paket daleko boљa httt a probaj obavezno death taxes ti svidi,tehnologija,NA
daj realno al preopdirno vojska ekonomija diplomatija mogao zaboravim sengoku,tehnologija,NA
 braćo probaću ste predložili ♥ ♥ ♥,tehnologija,NA
skida deadlight izgleda loše jebemliga,tehnologija,NA
 kažem dishonored izdominirao,tehnologija,NA
igram hek en sled rpg igre preporucio torclajt titan kvest imortal tron frozen vrldlilit dijablo tri razocarao,tehnologija,NA
dobar dishonored care a preporuci igru igram ortakom onlajn nateram brata ovako co op d,tehnologija,NA
 probao monhroon kart isproba jeste decu zabavna zarazna igrica ,tehnologija,NA
dobar dishonored care a preporuci igru igram ortakom onlajn nateram brata ovako co op d igrad bratom onlajn definitivno splinter cell chaos theory,tehnologija,NA
 poteram dishonored nadao knata dopadam igricu al jebemu šanse steltu odigra a trudim kolko uglavnom rilodujem sejvove preteram kiling spri,tehnologija,NA
 dual kor ghz ram gb hz integrisana grafička hd lap top preporučite igricu dobrom zanimljivom razvijenom pričom podrži skyrim deus ex hr novije igrice dolaze obzir oblivion zanimljiv skyrim half life vredi kog groša dobru strategiju a tw lotr cc uzgred komand end konk tajbirium vors plodi toplo preporučujem tajbirium tvajlajt golo gomno veliko razočarenje,tehnologija,NA
oblivion po bolji skyrima igrao odavno grafika losija svakako definitivno bolji utisak ostavio oblivion nisi igrao gta san andreas ti preporucujem batman arkham asylum batman arkham city obe odlicne pogotovu volis sismisa strategije starcraft civlization heroes of might magic ,tehnologija,NA
nem pojma pokušaj serijala warhammer starcraft heroes of might magic delovi osim četvorka okej petica najgora,tehnologija,NA
oblivion zanimljiv skyrim skajrim њesra po uopdte zanimљiv igraњe dobru strategiju a tw lotr cc paraworld rastura vorkraft uzgred komand end konk tajbirium vors plodi toplo preporučujem istina radi fallout pec a original pu preporučite igricu dobrom zanimljivom razvijenom pričom dragon ejč oričins najboљe igrao životu,tehnologija,NA
skinuću gta novi al tek kupim nov kompjuter jedno godina ,tehnologija,NA
de igram gta san andreas šifara puta obrnuo zanimljivije heroje igrao trojka nekako institucija workaft frozen throne zanimljive kampanje igrao civilizaciju v gods kings dlc om čuo bolja mogućnosti probati ja predložim stare klasike star wars jedi knight jedi academy sile kurci palci halo pucačina sifi pričom vanzemaljce eragon jerbo sećam pojedinosti al dobra,tehnologija,NA
halo pucačina sifi pričom vanzemaljce igrica predobra fazonu običan disk mb a igrica preeeduga grafika okej sasvim današnji nivo gejminga,tehnologija,NA
dragon ejč oričins najboљe igrao životu igra najretardiranijim krajem ikada smidљenim užas,tehnologija,NA
 l igra fazon hitmena slican gejmplej opeglam izađe peti hitmen,tehnologija,NA
 novi dishonored prvog licaima nekih tripova hitmena assasin krida,tehnologija,NA
e oće moći gore pomenuti komp moći podrži itmena ,tehnologija,NA
nem pojma sys req reče šanse poguram dishonored crveno međutim jebemti merodavno,tehnologija,NA
igra najretardiranijim krajem ikada smidљenim užas stigo kraja lololo odviknem tri meseca bezveze idem istim herojem pravim novig ,tehnologija,NA
 spqbybq,tehnologija,NA
skinite ,tehnologija,NA
ja rado danse nula,tehnologija,NA
nem pojma sys req reče šanse poguram dishonored crveno međutim jebemti merodavno sigurno dobar monitor jedino procesor ghz al nadam terati minimum detalja finoj rezoluciji,tehnologija,NA
domi skinite bravo domi mađijo objasnio život svojim postom jebao keve vijek vijekov,tehnologija,NA
 ja skinem takav ,tehnologija,NA
domi objasnio funkcinide život aplauz domija,tehnologija,NA
vi niste nolajferi mislite niste nemojte oftopikujete ovu ozbiljnu temu trve gejmere,tehnologija,NA
saću probam darksouls gejmspotu a gb daunload smrdi japandtinu,tehnologija,NA
dark souls lagano ulazi top najboljih igara igrao svakoga mnoge ljude ispizdeli pola sata igranja zajebali bakcu njome obrati paznju darklight skoro izasla limbo odrasle zanimljiva mehanika predivna grafika muzika kidanje zombija sekiromsta ces ,tehnologija,NA
sraњe gejm onih dosadnih rpčijeva izgubim dosadan,tehnologija,NA
prešo deus ex praxisa falilo otključam augmentacije,tehnologija,NA
mali oftopik al vredi ,tehnologija,NA
syndicate los dungeon siege dobra igra poput diabla,tehnologija,NA
 mislite napoleon total war vredi skidati gb,tehnologija,NA
kažu љudi mudriji prekomplikovana dobra ja skinuo doguna obzirom њemu radili skoro total war timovi najambiciozniji projekat ,tehnologija,NA
skini dogun jemen,tehnologija,NA
 ni prihvatiti graficka slabija doguna verovatno ,tehnologija,NA
 pogledaj tebra,tehnologija,NA
skino deadlight nako lode zombiji svuda skaced ided sjeced sikirom pucad pidtoљem fina grafika zauzima giga jebemliga igro iko mark of d ninča vaљa dtogod,tehnologija,NA
 mark of ninja odusevio prelazim po drugi put game,tehnologija,NA
 lepo igra maunt end blejd vid fajr end svord a retardiran gejmplej,tehnologija,NA
pogledaj war of roses care odusevila svidi multiplejer singe edit ,tehnologija,NA
medcini igra tedko govno,tehnologija,NA
 chival kupio drug kaze lose cist multi piratskih servera igrica slicnih maunt end blejdu ja ,tehnologija,NA
 kažem,tehnologija,NA
 iko igrao havks ja cuo jod uvijek krekovan,tehnologija,NA
 preporuka batman arkham asylum igram dana boљa boљa ustvari premoćna predložio mrzi gledam,tehnologija,NA
upravo predao toplo preporucujem hotlajn majami ak ashnpng,tehnologija,NA
skyrim nezvanični modovi preporucujete ja pikam deadly dragons dlc keve,tehnologija,NA
worms world party postoji jače fudbal nba supaplex myst hoćete igrice skidajte gore mahom prave simulacije igrice budu realnije realno hoću igram igricu boli realna bitno zabavna logičkih igrica tiče jako dobrih,tehnologija,NA
pogledaću hotlajn a realno hoću igram igricu boli realna bitno zabavna razlog postojaњa tim fortresa ,tehnologija,NA
care godište,tehnologija,NA
broken sњord dio,tehnologija,NA
care godište bitno ovu temu ,tehnologija,NA
 bavite sektama,tehnologija,NA
 omadio temu duce,tehnologija,NA
worms world party postoji jače toooooo crvići rulaju,tehnologija,NA
 dopadaju d crvići vorms armagedon takav kult a ovi d njah,tehnologija,NA
 d klasicni rilouded dobar,tehnologija,NA
a mislio pričate d kul misandrstending,tehnologija,NA
 dead space ,tehnologija,NA
 zqyevetohlz all noub rscucrvtlzfkviaaaaaaaaczmiavhlgep gs flight simulator prophetmangamequake iii arena iconpng emocionalnu vrednost d,tehnologija,NA
 zamalo zaboravim fifa zksdws,tehnologija,NA
 potpisujem,tehnologija,NA
stalker kol ov pripiat snajper elite betl midl rt snajper jako zanimljiva igrica ukus prekratka a lotr keve prvi deo drugi vičking,tehnologija,NA
 tim fortres zabavan besplatan multiplejer ded ,tehnologija,NA
 emocionalnu vrednost dodao cuvene heroje mislite heroes of might magic kazu dobra iskustva pomenutom,tehnologija,NA
najbolji trojke po šestica verodostojni d rimejk trojke trojka kapiraš,tehnologija,NA
trojka ogromnu emotivnu vrednost dugoooooo igrao razocarao krenuo apetiti po pitanju nekih stvari grafike znatno porasli,tehnologija,NA
 picio ejč of empajrs keca dvojku svidjeće mu indijanci kauboji strategija ovu skoro obrnuo igrica mladosti reklo mast hev twavgekiuffivwp uiaaaaaaaabqmjtjugvlkwwsfreedom fighters rip ,tehnologija,NA
znade nađem igrice ps vita konzolu dž,tehnologija,NA
cekam predjem betmena skidam bf cod mf los betmen arkham asylum povremeno mozganja popunjeno vreme inace dosta dug obiman gameplay,tehnologija,NA
deinstalirao govno mrzim boss nebuloza moras puta prelaziti naucis napamet fore ucim fore igras skill razmisljanje ostalo sledi deinstalacija sacu metnem bf skida mrsh,tehnologija,NA
 planiras online igras skini team fortress igrica prejaka mesavina quake cs hl a ovako mount blade dobri wfas single player smara,tehnologija,NA
 ce krekovan ac,tehnologija,NA
 contentuploadsprey pc rijetkost digram fps ,tehnologija,NA
 potpisujem ja dvojci picio najmaњe godina d najboљi basket starije generacije,tehnologija,NA
 daљe kompu d,tehnologija,NA
 prva igra igro ovom kompu ,tehnologija,NA
 pojam igru,tehnologija,NA
gonio farkraj pojavile životiњe tad odustah picio skejt soniju obožavaće misija kul možed pocned misiju oklen oćed tourfah iatfixq ,tehnologija,NA
skinuo heroes of might magic pikao ortakom zanima krekovanom verzijom igrati online pretpostavljam al rekoh pitam slucaj,tehnologija,NA
 tourfah iatfixq jedna najjacih istoriji,tehnologija,NA
pošto iskuliraste prvi put znade nađem igrice ps vita konzolu dž,tehnologija,NA
medak of honor pacific assault najjaca igra svetu,tehnologija,NA
guglao ti ps vitu uspio nidta nađem č jedino ofidl sajta vjerovatno plaća pacifik ok smori konstantna čungla sraњe vozid onom avionu stradno nerviralo jedva predao,tehnologija,NA
 sraњe vozid onom avionu stradno nerviralo jedva predao hahah ja izgubio nad okeanom tražio ostale cetir sata,tehnologija,NA
 izasao tony hawk novije,tehnologija,NA
 izasao tony hawk novije izasao nekih mesec dana dva,tehnologija,NA
cim moglo kupi skidam cak joypad stigao pokvarim greota baci,tehnologija,NA
 kupi ja obrno ahah jedino sviđa popunid zadate poteze levelu tj acivmente dobijed apsolutno nidta smijem mećem linak skidrow,tehnologija,NA
sevastokrator skinuo heroes of might magic pikao ortakom zanima krekovanom verzijom igrati online pretpostavljam al rekoh pitam slucaj ja igrao gamerangera,tehnologija,NA
 kupi ja obrno ahah jedino sviđa popunid zadate poteze levelu tj acivmente dobijed apsolutno nidta upravo narucio primerak radnje d,tehnologija,NA
dajte predlog,tehnologija,NA
 jedno nedeљe možed rimejk baldura,tehnologija,NA
slika ogromna al ajd history of pc ,tehnologija,NA
 ti bratu,tehnologija,NA
dišonored geteja,tehnologija,NA
didonored obrno geteja ,tehnologija,NA
jebed nove igrice pravda stare nemaju vanzemaљsku grafiku al jebacki gejmplej,tehnologija,NA
might magic heroes zarazio toplo preporucujem svim ljubiteljima poteznih strategija,tehnologija,NA
xcom enemy unknown fallout fallout new vegas dead space darksiders binding of isaac world of tanks kingdom of amalur driver san francisco,tehnologija,NA
kažu tribesascend steam odlican multiplej,tehnologija,NA
igrao tribes nekih mesec dana los specificnu mehaniku smorio free play inace,tehnologija,NA
kakva igra portal vredi ,tehnologija,NA
