post,tema,topic
odgledao revolver rokenrolukao vidim ovog posledvečadjaveisneča ričija jbgkao strepeosmeće veliko skoro pogledao matoru paranoju las vegasuskroz zadovoljan odgledao film po prvoj knjizi terija pračetanije ,umetnost,1
paranoja las vegasu feer loathing in lv a verovatno jeste ja kapiram svima svidja film ja uopste ukapirao bezveze dal omatoreo pojma nemam,umetnost,2
jesi jesi d pokušaš knjigom oduševila hanter tompson,umetnost,2
 denveru mrtav jako dopao film gledao,umetnost,1
boat drinks omiljeni film ,umetnost,1
preporučujem fanboys žanr zajebancija big lebowski šmekom četri ortakagikovifanovi star warsa idu lukas ranč ukradu prvi pogledaju novi nastavak šuška izlaziusput naravnoprolaze koz gomilu zgoda nezgoda uključujući nasilne sukobe fanovima zvezdanih staza prljavi trekiji jednomtopla preporuka,umetnost,1
predložio takodje ubuduće uz naziv preporuku gurnete sinopsis realno neću pogledam filmako napišete filmdo ,umetnost,1
pijanistatužan filmistinita priča apocalyptomorbidan filmu ruku tužan chalengingtužan filmistinita priča mrzi opisujem čemu radiali volite osećate ogorčenobezvoljno tužno gledanja nekog filmaonda ti filmovi,umetnost,1
posto postoje dve ovakve teme druga lose spojite jednu a ,umetnost,2
sumnjam moći a pokuša spajanjem nastaje džumbus ,umetnost,2
 ivana ,umetnost,2
druga tema zaključana straija manje postova dupilarmo,umetnost,2
 number fountain jacket things in denver when youre dead a beautiful mind usual suspects perfume story of a murderer requiem a dream grudge angel heart pulp fiction laberinto del fauno el once upon a time in america crash manchurian candidate butterfly effect a clockwork orange romper stomper dodao filmove tom hanksom naravno ovi filmovi tim redom gvozdene linkove ka imdb citaj komentare mile volje ,umetnost,2
zivot cudo vrane pulp fiction apokalipsa reduks variola vera budjenje pacova skupljaci perja lepa sela lepo gore hadersfild,umetnost,2
pans labyrinth little children,umetnost,2
pulp fiction život lep eulogy prevedeno sumanuti parastos lud film skroz spomenu paranoju las vegasu izvinite ubedљivo najgore utrodenih dva sata mom životu љubiteљe leta iznad kukavicjeg gnezda film fenomenalan kњiga mnoooogo boљa,umetnost,2
 vremena terbalo svakako obrati pažnju američku autorku kelly reichardt gledao njena dva filma old joy wendy lucy moram reći trenutno verovatno jedna najzanimljivijih filmskih stvaralaca planeti old doj gledao godinu a vendi lusi jedno pola godine filmovi potpuno otvoreno pristupaju ljudima okolišanja lelemuđenja pogađaju tačno ,umetnost,1
hard candy last unicorn lolita dracula true story of dark prince drop dead gorgeous,umetnost,2
a smara predložene filmove gledao d,umetnost,2
 volje pošalje film kosa odužiću mu način komunikacija pvta,umetnost,1
ajde ja spomenem poneki film monsieur verdoux admiral adventures of robin hood la cité des enfants perdus grad izgubljene dece delicatessen delikatesna radnja kini jedu pse jalajala andrej rubljov pinocchio benjini son of pink panther benjini,umetnost,2
 favorit ciudad de deus brazilski once upon a time in west casablanca tri muskarca noga italijanski la haine francuski goodfellas al ste gledaliotprilike kolko vidim,umetnost,2
 primetih iko pominje filmove devida linča ste ljudi čovek stvarno vodi mesta on poznaje a imamo sreću bar virnemo old boy harsh times constantin hellboy,umetnost,2
 dodamdom vesanjepojma nemam cega pesme a hellboy dobar a elephant manvaljda ja covek serije,umetnost,2
 dodam kevin smithsve,umetnost,2
chevu preporukama gledao buffalo hard candy waking life dobri filmovi,umetnost,1
ja držim klasičnog holivuda iako zasuzile oči petak dom vešanje izdvojio fight club gledao odgleda zaljubljene curious case of benjamin button a neshvaćene slučaj ponovo odledaju american beauty dodao cidade de deus preporučio vlajko odličan,umetnost,1
ja gledao puta pravim ce ,umetnost,2
wicked nedavno oci zasuzile dom filmadzija nekoliko elevator francuski triler sezdesetih a posebnost muzika naime majls dejvis vreme ziveo radio parizu prvi film muzicarima pustili projekciju a improvizovali majls svirao trubu flugelhorn a dva francuza klavir pored film uopste los po love if dare francuski ja istripovao hardkor festivalski glavni potok al svejedno super film ubacim jednu komendiju hercules returns australijska komedija ljubitelji zgrade kinematografije otvore svoj bioskop tome hoce spreci baja drzi bioskop dere ljude blokbasterima ljigi otvaranje puste italijanski film sezdesetih herkulesu same premijere skapiraju film italijanskom titlova im jedino ostavlja izbor sami naprave sinhronizaciju ceo film hiljaditi put gledao provalio foru tada,umetnost,1
preksinoć gledao zvona bogorodicine crkve inngrid bergman lep film,umetnost,2
sinoć gledao decak prugastoj pičami boy in striped pajamas lod film clanka httpenwikipediaorgwikitheboyinthestripedpyjamasfilm,umetnost,2
veridba dugo trajala un long dimanche de fiançaillesa very long engagement snimljen po knjizi sebastijen žaprisoa pošto knjigu čitala godina odgledala film prvo nju preporučujem a film slike stvarala čitala knjigu stravično slične onima filmu subjektivna stvar prvi svetski rat manek odlazi front ostavlja sobom verenicu matildu matilda miri vestima manekovoj smrti sama kreće potragu ulazeći trag ljudima njim ratištu suvišno napisati radnji koga zanima pogleda film režirao žanpjer žene čudesna sudbina amelije pulen a glavnu ulogu tumači amelija tj odri totu,umetnost,1
pogledati vrlo brzo imitaciju života lanom tarer,umetnost,2
deset must see po mom skromnom misljenju izuzimajuci kuma podrazumeva jednom americi once upon a time in america fight club jesenja legenda legend of fall snatch london djavolji advokat devils advocate dezurni krivci usual suspects matrix prvi deo kancelarijski prostor office space americka istorija x american history x,umetnost,2
dan mrmota efekat leptira primer,umetnost,2
uuu dan mrmota mocan film,umetnost,2
jedini hteo odgledam prilici stari film građanin kejn gledao prenese utiske ,umetnost,2
gledao transformerse watchmen dan transformersi odrađeni prosečan akcioni film zadnjih pola sata filma zbrzali spojili loše pitam spilberg namerno seckao film inat majklu baju a watchmen ostavio dobar utisak posebno prikazali tip superheroja poludelih multimilionera hodajućih polubogova,umetnost,2
crank gledao sinoć totalno bolesno vrh karanje hipodromu stazi konji preskaču aktera,umetnost,2
kpax glumi kevin spaceyvredi pogleda preporucujem filmove glumi steve mcqueen cincinnati kid bullitti ostale gacudesna sudbina amelije pulen moz pogleda naravno bruno alter ego sacha baron cohenapored poznatih gja borata film urnebesan,umetnost,2
 došlo podsetim mladosti upravo skidam triologiju austina powersa veselo d,umetnost,2
gledao half blood harija potera ma ljudi pričali film živa dosada ni takmiči knjigom gledao komediju hangover desi gomila udrogiranih likova počne zajebava po vegasu odličan film,umetnost,2
gledala zodiacmislim ovako piše hbobio jučedobar filmistinita priča serijskom ubici uhvaćen a učinio moguće provale gledala sid nency internetaglup filma veze životom gledala kendi hit ledžeromsviđaju filmovi njim gledam hari poterainače fanali svake godine idem drugaricompostala tradicija,umetnost,1
ja toplo preporucila koreanskog reditelja chanwook parka njegovu trilogiju nuzno ovim redom oldboy sympathy mr vengeance lady vengeance a opustanje cristopher guesta najkultniji mu spinal tap odlicno sprda zanrom dokumentarca naziva mighty wind waiting guffman best in show ,umetnost,2
preporučio curious case of benjamin button glavnu ulogu tumači bred pit radi čoveku rađa bebastarac vreme odmiče postaje mlađi,umetnost,1
 nikita mihalkov,umetnost,1
pogledajte elitni odred brazilski rade regrutima stvarno svačiji stomak a tek prodju obuku rade dilerima droge šminke zadrške,umetnost,2
pogledajte deveta četaruski film pokazuje sav besmisao ratova uopšte primeru ruskog angažovanja avganistanurežiser miša bondarčuk originalu zove rota,umetnost,1
takodje dom durakovkuća ludakaopet ruski odgovor let iznad kukavičjeg gnezda,umetnost,2
pored velikog broja odličnih pomenutih filmova eventualno obratiti pažnju full metal jacket barfly barska mušica graduate diplomac naravno balkanski špijun dr strangelove makar jednom mesečno,umetnost,2
jazodiplomac drstrangelove jacket odlicni filmovi ja dodao makedonski film balkankan gledao puta,umetnost,2
a ljubitelje tinejdzerskih komedija niko gleda gledaju filmove engleski pacijent deset sati poslu preporuka girl next door plitiko opustajuce engleskog pacijenta balkankan pogledati takodje,umetnost,2
 reko girl next doorza sasvim dobra komedija e oces gledas bolji film temu dodas kevina smitha eto ti zack miri make pornofilmcina,umetnost,2
ha ha ha balkankan odlično jugoslavensko ostvarenje vrlo nostalgičan film,umetnost,2
 film fenomenalan,umetnost,1
medicus ivana drago delite misljenjeja nasmejem gledam film bugarska rabota ,umetnost,1
 pominju domaci filmovi pokojniku najlepse jasno im dali snime takvu sprdacinu komunizam ,umetnost,1
ma snimali sprdacinesamo mislimo moglo snimatimeni prvo padne pamet mlad zdrav ruza,umetnost,2
film odgledala tek sram naked odavno ,umetnost,2
 jedno stotina omiljenih filmovaali potrese rain mankisni covekfenomenalan film,umetnost,2
dead man jim jarmusch psycho alfred hitchcock rear window alfred hitchcock its a wonderful life james stewart desetak kurosawinih filmova recimo reservoir dogs quenteen tarantino mission jeremy ironsrobert de niro saving private ryan ekipa fight club brad pittedward norton darjeeling limited owen wilsonadrien brody takodje filmovi lika besonapedra almodovaralucasspielbergcameroncoppola pored dobar glumacclint eastwood jako dobar reditelj,umetnost,2
 jako interesuje obožavalaca ingmara bergmana andreja tarkovskog preporučio svima filmova traže dvočasovno ubijanje dosade tj vole prvenstveno umetničke filmove začinjene filozofskom tematikom ovu dvojicu umetnika posebno ponovljeno obojicom imati živaca skapira ples kamerama pojedini njihovi filmovi delovati uspavljujuće dosadno filmski ukus odrastao holivudu poslednjih npr nostalgiju tarkovskog morao gledam nekoliko puta mogao skapiram naravno pomoći kritika hteo čitam sklopim sopstvenu sliku naredni put prikovaniji fotelju doživljaj tog filma prosto neopisiv sličan trip tišinom zimskim svetlom bergmana tarkovski sažetiji tek nekoliko duuuuuugometražnih kojih promašaj bergman snimio nekoliko puta filmova nailazio ostavljali bljutav utisak pored bergman omiljeni ikad oskarovci sedamdesetih bergmana učili kinematografiji uglavnom strpljiv istrajan ovom dvojicom reditelja a intenzivna inspiracija neverovatan spektar otvorenih pitanja ostaće utisak pogledanih njihovih filmova,umetnost,2
gledala film tarkovskog offret sacrificatio svideo bergmana gledala a čuči pored levog kolena ,umetnost,2
 bergmana jedino sedmi pecata tarkovskogandrej rubljovtoliko vremena pokusacu odgledam medjuvremenu odgledajte bronson film godine britanski njihovom najpoznatijem zatvoreniku robija godine a lud struja,umetnost,2
 gledao brothers bloom liči dobar film odlični glumciadrien brody mark ruffalo poslednji film istog piscarežisera odličan brick a sniman okolini beograd vojvodina madjarska bar,umetnost,2
rubljovstalkerod tarkovskogburadete mekonaričard iii grinaveja,umetnost,2
 novijih stranih filmova preporučila vam angels demons eagle eye express a domaćih filmova mojih omiljenih a lavirint zatim variola vera lepa sela lepo gore bulevar revolucije kaži zašto ostavi hadersfild,umetnost,1
ja petak gledao edit ja d,umetnost,1
italian jobali stari majklom kejnomjužњacka utehaputovaњe sredidte zemљenisam filmofilali preporucujem,umetnost,2
 dupe pomera mesec dana gledao edit ja smrad ,umetnost,2
 veče gledala stariju američku srednjoškolsku komediju porkys moram priznam skoro rasplakao smeha film veoma simpatično nenametljivo duhovit film raspoložena ,umetnost,2
let right in planiram gledam svakodnevno ,umetnost,1
cashback mali indie film lika studenta umetnosti ostavila devojka spava radi noćnu smenu supermarketu gomilom čudnih likova nalazi način bori sporim prolazkom vremena noćnoj smeni on zamišlja usporava vreme šeta medju zamrznutim ljudima crta devojke divi lepoti razmišlja prirodi života lep film,umetnost,1
 pomoć davno gledala film irski a zove dvoje beže svog grada vanbračnoj vezi prave jedno drugo treće dete jedva sastavljaju kraj krajem prinuđeni često menjaju mesto boravka situacija postaje nepodnošljiva jednog dana najstarije dete čuje razgovor između oca majke tj svađu tiče njihove materijalne situacije on umišlja deca krivi takvu situaciju matorci poslu davi malog brata guši sestru kraju obesi veselo kom filmu radi tj zove,umetnost,1
izvini insolent nemam pojma sačekaj sledeći komentar dan gledao up neba toplo preporučujem ,umetnost,1
pogledajte večeras avali thank smoking simpatičan filmić,umetnost,2
 brothers bloom pored dobrih glumaca dobrih foricaali bukvalno a skoro gledao panov lavirinti uspio odusevi pored pozitivnih kritika cuo procitao moon sinoc gledaonova naucna fantastikaza holivudske standarde dobar th hour niko spomenuo ja mislimkao ni game starijih samuraja ipo moram ovako izbacat po parjer umijem zaustavit pocnem nabrajat francuskospanski film kombinacija spanskih glumaca francuskog reziseraisto kombinacija zanrova ludih nebuloznih idejakadrova dobre muzicke podloge science of sleep vam nece svidjeti ce oduseviti ,umetnost,2
preporuka edge silence of lambs cannibal rising shining full metal jacket clockwork orange rashomon hitchiker a preporucujem animirani pixarov film pod nazivom walle odusevio,umetnost,2
život emila zole mator fenomenalan film teme pravda istina narednik jork mator odličan teme moral vera,umetnost,2
napad policijsku stanicu karpenterov film odlično obrađenom temom straha,umetnost,2
httpwwwyoutubecomwatchvuwqxwutsefeaturefvw,umetnost,1
no country old men httpwwwyoutubecomwatchvybqmksahcw,umetnost,2
th street danny aiello anthony lapaglia istinita priča najsrećnijem čoveku svetu osvojio mil američkoj lutriji jednostavan film holivudskog glamura ameri rekli must see gledao nekih puta dosad,umetnost,1
 insider film prikazuje realnost savremenih medija nalaze pod snažnim pritiscima velikih kompanija biraju sredstva zaštite sopstvene interese,umetnost,1
 predloga man on fire genijalan film većina denzelom vošingtonom lord of war laconfidential little nicky bang bang are dead ttc of benjamin button,umetnost,1
 pobogu ofi mjuzikl američkateen sranja nekako deprimirajuće morbidno pevaju nećete osećati depresivno kraju filma svini tod ti stavljaš američkateen sranja ddd,umetnost,1
čekaj mrtva umorna shvatamšta redu tim rekla obično kome pomenem st onog trenutka im kažem mjuzikl kažu gledali hairspray high school mjuzikl vole mjuzikle e ja gledala filmove nemam nameru foru idu otkida tim filmovima svideti kažem druga vrsta mjuzikla dovoljno reći igra džoni depaaaahhhh p,umetnost,2
 srećeš pogrešne ljude d,umetnost,1
ma uobičajno d žanluk godard poslednjeg daha prvi film belmonda deca raja marsel karne linčova dina bla bla dobri a očigledni ,umetnost,2
 ja odgledah good bye lenin wolfgang becker preporučujem,umetnost,2
eastern promises fin filmic naomi vots vigo mortensen vinsent kasel skoro rts nekom trebaju titlovi nek javi ovi kruze netom puni bisera edit stomak odgleda svih minuta e krmacu ,umetnost,2
amarkord felinija,umetnost,2
 relativno novijih blackbook zwartboek children of men slumdog millionairene setim nekog dosta ,umetnost,2
mnogima verovatno poznat ja juce po prvi put gledao httpwwwimdbcomtitlettplotsummary udaraca film zapoceo francuski novi talas krajem pedesetih pocetkom sezdesetih,umetnost,1
zar novi talas započeo poslednjeg daha,umetnost,1
seven pounds,umetnost,2
blues brothers blues brothers meet spartansdisaster movie epic movie posto vidim stavljaju mracne drame tragedije razveselim,umetnost,2
 gledao avatarzanima mu zasad zarada iznosi milijardu dolara,umetnost,2
nickname httpvukajlijacomforumteme,umetnost,1
ene gle stvarnohvala,umetnost,1
johnny got his gun verovatno najbolja antiratna drama ikada snimljena snimana po knjizi daltona tramboa prikazuje sav besmisao ratovanja najsuroviji način oslikava tanku liniju između života smrti istančanim filmskim ukusom film svakako propustiti,umetnost,1
mastrixt tog filma uzeti delovi spot httpwwwyoutubecomwatchvezggtttrkc a tice mojih omiљenih filmova back futuresva tri delaobožavam film cube honours in mouth of madnessovo morate pogledati van helsing jod dosta togaal vrh liste,umetnost,2
dr janković film prvi put prikazan godine spot pomogao njegovu bolju promociju ovim spotom film doživeo ponovno rađanje duguje svojoj popularnosti mlađih generacija eto marketing,umetnost,2
barem film dopro mlađih generacijasad stvarno interesuje kakav a tice domaćih filmovamožda složiti mnomali moji apsolutni favoriti sucrni bombarder tamna noć ni nebuni zemљi velika frka lavirintnaravnoklasici poputmaratonaca peva sl podrazumevajune samih filmovaveć њihove replike prepricavaju godinamamožda jesmo pogledali bar putaalikad reprizirajusamo sedid idcekujed kaže svoju repliku,umetnost,1
h party people film,umetnost,1
ufff film dobar bar prva polovina joy divison ljudi hitno crna marija nabaviti,umetnost,2
mnooogo dobar ceo vrhunski nemam crnu mambu sorry,umetnost,1
mariju,umetnost,1
 ja a dvd verziju izasla mesecdva,umetnost,1
film taken srnje barem tip neprestano ubija siptare siptare parizu,umetnost,2
 tzameti prevodu trinaest film sniman francuskogruzijskoj produkciji igri organizuju ljudi viškom para ljudski život vrednost uloga tiketu igra slična ruskom ruletu kojoj učestvuju ljudi svojevoljno mimo volje uglavnom dna društvene lestvice ljudi pare dinara narkomani ludaci a zarad pružanja mogućnosti njihovim gazdama zarade velike pare vredi pogledati dobar film trejlera pokriven dust in wind scorpionsa pesma jako ide uz film httpwwwyoutubecomwatchvuyjmygiwxs,umetnost,2
omiljeni american gangster catch if can children of men dead poets society fight club good will hunting inglourious basterds inside man le fabuleux destin damélie poulain léon lock stock two smoking barrels lucky number slevin memento munich oceans ps love pride prejudice rocknrolla seen shakespeare in love sherlock holmes snatch bank job bourne identity bridges of madison county curious case of benjamin button dark knight godfather life of david gale matrix notebook pianist shawshank redemption usual suspects ,umetnost,1
ladno poređao abecedno luđi daidija њegovih popisa ,umetnost,2
poređala luđa ,umetnost,2
dizvined ,umetnost,2
bornov identitet gej originalna verzija,umetnost,1
e skroz pravu pogledam blage veze nemam stavila palo pamet,umetnost,2
e pitam jedno godine nemam predstavu gledao film rts radnju ime gledao nekako podsvesti fiml zove kuca nade verovatno glasi originalni naziv obzirom prevodioci strucni ukratko radnje a gledao nek javi covek zena sina po godina siromasni majka radi a otac valjda prodavac satova drugovi mladjeg sina cesto bivaju postali rodbine roditelji nemaju hrane otac obecava nece uraditi majka odlazi stacionar bolesne bolnica secem otac ode radi mladjeg sina posalje rodbine otac dobija posao prodaje nekih satova ode nekoliko meseci daleko sinu kaze prijatelja restoranu ce mu davati hranu dorucak rucak vecera ostavio mu para otisao ok jedno dana mali odlazi restoran kazu mu ocev prijatelj otpusten mali tad dan kupuje po jednu pogacicu jede praznu vodom mu ponestane para pocne kraducka najupecatljivija scena uzme novine slikava hrane sece nozem jede drugovima kaze mu roditelji arheolozi rade iskopinama starijim drugom razne vratolomije nevolje eto ovih detalja nek kaze mu zahvalan pogresio izostavio rekoh film gledao davno,umetnost,1
 kuća nade pod tim imenom tuck zaveo life as a house čoveku rak ruši svoju porodičnu kuću počinje ceo život iznova,umetnost,1
vule poznat film,umetnost,2
poslednji odgledah wristcutters a love story divan film smorodonosan momente svemu dobar interesantna ideja postavka control tome lepo crnobeo nemam pojma,umetnost,1
 days of summer romanticni po jedini tera povracanje machuca cileanski vuce socrealizam previse proseravanja odlicna prica odlican film until light takes us najnoviji dokumentarac norveskom blekeraju oldboy kvalitetan japanski into wild son pen rezirao ostavlja utisak tera razmisljanje filmovi mojim omiljenim junacima jayom silent bobom,umetnost,1
oldboy doduse korejanski no ,umetnost,1
mastrixt trejlera pokriven dust in wind scorpionsa pesma jako ide uz film mala ispravka stvar ide pozadini pjesma dkorpionsa najpoznatija numera legendardne grupe kanzas,umetnost,1
oldboy najjači film svetu,umetnost,2
zeljček pravu original kansasa učinilo verzija scorpionsa čuo anplagd verziju a kansasa originalnu proverio verzija nalepljena trejler jeste kansasa pogrešio prihvatam ispravku,umetnost,2
mastrixt ma inace zainteresovao svojih recenica tom filmu potrudiću nabavim brojeva ja preporucujem film nikite mihalkova ,umetnost,2
ja prednost dao originalu ,umetnost,2
hard candy stvarno dobar ni gledala videla preporuke ,umetnost,2
httpwwwyoutubecomwatchvvdvglhy vi sami procenite,umetnost,2
 saw ii iii iv v human trafficking taken just like in heaven white chicks godfather notebook bourne ultimatum erin brokovich truman show džim keri legenda služi pamćenje setim ovi ostali upečatljivo dobri preporučujem vremena nek baci ,umetnost,2
secret window po priči stivena kinga freak mighty elizabethtown yes man džim kerijem definitivno popravlja raspoloženje postala yes woman gledajući film d onih relativno skoro gledala,umetnost,2
upravo odgledanpreporuchujem volite tuzhnesurovemochne filmoverazlichite ovih novih usranih hitovaprava stvar provesti h zblenutosti ,umetnost,1
čitala knjigu divna topik hm a girl like gwen araujo story,umetnost,2
 prekinuti zagrljaji gorki mesec izgubljeni prevodu strah drhtaji vavilon pričaj njom život more američka lepota slomljeno cveće frida,umetnost,2
zivot lep prvih sastanaka tigar sneg americka pita deca kukuruza chronicles of riddickpitch black beethoven dog who stopped war surogati orgazmo d,umetnost,2
 dark knight,umetnost,1
