post,tema,topic
 igra srbija žabari urugvaj portugal holandija tim redom,sport,NA
dingospowi naviau dingospowi b d r e d r e,sport,NA
nizozemska decenijama vrh tim osvojen plus amater klupi ispadaju grupe a osvoji francuska uh cuj afrika francuksa a navijamo žabarijanu hmm portugal bosna,sport,NA
cro esp ser eng ,sport,NA
njemačka odurno vekovni neprijatelji mržnja dodatno pojačana viškom melanina sastavu francuska isti melaninski problem španjolska manji hejt prema midžeti imati cigansku auru portugal gorepomenuta ciganska aura najmanji problem tih tier repki englezima italijanima a tier repki holandija skoro video jebeni memfis depaj golova im postane najbolji strelac svih vremena valja naravno navijanje slabijeg razjebe ustaljeni krug istih smarača,sport,NA
a il igraci penzionisani deceniaj ovi huntelari robeni jod depaj prvi,sport,NA
smoleman true croasan fan,sport,NA
 španija daleko podnošljivija ak godina hejtovao imali david vilju hesusa navasa matu silvu fabregasaa igrače voleo doduše zašto moratu dalje vode prvenstva ubode gol,sport,NA
 radi bojan krkić,sport,NA
uvaljuje bogatim klubovima milki čempionšip menadžeru mu vrhunac kariere,sport,NA
a tekmi golova prajm barsu ćutimo a,sport,NA
 jedna bandera,sport,NA
krkić jako borio psihičkim problemima uništilo fudbalera srećom iskopao izgubili jednog najvećih talenata ikada,sport,NA
psihicki problemi prevelika kolicina slave novca kurvi generalno mogućnosti jednog običnog smrtnika zaebano ja izdepresimirao,sport,NA
 rekao ozbiljno nenormalno nahajpovan tada ti svejedno,sport,NA
 otprilike miličić fudbala,sport,NA
sećam derbija protiv reala on dos santos počinju špicu svojih tries godina sveukupno prve zvezde ostaju klupi nenormalan pritisak moraš pogodiš svakoj utakmici bukvalno najvišem mogućem nivou a dete godina previše pregoreo startu dečak,sport,NA
jooj dos santos ladno,sport,NA
obri okreni polufinalu italija njemačka francuska španjoljska umesto nekog niih kroacija danska tipa,sport,NA
 englezi prvi favoriti,sport,NA
neguj mo objavio pesmu euro jebeni napredњaci ro znak sigurno ispdamo sistemacki oteran sns,sport,NA
loooool nece ici rts iodhi solidno pisanje po mejmunu lazicu gobelji boban dingospow,sport,NA
napredњacka retorika ložeњe kreće kakvo ložeњe ajde ,sport,NA
fazon govno al neeema veze idemo bice precki tezak fejl raditi kakav spot repku dopustati im snimaju reklame kladze pivo ostala ,sport,NA
esi mii boban,sport,NA
srecno momci contentuploads fss ,sport,NA
 ni grilisa retarda vrv engleze,sport,NA
srecno orlovi lol mislite sanse drugi grupu,sport,NA
 cemo znati prve tekme tada nezahvalno prognozirati,sport,NA
treci najboljem slucaju,sport,NA
komentari tipa “ ce bosna” tri dva ,sport,NA
pliduu koga ti navijas el ,sport,NA
plidu be like ,sport,NA
ma navijam a inace favorite godine izostalo malena navijao italiju drago englezi osvoje,sport,NA
 pametan coek drugi,sport,NA
hahah dobar manijace,sport,NA
ma navijam e svasta izgleda srbi imau kapaciteta navijaju kroasane bosne svecko doncice ostalo stoe nase,sport,NA
 daj zaiebavaj caro srbi regionu najmanje obicaj podrzavaju ostale ex yu repke,sport,NA
bosnje najvise navijaju druge nacije posebno hrvate,sport,NA
 daj zaiebavaj caro srbi regionu najmanje obicaj podrzavaju ostale ex yu repke ti nemas pojma realno kace izuzme politicki apsekt srbi navijaju prvo komsije ikstrim pljuju al manjina obj,sport,NA
obj tekma bosna njemacka srbosa ti podrzalo bosniu kodobar dan protiv italije sig navijalo bosnu zabare,sport,NA
 regiona osvoji komentari podrske “cestitke komsije ” instagram storyi ma reko coek jugoslavija uzela,sport,NA
ovim matorijima ostalo mladjanima usa zamena yu bukv,sport,NA
 mise evroviziju čuo odnekle hrvacka plusirala srbiju godine iako ovi jesu istina,sport,NA
jeste istina srbi ispali korektni kroasani ispali hinje bosnje glasale prštalo ki,sport,NA
ma im mater ja eto,sport,NA
ajde briga monako takmicio hehe skechh,sport,NA
 gumo ja tog sirotiljskog ponašanja koga,sport,NA
 upozoreni srbijanskih huligana dolaze prave nerede policija nogama caro pricaju,sport,NA
bosnjaciisusemuka tih izmisljenih nacija voleo bosna hrv dobiju ni jednu utakmicuda daju ni gola prime ,sport,NA
priprema terena engleska sranja moooj plidu oproban anglosaksonski recept real dan cito reko jedu ovi nicta lozenje klasika,sport,NA
secate reklame mali kaze ja bosanac ja bosnjakbukvalno napravili reklamu svoju novu izmisljenu nacijuisuse pomozi zasto dozvoljavas,sport,NA
a lab moraju ljudi negde kanalisu rade jok ce budu srbi doveka,sport,NA
 jeste kazenisu srbi turcinisu nistaustvari srpstvo odbacili,sport,NA
 bosnajci kusturica hnjo hnjo hnjo,sport,NA
 jeste kazenisu srbi turcinisu nistaustvari srpstvo odbacili real zanimljivo bosnjaci jedini sloveni muslimani pajsad voli zapad lol,sport,NA
kusta srbin hrvati nazalost daleko doguraju,sport,NA
labuka pusti miru molim ,sport,NA
voli zapad im koristeih volim im razmnozavaju albanci terorisu,sport,NA
 labuka normalno ti musko odluci izjasnjava zensko prezvakao a das pliduuu izjasni bosnjak sram razmislicu iduci put cu pogledati preporuke filmova znash,sport,NA
ma zezam komplexne stvarineka iznjasnjava hoceali ja druge zovem hocu,sport,NA
 slucajno radi stream ovu temu morate gledati duze minut ,sport,NA
real srbi gledaju plidue vs plidui gledaju srbe ljubav jednostrana pliduu,sport,NA
 vučićupederu tribinima nekim škakljivim transparentima po sred gelzenkirhena pošto bg sme,sport,NA
caro tebra ti stvarno gledaš klipove duže ,sport,NA
 real pustim tv pored pogledam vece kojekakva problena,sport,NA
 vučićupederu tribinima nekim škakljivim transparentima po sred gelzenkirhena pošto bg sme mainstream posmatrati afirmativno mali klipa vucicu pederu tri prsta uvis ,sport,NA
inace kuzovic prof arhitekture bg univerzitet posro po bg vodama kojecemu realno solidan lik cuti,sport,NA
 pliduov semir top,sport,NA
geynaldo ftw svaka pobeda portugala ,sport,NA
 vuyia rade kladinoice objasnjenje spec jokara objasnjenje mbysidxeecrkdgwrvft,sport,NA
kakve kvote gospodo čiju ženupriležnicu isklepati ovom prvenstvu,sport,NA
 znalac okači udarnu postavu ženapriležnica naših repstativaca cenio gledam šmolemane,sport,NA
 mbysidxeecrkdgwrvft mami im fasisticku skremblovali snimak random emisija spoemnuo evropcko a nie placen ,sport,NA
oce komentarise rade bogdanovic evropcko bice jakih izjava,sport,NA
video unavailable this video contains content from uefa who has blocked it on copyright grounds hahahahha ajde ma boli sludam radeta bogdanovića minuta,sport,NA
ma ajde video iskiselio pitali zasto reklamira kladionice kae fazon sponzorisu repku basket sveal kae imacu ja novembru intervju cu reci kiselenje max,sport,NA
aahahahahahaha strava,sport,NA
otiso slepce obj,sport,NA
 duci prozivao jokica reklamira kladioniceima stotine miliona a reklamira kladionicebeda braca mu showkoji brdjani jbt bog,sport,NA
vala čovek para bukvalno zamislim eto milionče izreklamiram kladžu,sport,NA
ma sanse milioncek evra maximumbednik,sport,NA
djokovici gospoda jokice,sport,NA
bukv bar glume gospodu,sport,NA
 xaxa,sport,NA
ajde braco serbi potepajte realno il ,sport,NA
voleo škotima uđem svlačionicu kažem im niko voli niko mrzi niko gleda fudbal nikada ste škoti nebitni ste pola sveta imate represtaciju niti ime jednog jedinog igrača včeras drugačije oči celog sveta uprte otvarate prvenstvo morati gledaju hteli igrate protiv švaba njihovom terenu a niko voli švabe teli dedove pobiju između ostalih dakle ceo svet gleda navija dajte ,sport,NA
 fbc a a ,sport,NA
 jevropsko pocinje tek prodju igre briksa,sport,NA
skotska nebitna zemlja bukv nit kul pobunjenici irska niti imperijalisti britanci niti svoj velski jezik mutavi ,sport,NA
navijamo skotove protiv nacista ajmo skotineeeeeeeeeeeeeeeeeeeeee,sport,NA
a pogledajte melkijadesa ejj pazi dkoti cujte pazi cuju pogledajte facu pogledajte dres vukajlija on porucuje dkotima,sport,NA
nit kul pobunjenici irska niti imperijalisti britanci niti svoj velski jezik mutavi tačnih izjava ,sport,NA
braćo škoti počujte glas ,sport,NA
melk škoti pobediteeee pls škoti pobjede reprezentacija srbije a fat lot of good it did us,sport,NA
melk uzmite skoti skoti ,sport,NA
srbi skoti stara braća,sport,NA
caro jesi spreman euro ce uticati pracenje brics gamesa ce morati trpi,sport,NA
 tačnih izjava pojasnim kul pobunjenici irci imperijalisti englezi koriste svoj jezik velšani,sport,NA
spremam pliduu uzo novi tv ka nakupovao tonu ruskih grickalica slatkisa miran makar polufinala,sport,NA
prati srbija ispadne eura a republiku srpsku bricsu rad,sport,NA
pliduu zlato docek nekom trgu red ti rts srbija veceras igra,sport,NA
jebali reklame red kladioinica red keš kredita red lekova prostatu,sport,NA
 lice svabe znas esu ruzniji ovi migranti camuge il domaci,sport,NA
škoti pogubljeni skroz,sport,NA
 ćemo prexutra najboljem slučaju komada prvih minuta,sport,NA
škoti pogubljeni skroz sačekaj nedelju,sport,NA
al iščepo cvabo penala,sport,NA
 ni hoću gledati nedelju iskreno strah potpunog debakla nerviram bzvz,sport,NA
a onako flashscore vidim izgubili boli nekako,sport,NA
 gvardiola čovek kriv osrednji klubovi represtacije pokušavaju igraju odvratni fudbal golmana nadalje,sport,NA
sledeci put molim repki takmicenju ukinu kvalfikacije,sport,NA
 krenulo po zlu sutra djarme uniste svajcarce spanija sjebe rvacku ofc italijani izjebu albance kriva ce zaravljena,sport,NA
okrenuo ja rts gledam tekmu studiju fudbalskih analiticara znaci rade bogdanović lik jedini srpski muriњo hahahahah prepozno jbt vidio coveka godinama,sport,NA
 lik miroslav vjetrović erasure,sport,NA
asu maguari lodi,sport,NA
a prvi našoj kvalifikacionoj grupi dalje implicira gora kurčina,sport,NA
tacno eo poluv znaci bar ,sport,NA
 igraju protiv š v a j c a r k e v a j c a r k e nerešive enigme po ,sport,NA
 organizatori spakovali sile osovine dan,sport,NA
 globalisti satanisti ezoterija oće dunidte istocni fudbal,sport,NA
orlovi strpljivo cekaju svoj plen magli lol madjari svajcarskoj legiji stranacasranje,sport,NA
 umreću krinča pustili pesmu otpisanih drugom sveckom ratu,sport,NA
dobra tekma svidja prvenstvo obje utakmice lol,sport,NA
druže ovom čamugaru skotrljalo noge davao gol ,sport,NA
ma a bogme mađari glupљi srba kakve kiksare,sport,NA
 stigao gledam hortijevce pukli sig,sport,NA
viva espanaaaaaaaa mrzim hrvacku ale alee,sport,NA
slusam radio prenos ocima vidim,sport,NA
toe pravi patriota,sport,NA
 im pglu dresovi družeee,sport,NA
 izađu zone komfora šahovnice,sport,NA
 pisao ojsa,sport,NA
pedro pedro pedro pedroooooooooooooo viva espanaa kakvo gažeњe majku ti ustade dobre igrace al rangu dkotske ustade imale pare duteva distance,sport,NA
 grbavio zadnji godina kroatari kroz jedenje govana penal serije doco kraj,sport,NA
lepo lepojos tri im daju spanci dosta,sport,NA
eto ti plidu odgovora pitanje simpatiše susjede drago izgube ozb bosna ok npr al niste kvalifikovali,sport,NA
naravno drago gube razumem radujem bodњaci ustade pobeđuju mrd picku materinu,sport,NA
 ja govorio stalker slučaju hrvatske jasno vam vječiti neprijatelji tek skora hhehe skechh,sport,NA
 skora postojite ste skora neprijateљi hehe,sport,NA
vuzi srece navijamo skupa jednu zemlju dade usranim potoka,sport,NA
 skora postojite ste skora neprijateљi ti pricam,sport,NA
ja radujem gube kroasani boli al ok posto umislili svetski fudbalu fazon klasa a isralo max,sport,NA
 rskj pišao po ,sport,NA
 pogrešno reko,sport,NA
 rskj obj pravu obj vriste kompleksi,sport,NA
 ustaski rade lol,sport,NA
ponadali hahahh eto vam crveni svirao penal iako uopšte kontakta bar izvikane sudije francuz otvaranju engleski retard dobiju loše ocene,sport,NA
simon dobar al dpanci blejaci uleću kazneni duta trpaj elem kukureљa jednom trenutku spasio gol bacio loptu,sport,NA
 kapiram odluke poslednji čovek odbrane crveni plus penal ,sport,NA
dal uopšte penal kapiram interpretira glavama sudija,sport,NA
 kontakt al pao prelagano plus sapleo travu crveni faul al l posledњi odbrani,sport,NA
ma koga boli ionako ni zaslužili daju gol,sport,NA
druže poslednji poslednjiji golmana jebenog ja kontakt vido iskr mržnje,sport,NA
pipno po nozi pametno pao,sport,NA
računao crveni penal gol,sport,NA
vrv kakva namera automacki a fazon esi okrenut prema golu kontra nekako podlozno tumacenjima,sport,NA
 svakom slučaju morala panjina padne otvoren gol al rezonovao onako ustaški e čekaj imamo penal igrača kraj kurčina hahhahh karma đubre jedno pokvareno,sport,NA
jovana guzijan areni nadomešćuje nedostatak kosjerinekilibarde javnom servisu tjekom natjecanja,sport,NA
 ceko kace smoleman baci koment nedostatak kosjerine,sport,NA
aal areni srpskog muriњa ,sport,NA
 kaci prodo umesto gledas narodnoj tv prvi put cujem ovog nasheg specijalca,sport,NA
inache udala kosjerina modzte setate zauvek,sport,NA
udala pajsad jednog b j a n a j a n a,sport,NA
 gledam patrh nju kretenije venco kakva starleta patrijarha,sport,NA
a vez ije odavno nekim zubarom reklamira onu cetkicu zazube a patrijarh jbt satrleta lik,sport,NA
bukv,sport,NA
 reklamira onu cetkic r a l r a l,sport,NA
lopta laže,sport,NA
stvarno jbt patrijarh lično venčava a kraljevsko venčanje recimo sećam pavle venčao cecu arkana,sport,NA
ma nerealno bukv kakva jajara secam gasicevog malog dzenio vrv mu pasivan izvor prihoda bleji vucelu vrv ovako kiseli ,sport,NA
cuj kosjerina jaka muda znaci bukv tarifa ocu patrijarha soma cepaj obj lozenje patrijarh licno uvede bracne vode uhh,sport,NA
 bogu retardirani brak zasnovan novcu izgledu bezvezne voditeљke raspasti maњe godina,sport,NA
dragana konjerina,sport,NA
vidim ste drkali kosjerinu tugujete udala ošla tv ekrana,sport,NA
 skote hrvate albanaca dortmundu bodri svoju zemlju protiv italije,sport,NA
niko drkao a zadto otidla tv ekrana otisnula manastir udala,sport,NA
 cuj klixa stigli albanci lol stigli minkena celtlanda,sport,NA
 plidu ovi tvoji dadoše gol,sport,NA
 ovi moji ja svačiji kurva kakva,sport,NA
 svojataju,sport,NA
bice ovdje lagano,sport,NA
 dojave sutra ultra napadacki incestoidne mejmune,sport,NA
nikada ponašao pogledajte modrić napravio nakon dalić izvadio igre pogledaj plidu uradio ,sport,NA
hahahaha plidu ti stari raščanin pogodio ,sport,NA
mislio tj italiju pogresno napisao rezultat pretpostavio prije meča ocekivao ce onako brzo pasti gol albanjerosa,sport,NA
jestel upratili onog martin adama mađarske lik izgleda carin hugestaff,sport,NA
stojković zašto bismo napali engleze,sport,NA
sutra orao jede kisnu glistu veceru,sport,NA
videli mimove đembeli lik zalutao fudbal,sport,NA
lik izgleda carin hugestaff wut,sport,NA
stae djembeli igrao teskog centra pogledo tekmu,sport,NA
 skonto jokarinog brata mislio pliduu ,sport,NA
 osecaj sutra fazonu ma daaaaj palac autsajderi ostala tralala sranja,sport,NA
ma kakvi prejaki englezi iznenađenja ovog puta,sport,NA
sumnjam ce useru ovi nasi sutra,sport,NA
 najjače dobijemo engleze izgubimo slovenije danske prvi put,sport,NA
 svabe tukli wc pojeli vnugo jaka muda englezi,sport,NA
mrsava italija obj igraju bracom razumeti,sport,NA
dobijamo engleze kreće ekstaza nacionalna histerija slovenci danci rešavaju respektivno zapamtite reči pičke,sport,NA
dobijamo engleze kreće ekstaza nacionalna histerija drugosrpskih usta bozje usi slovenci danci rešavaju respektivno uzimati drugosrbijanstine ozb,sport,NA
uuuu vcrs mec visokog rizika stadionu sokici,sport,NA
caro mislis ce srbi nadmašiti albance brojnosti stadionu dijaspori sijaset,sport,NA
sumljam iskr odvratni englezi glavni zohari tice,sport,NA
 ponoviti istorija a godina italija srbija,sport,NA
 otele zastave englezima fotovest,sport,NA
 trojica srba krenuli napad a engleza sami odbrani,sport,NA
e super sace bombarduju ponovo krezava srbijo,sport,NA
nikako naucimo lekcije istorije,sport,NA
 sjekirom navijacke zone hamburgu policija upucalaaspx demokratija vrv hans,sport,NA
 evropsko prvenstvo fudbalu nemacka stranapost tekst fazonu kolko zajebani ovi razbežali vrv startovali babe dede sanderlenda a tolki debili slikali zastavama naopačke,sport,NA
ma rokaj klausa muhameda ugrozava sigurnost drugih ljudi posalji pred allaha nek istraga dokazuje dusevno bolesni krscanin islamski terorista,sport,NA
dangerously based,sport,NA
 bate rokas ljude sred bela dana pred navijacima puj pike vazi,sport,NA
aće decoo jedva cekam zabole repku volio donekle puknemo ,sport,NA
mitar vcrs kom zapamtite post picke,sport,NA
govorim policija eliminiše napadače teroriste policija dužna zaštiti građane a pregovara duševnim bolesnicima ti mater bolestan ludari a ulici nevin strada tvojih demona,sport,NA
ma ajde mogli spuste elktrosokerom rane koleno jadni ovakom levicom pliduu ,sport,NA
 tice meča engleska srbija najboljem slučaju engleze a prvi gol srbije iznenađenje vedra neba albanski jučer srbi nafurati terenu tribinama erupcija navijanja kakvu englezi vidjeli presing terenu lopta izlazi polovine engleske englezi pogubljeni srbi pomahnitali suzbili šesnesterac ce trajati nekih minuta englezi dohavizati srbe hvata cooldown kreće preokret poluvremenu ide rezultatom treći pasti negdje pred kraj tekme zapamtite jedenje govana picke,sport,NA
 pliduu priziva pajsad albanski scenario pojma,sport,NA
dusevno bolesni krscanin islamski terorista znaš kažu plidu muslimani teroristi teroristi muslimani he he šala mala vodim ja bezalkoholno pivo bratislavu uskoro,sport,NA
 spominji pivo bajram dan alkoholno ,sport,NA
 jes upro gakpo bice hettrik oce ,sport,NA
solidna holandija al loda poљska otp izgledati eng srb,sport,NA
gakpo oduševio iskr,sport,NA
gakpo zvuči carina izmišljena riječ vukajlijaše,sport,NA
ćale naravno afrike,sport,NA
komentator areni majke,sport,NA
slovenija danska najava,sport,NA
sutra bajram ovi pliduanci praznike zaboravili reject modernity return bogumil,sport,NA
dnevne meceve pratim saita necu trosim cuvam uvece,sport,NA
gakpa pogrešno uveli knjige trebo gapko zove holandija inače lepe dresove ,sport,NA
 ake monstruozan igrač smradiola shitty,sport,NA
 tacan rez kucu okucnicu pametan foden komada partizan srbiju,sport,NA
jesu dobri dresovi oraњa a ovi poљski isti srbski kiki partizai kakve veze partizai srbijom tvoji juce pukli dpanije zagreb suzama ,sport,NA
realno savić mitrović igrali sezonu onoj nekakvoj turskoj odmorni zdravi a mitro nadavao golova ide ruku činjenica vlahović pokaže velikoj sceni izboksuje dobar ugovor ostalo odbrana tanka sredini ovi bolji teško al ajd nečem nadamo,sport,NA
kakve veze partizai srbijom ,sport,NA
rvacka albanija bice teska muka kikibase koga podrzati,sport,NA
hahah al razbezali picke britanske ,sport,NA
 napali navijace srbije euru njemackoj letjele stolice,sport,NA
 radi ti link caro,sport,NA
 de ti panduri,sport,NA
 radi jedi elone,sport,NA
mucki provokatori napali nasu bazu,sport,NA
ovi danci promenili dizajn dresova reko ,sport,NA
if it aint broke,sport,NA
a majmuncina ceferin prati ,sport,NA
 osvetla obraz slovenskih nacija… pala kocka budemo srbi,sport,NA
 pogledad dteta otidli svecko rusiju katara a euro ćemo videti dteta svecko al tad imali najjaci tim vrv ovom veku,sport,NA
 lol dal stvarno on,sport,NA
 nece jasno oca bukvalno gospodar srbije biras ces radis zivotu studiras najprestiznijim fakultetima svetu otvoris privatne firme jebes starlete manekenke pevacice nedeljno ti stotina mogucnosti kvalitetan nacin provedes slobodno vreme ostavis trag pozicije kojoj odaberes gomilom narko dzibera tuces po ulici boljeg dokaza propalog roditeljstva studira najprestižnijim fakultetima hahahahahahhahaha ti kakvi retardi obitavaju tom reditu ajde bacite nuklearku ,sport,NA
videh malopre skeletor kekalovic confirmed stoposto mali on brane gej paradu a iskreno blam erga omnes izgleda postoji državni protokol ispraćaj malog ovakva vojevanja,sport,NA
ajde primajte ste radili vam vucela cale debilko meca dobric,sport,NA
neam nalog jebač,sport,NA
 početak boleo mešam civilima ovako ležao nekom plovilu po pacifiku vazdan rotirao sagovornice pokupim obližnjoj luci,sport,NA
njaaah brzo dosadi potrebno krvi real mali grafu k sig mozete pusite govno ,sport,NA
