"post","tema"
"Od filmova koji su matoriji:

Miris zene - Al je Al
K-Pax - blistavi um je sranje u poredjenju sa ovim
Opasne veze - e ovo je ""ljubavni"" film koji vredi gledati (nisam cito knjigu al verujem da je neverovatna kada je film ovakav)
Usijane glave, Ima li pilota u aviJonu i slicne retardirane komedije jer volim taj retardirani smisao za humor
Monti Pajton - sve od njih

Mrzi me da pisem daje o ovome ali moram reci nesto.
JTU, pa da li si zdrav covek??? Kakvi memopari gejse??? Ameri pokusavaju da docaraju sebi i svetu svoje vidjenje necega sto nikad u zivotu nisu videli... To je kao da ti i ja pocnemo da snimamo film o jetiju ili velikom stopalu...","umetnost"
"@Kurd
:)

Setila sam se jednog dobrog filma ""Do kraja sveta"". Volim apokalipticne filmove, ali ne one komercijalne...","umetnost"
"http://www.youtube.com/watch?v=GVn6JxXhobg&feature=related

http://www.youtube.com/watch?v=1P680TwcEWY&feature=related","umetnost"
"Odličan izbor, Kurde. Dinu sam upijala, gledala bezbroj puta kad sam bila mlađa...","umetnost"
"Ubiti pticu rugalicu
Kum
Rebeka 
Šta se dogodilo sa Bebi Džejn
Let iznad kukavičjeg gnezda 
Dobro da bolje ne može biti
Balkanski špijun (malo domaćih...)
Njuškalo (iz 1972.g)","umetnost"
"Marijana, osim što se pojavljuje u ""Night on Earth"", glumi i u ""Down by Law"" i ""Coffee and Cigarettes"", čini mi se...","umetnost"
"То ваљда значи да га Џармуш цени :)","umetnost"
"Pošto vidim da se tema malo uozbiljila,da i ja kažem nešto pametno:-)))
...Recimo da ja mislim da je ovo najbolji film koji je ikada igde snimljen i da je,ukoliko nekako uporedite kinematografiju sa književnošću,ovaj je film za kinematografiju ono što je za književnost ""Zločin i kazna"" ili ""Braća Karamazovi""...
(oprostite mi na mojoj očiglednoj pristrasnosti prema ruskim klasicima)
Tarkovski i njegov ""Andrej Rubljov"":

http://www.youtube.com/watch?v=OxpbwPmXeAI&feature=related

Savetujem svakom,iole svesnijem,da ga obavezno pogleda i garantujem da će se na kraju filma osećati makar malo drugačije... :-)","umetnost"
"Tarkovski je legendaran, to se razume.

A ja pereporučujem ""The Cook, the Thief, his Wife and her Lover"" od Peter-a Greenaway-a. Poput Danteovog ""Pakla"" u jednom restoranu. Igraju Michael Gambon i Helen Mirren.

http://www.youtube.com/watch?v=ToT0yAM2WU4&feature=related","umetnost"
"meni su ovih dana/meseci dobri sledeći filmovi:

verovatno jedan od najboljih filmova ikada:
Ordet 

a tu su i:
la jetee
pierrot le fou

od novijih:
Adrift in Tokyo (negde se pominje i nativ ""tenten"")
whisper of the heart
water lillies (svidelo bi se jtu-u sigurno)(u originalu: Naissance des pieuvres)
eureka
---

rekoh to mi je ovih dana nekako dobro. od tarkovskog su mi draži ivanovo detinjstvo i ogeldalo od rubljova i ostalih...

što reče che-vu waking life... linklater mi je jedan od omiljenih :)

a i iz nekog razloga mnogo volim filmove camerona crowa, naročito almost famous. nekako su lepi i zabavni.

nije mi ni ova nova navala komedija iz produkcijske kuće juda appatowa loša, 40 year old virgin, knocked up, superbad, forgeting sarah marshal etc...","umetnost"
"Jos par sto mi padose na pamet:

-Buffalo 66, film koji je rezirao, napisao i odglumeo genijalni Vincent Gallo, (takodje neponovljiv u filmovima ""LA without a map"" i Kustinom ""Arizona Dream""). Ovaj film mnogi vole da mrze, a mene je izmedju ostalog osvojio zato sto je kao soundtrack stavio album ""Fragile"" moje omiljene grupe - ""Yes"", koju isto mnogi vole da mrze.

-Hard Candy - veoma provokativan, tabu-tematican film. 

-A very long engagement - film o Prvom svetskom ratu, sjajna kinematografija, a radili su ga isti likovi koji su pravili reklame za Stella Artois. Takodje, dobra prilika da vidite Jodie Foster kako glumi na Francuskom.","umetnost"
"Forest Gump,The Shawshank redemption, flight over a cuckoo's nest,Pulp Fiction,Waterland,Fisher king,Trainspotting,Spider,Dead ringers,The big lebowski,Apocalypse now,The doors,The last of the mohicans,Raging bull,The godfather I i II,Usual suspects,Carlito's way,Once upon a time in America.. itd itd..za mene je dobar film onaj kojeg svaki sledeci put gledas sa vecim odusevljenjem .","umetnost"
"The big lebowski је стварно одличан филм, Суперхик, али је, чини ми се некако прошао баш незапажено. Штета...","umetnost"
"Mare,prave stvari su uvijek u manjini,rekao bih srecom,mada cini mi se da je bio u konkurenciji za oskara al eto ove godine braca Coen ga dobise za losiji film.Imali su oni dobrih filmova,onaj sa tim robbinsom kad ga postave za direktora kompanije,kako li se zvase (*Superhik se ceska po glavi ) Pa jedan sa john turthurom i john goodmanom kad je ovaj prvi pisac scenarija,pa i brother where are you sa george cloonyem.Nimalo holivudski filmovi.","umetnost"
"I american beauty mi je kick (american) ass film,spacey je tu genijalan...kao i nicolas cage u leaving las vegas,moj favorit iz dana kad opravdavah svoj nick.U kini jedu pse zar ne je simpa.Last tango in paris bertolucijev provokativni klasik sa ludim brandom .Shunka shunka bigasa lune,totalno napaljiv film ..kao i njegova bambola..zjb pornice pri tome =D  Meet tge parrents od povrsnih komedija..There's something about marry,tu sam probudio ukucane mislili su da sam pusio joint.Seven i fight club,fincherova remek djela .Uh toliko toga ima..","umetnost"
"Ja tek sad videh ovu temu i oduševila me je DLZ! Ako ti je Strangelove omiljeni film, ja te molim da se udaš za mene!!!","umetnost"
"evo malo preporuka (većina nije preterano poznata, neki jesu, uglavnom ovi noviji, ali je svaki mnogo dobar, barem meni, na neki poseban način):
Eureka  (ovo je verovatno jedan od top 10 filmova ikada snimlejnih)
Mauvais Sang
Winter Passing
Throw Away Your Books, Rally In The Streets
Straw Dogs 
Still Life
The Pineapple Express
Trouble Every Day
Happy-Go-Lucky
La Promesse","umetnost"
"Storm of the century
Rekvijem za snove
Diary of Elen Rimbauer
Hot Fuzz
Shaun of the dead
The Last Unicorn-crtani :)
Secret Window
Svi Pajtonovci

Ima ih još, ali sada mi samo ovo pada na pamet...","umetnost"
"Jos malo preporuka...

Sa obzirom na to da mi je naglo porasla zainteresovanost za animirane filmove, mogu preporučim crtane filmove Ralph-a Bakshi-ja (Hey Good Lookin', American Pop, Heavy Traffic, Coonskin, pa čak i Fritz the Cat - prvi crtani zabranjen za mladje od 18 godina, ali zato ne preporučujem Wizards i Lord of the Rings).","umetnost"
"Ja bih svima toplo preporučimo da na FEST-u ovog februarija pogledaju film Aleksandar Nevski. Nemam pojma ništa o filmu ali kapiram da će biti pišanja i kenjanja po Mongolima od strane brata Rusa koji ima crkvaju na Ćordolu tako da to realno ne treba propustiti.","umetnost"
"Aleksandar Nevski!!?? Ako misliš na onaj iz tridesetih godina, to je bio jedan oda najboljih filmova koje sam gledao.... ikad!
Sa sve Nemcima koji spaljuju decu i Rusima koji pevajući idu u rat... pišao sam se živ... A tek borba na zaleđenom jezeru na kraju filma!! :) :) :)","umetnost"
"The Wall
Ludilo - jednom sam ga negde gledala, a sad nigde ne mogu da ga nadjem. O nekoj ludnici i de Sadu i svashta nesto - odlichan je. Ako neko zna o chemu pricham, nek se javi :)
Kill Bill
Coffee and cigaretts
Pijanista
Sjaj
Blistavi um
Bird 
Maratonci :D
Underground
.. pih, ne znam dalje, ali ima josh dosta..","umetnost"
"Obaveznao pogledajte Butterfly on a Wheel!","umetnost"
"The Bank Job.
Jason Statham - smeker.","umetnost"
"LJUDI AKO VOLITE KOMEDIJU POGLEDAJTE HAROLD AND KUMAR OBAVEZNO!Imaju dva dela...","umetnost"
"Preporucujem:
Rise of the Footsoldier - jedan od najbrutalnijih filmova koje sam gledao ne racunajuci Rambo 2,
RocknRolla - jos jedna majstorija Gaja Ricija,
Slumdog Millionaire - nominovan za 10 Oskara...procenite sami","umetnost"
"Treba mi pomoć.... pod hitno.... dobijam karton vina ako saznam.... :DDDD

Naime, treba mi naziv jednog filma. Sve što o njemu znam jeste da je izašao pred kraj 90ih i da je na foru Armagedona, s tim što je ovo jedini film u kome asteroid stvarno udari u zemlju i sjebe sve.... Ako vam je od pomoći, sećam se da na kraju filma preživljava samo 20ak ljudi, koji izlaze iz nekog podruma, svi u belom i tripuju neki harikrišna fazon.... :DDDD

Ako neko zna o kom filmu pričam, molim da se javi..... Unapred FALA!!!!","umetnost"
"Deep Impact

a 
možda je i 

Asteroid

pre će biti da je asteroid pošto ga nisam gledao, a u ovom trešu od dip imapkta preživi ljudi kolko hoćeš :))

(to su manje više svi filmovi sa kraja devedesetih sa asteroid-udara-zemlju tematikom...)","umetnost"
"E sad jebiga,ne moze to tako,svaki film je dobar na svoj nacin,tako da nemogu da izdvojim neki a da ne spomenem neki drugi.","umetnost"
"Bilo jednom u Americi
Prohujalo sa vihorom","umetnost"
"Cidade de Deus, brazilski film koji me oduševio. Još kad se uzme u obzir da je zasnovan na istinitoj priči garantuje baš jak doživljaj. Inače radi se o sukobu bandi u predgrađu Rio de Žaneira, i to sve izgleda potpuno autentično, svi glumci deluju kao da su pokupljeni sa ulice i da su stvarno članovi bande.","umetnost"
"Volim drame. Moj omiljeni film je KUCA CUDNIH DUSA","umetnost"
"Odgledao sam Revolver i Rokenrolu,kao da vidim ovog posledvečadjaveisneča Ričija i jbg,kao što sam i strepeo:smeće.
Veliko.
Skoro sam pogledao i matoru Paranoju u Las Vegasu,skroz sam zadovoljan.
Odgledao i film po prvoj knjizi Terija Pračeta,nije to to.","umetnost"
"Paranoja u Las Vegasu = Feer and loathing in LV?

Ako je to (a verovatno jeste), ja ne kapiram. Svima se svidja film, ali ja ga uopste nisam ukapirao, i bio mi je bezveze. Dal' sam omatoreo, sta li je, pojma nemam?","umetnost"
"Jesi, jesi... :D
Bolje da pokušaš sa knjigom. Mene je ona oduševila. Hanter Tompson.","umetnost"
"""Šta sve možeš u Denveru kad si mrtav""
Meni se jako dopao taj film. Jel još neko gledao?","umetnost"
"Boat drinks!
Omiljeni film :)","umetnost"
"Preporučujem Fanboys.
Žanr: zajebancija sa Big Lebowski šmekom.
Čet'ri ortaka,gikovi,fanovi Star Wars-a idu na Lukas ranč da ukradu i prvi pogledaju novi nastavak za koji se šuška da izlazi.Usput naravno,prolaze koz gomilu zgoda i nezgoda uključujući i nasilne sukobe sa fanovima Zvezdanih Staza. (prljavi Trekiji :)) ).
Još jednom,topla preporuka.","umetnost"
"Predložio bih takodje da ubuduće uz naziv i preporuku gurnete i sinopsis.
Realno neću da pogledam film,ako ovde napišete Taj i taj film,do jaja je baš. :)","umetnost"
"Pijanista-tužan film,istinita priča
Apocalypto-morbidan film,u neku ruku tužan
Chalenging-tužan film,istinita priča 
Mrzi me da opisujem o čemu se radi,ali ako volite da se osećate ogorčeno,bezvoljno i tužno posle gledanja nekog filma,onda su ovo ti filmovi...","umetnost"
"Posto postoje dve ovakve teme (evo je druga), mozda ne bi bilo lose da ih spojite u jednu. A? :)","umetnost"
"Sumnjam da će to moći. A i ako se pokuša sa spajanjem, nastaje džumbus, 100%.","umetnost"
"Hvala IvaNA. :)","umetnost"
"Druga tema je zaključana (straija i ima manje postova), da ne dupilarmo.","umetnost"
"The Number 23
The Fountain
The Jacket
Things to Do in Denver When You're Dead
A Beautiful Mind
The Usual Suspects
Perfume: The Story of a Murderer
Requiem for a Dream
The Grudge 2
Angel Heart
Pulp Fiction
Laberinto del fauno, El
Once Upon a Time in America
Crash
The Manchurian Candidate
The Butterfly Effect
A Clockwork Orange
Romper Stomper

I dodao bi jos sve filmove sa Tom Hanks-om.
Naravno, ne samo ovi filmovi i ne tim redom. :)

Gvozdene, imas linkove ka imdb pa citaj komentare do mile volje :)","umetnost"
"Zivot je cudo, Vrane, Pulp fiction, Apokalipsa reduks, Variola vera, Budjenje pacova, Skupljaci perja, Lepa sela lepo gore, Hadersfild.","umetnost"
"Pan's Labyrinth, Little Children","umetnost"
"Pulp Fiction
Живот је леп
Eulogy, код нас преведено као ""Суманути парастос"", како год - луд ми је филм скроз

Неко спомену ""Параноју у Лас Вегасу"" - извините, али убедљиво најгоре утрошених два сата у мом животу
И за све љубитеље ""Лета изнад кукавичјег гнезда"" - филм је феноменалан, али је књига мноооого боља","umetnost"
"evo ko ima vremena terbalo bi svakako da obrati pažnju na američku autorku Kelly Reichardt.
gledao sam njena dva filma, ""Old Joy"" i ""Wendy and Lucy"", i moram reći da je ona trenutno verovatno jedna od najzanimljivijih filmskih stvaralaca na planeti. 
old doj sam gledao tamo pre godinu i nešto, a vendi i lusi pre jedno pola godine, ali mislim da su to filmovi koji potpuno otvoreno pristupaju ljudima, bez okolišanja i lelemuđenja, već pogađaju tačno tamo gde treba.","umetnost"
"Hard Candy
The last unicorn
Lolita
Dracula, true story of dark prince
Drop Dead Gorgeous","umetnost"
"a mene smara što sam sve te predložene filmove gledao :D","umetnost"
"Ako neko ima volje da mi pošalje film Kosa odužiću mu se na neki način.
Komunikacija preko PVT-a","umetnost"
"ajde i ja da spomenem poneki film:
Monsieur Verdoux 
Admiral
The Adventures of Robin Hood	
La cité des enfants perdus (grad izgubljene dece)
Delicatessen (delikatesna radnja)
u kini jedu pse
jala,jala
Andrej Rubljov
Pinocchio (Benjini)
Son of the Pink Panther (Benjini)","umetnost"
"Moj favorit:
Ciudad de Deus (brazilski)
Once upon a time in the West
Casablanca
Tri muskarca i noga (italijanski)
La Haine (francuski)
Goodfellas

Al ovo ste svi gledali...otprilike, kolko vidim","umetnost"
"Ne primetih da iko pominje filmove Devida Linča... Pa gde ste , bre, ljudi! Čovek nas stvarno vodi na mesta koja samo on poznaje, a mi imamo tu sreću da bar malo virnemo.
I još: Old Boy, Harsh Times, Constantin, 2046, Hellboy...","umetnost"
"Da dodam...Dom za vesanje...pojma nemam zbog cega, mozda zbog pesme...

A Hellboy je mnogo dobar, a i Elephant man...valjda je to njegovo...

Ja sam vise covek za serije...","umetnost"
"da dodam:

Kevin Smith...sve","umetnost"
"@Che-Vu
Hvala na preporukama:
Gledao sam Buffalo 66, Hard Candy i Waking life.
Dobri filmovi.","umetnost"
"Ja se ipak držim klasičnog holivuda, iako su mi zasuzile oči u petak na Dom za vešanje. Izdvojio bih Fight Club (ko nije gledao neka odgleda), za zaljubljene The Curious Case Of Benjamin Button, a za neshvaćene, neka za svaki slučaj ponovo odledaju American Beauty. Još bih dodao da je Cidade de Deus (koji je preporučio Vlajko) odličan.","umetnost"
"Ja sam ga gledao 3 puta :)
I uvek se kao pravim da ne znam sta ce da bude...","umetnost"
"wicked - i meni su nedavno oci zasuzile na Dom.
Nisam neki filmadzija, ali evo nekoliko:

The Elevator - francuski triler iz sezdesetih, a posebnost oko njega je muzika. Naime, Majls Dejvis je u to vreme ziveo i radio u Parizu i ovo je bio prvi film gde su muzicarima pustili projekciju, a oni improvizovali. Majls je svirao trubu i flugelhorn, a neka dva Francuza klavir i bas.
Pored svega toga, film nije uopste los sam po sebi.

""Love me if you dare"" - opet francuski, ja se istripovao da je neki hardkor festivalski, kad ono ""glavni potok"", al' svejedno meni je bio super film.

I da ubacim jednu komeNdiju - ""Hercules returns"". Australijska komedija, kao neki ljubitelji z-grade kinematografije otvore svoj bioskop, ali u tome hoce da ih spreci baja koji drzi bioskop koji dere ljude na blokbasterima i ljigi. Za otvaranje puste neki italijanski film iz sezdesetih o Herkulesu, ali do same premijere ne skapiraju da je film na italijanskom, bez titlova, sto im jedino ostavlja izbor da sami naprave sinhronizaciju... za CEO film.
Hiljaditi put kad sam ga gledao, jos uvek bih provalio neku foru koju nisam do tada.","umetnost"
"Прексиноћ сам гледао ""Звона Богородичине Цркве"" са Иннгрид Бергман. Леп филм...","umetnost"
"Синоћ сам гледао ''Дечак у пругастој пиџами'' (The Boy in the Striped Pajamas). Није лош филм.
Ево чланка:
http://en.wikipedia.org/wiki/The_Boy_in_the_Striped_Pyjamas_(film)","umetnost"
"Veridba je dugo trajala (Un long dimanche de fiançailles/A very long engagement)
Snimljen je po knjizi Sebastijen Žaprisoa. Pošto sam knjigu čitala 5-6 godina pre nego što sam odgledala film, prvo nju preporučujem, a onda i film (slike koje sam stvarala dok sam čitala knjigu su stravično slične onima u filmu, ali to je subjektivna stvar).
Prvi svetski rat; Manek odlazi na front i ostavlja za sobom verenicu Matildu. Matilda se ne miri sa vestima o Manekovoj smrti i sama kreće u potragu ulazeći u trag ljudima koji su sa njim bili na ratištu. Bilo bi suvišno napisati još nešto o radnji, koga zanima neka pogleda. 
Film je režirao Žan-Pjer Žene (Čudesna sudbina Amelije Pulen), a glavnu ulogu tumači - Amelija, tj. Odri Totu.","umetnost"
"Погледати врло брзо ""Имитацију живота"" са Ланом Тарер.","umetnost"
"Deset ""MUST SEE"" po mom skromnom misljenju (izuzimajuci Kuma, koji se podrazumeva):

1. Bilo Jednom u Americi (Once Upon a Time in America)

2. Fight Club 

3. Jesenja Legenda (Legend of the Fall)

4. Snatch 

5. London

6. Djavolji Advokat (Devils Advocate)

7. Dezurni Krivci  (The Usual Suspects)

8. Matrix  (samo prvi deo)

9. Kancelarijski Prostor (Office Space)

10. Americka Istorija X (American History X)","umetnost"
"Dan mrmota
Efekat Leptira
(na primer)","umetnost"
"uuu dan mrmota, mocan film","umetnost"
"Jedini koji bih hteo da odgledam ali još nisam bio u prilici je stari film Građanin Kejn. Ako je gledao neko može da ovde prenese utiske? Mislim da je iz 50 i neke.","umetnost"
"Gledao Transformerse 2 i Watchmen u jedan dan - Transformersi su odrađeni
k'o prosečan akcioni film, ali su zadnjih pola sata filma zbrzali i spojili tako loše da se pitam da Spilberg nije namerno seckao film u inat Majklu Baju, a Watchmen, pa, ostavio je na mene mnogo dobar utisak posebno su dobro prikazali svaki tip superheroja - od poludelih multimilionera do hodajućih polubogova","umetnost"
"Crank 2, gledao sinoć. Totalno bolesno. Vrh - karanje na hipodromu, na stazi, dok konji preskaču preko aktera...","umetnost"
"K-PAX, glumi Kevin Spacey...vredi da se pogleda.

Preporucujem i neke filmove gde glumi Steve McQueen
The Cincinnati Kid, Bullitt...i ostale.

Jebem li ga...Cudesna sudbina Amelije Pulen, isto moz se pogleda...

I naravno:
Bruno 

Jos jedan alter ego Sacha Baron Cohen-a...pored vec poznatih Ali G-ja i Borat-a.
Film je urnebesan.","umetnost"
"Nešto mi došlo da se podsetim mladosti, pa upravo skidam triologiju Austina Powersa... Bude veselo... :D","umetnost"
"Gledao Half Blood od Harija Potera i ma šta ljudi pričali film je živa dosada, ne može ni da se takmiči sa knjigom. I gledao još komediju Hangover, šta se desi kada gomila udrogiranih likova počne da se zajebava po Vegasu - odličan film.","umetnost"
"Gledala ""Zodiac""(mislim da se ovako piše) na HBO,bio juče,dobar je film,istinita priča o serijskom ubici koji nije uhvaćen a učinio je sve moguće da ga provale...
Gledala ""Sid i Nency"" preko interneta,glup je film,a i nema veze sa životom.
Gledala ""Kendi"" sa Hit Ledžerom,sviđaju mi se filmovi sa njim.
Treba da gledam Hari Potera,inače nisam neki fan,ali svake godine idem sa drugaricom,postala nam tradicija.","umetnost"
"Ja bih toplo preporucila koreanskog reditelja Chanwook Park-a, njegovu trilogiju (ne nuzno ovim redom) : Oldboy, Sympathy for Mr Vengeance i Lady Vengeance.
A za opustanje Cristopher Guest-a, (najkultniji mu je Spinal tap) koji se odlicno se sprda sa zanrom dokumentarca. Neki od naziva su Mighty wind, Waiting for Guffman, Best in show itd.","umetnost"
"preporučio bih ""The Curious Case of Benjamin Button"", (2008). 
glavnu ulogu tumači bred pit. radi se o čoveku koji se rađa kao beba-starac, ali kako vreme odmiče postaje sve mlađi...","umetnost"
"12
Nikita Mihalkov","umetnost"
"Pogledajte ''Elitni odred'', brazilski.
Ono što tamo rade regrutima stvarno nije za svačiji stomak. A šta tek oni koji prodju obuku rade dilerima droge... Bez šminke, bez zadrške!","umetnost"
"Pogledajte DEVETA ČETA-ruski film, pokazuje sav besmisao ratova uopšte na primeru ruskog angažovanja u Avganistanu,režiser je Miša Bondarčuk
 u originalu se zove 9-ta rota","umetnost"
"takodje -DOM DURAKOV(kuća ludaka)opet ruski , njihov odgovor na ""LET IZNAD KUKAVIČJEG GNEZDA""","umetnost"
"Pored velikog broja odličnih već pomenutih filmova eventualno obratiti pažnju još na:
1. Full metal jacket
2. Barfly (Barska mušica)
3. The Graduate (Diplomac)

I naravno Balkanski špijun i dr Strangelove makar jednom mesečno...","umetnost"
"Jazo...Diplomac, Dr.Strangelove i Jacket su odlicni filmovi...

Ja bi dodao jedan makedonski film ""Balkankan"", gledao sam ga 7 puta.","umetnost"
"A za ljubitelje tinejdzerskih komedija (znam, niko ih ne gleda, svi gledaju filmove kao ""Engleski pacijent"" posle deset sati na poslu :-)) preporuka je ""Girl next door"". Plitiko i opustajuce. 

Engleskog pacijenta i Balkankan pogledati takodje...","umetnost"
"dobro si ovo reko za Girl next door...za mene sasvim dobra komedija, e sad ako oces da gledas malo bolji film na tu temu dodas Kevina Smitha i eto ti Zack and Miri make porno...filmcina!","umetnost"
"Ha Ha Ha... BalkanKan!!! Odlično jugoslavensko ostvarenje!!!
Vrlo nostalgičan film...","umetnost"
"Taj film je fenomenalan.","umetnost"
"@medicus i @Ivana 
drago mi je sto delite moje misljenje...ja se uvek dobro nasmejem kad gledam taj film...

""Bugarska rabota"" :)","umetnost"
"Kad se vec pominju domaci filmovi - O pokojniku sve najlepse

Nije mi jasno kako su im dali da snime takvu sprdacinu na komunizam 1984...","umetnost"
"Ma snimali su sprdacine...samo mi tako mislimo da se nije moglo snimati...meni prvo padne na pamet Mlad i zdrav kao ruza...","umetnost"
"Film koji sam odgledala TEK sada, sram me bilo. 
Naked

Odavno nisam nesto bolje.","umetnost"
"imam jedno vise stotina omiljenih filmova,ali jedan koji me uvek potrese je Rain Man-Kisni covek........fenomenalan film","umetnost"
"Dead Man (Jim Jarmusch)
Psycho (Alfred Hitchcock)
Rear Window (Alfred Hitchcock)
It`s a Wonderful Life (James Stewart)

Desetak Kurosawinih filmova recimo...

1.Reservoir Dogs (Quenteen Tarantino)
2.The Mission (Jeremy Irons,Robert de Niro)
3.Saving Private Ryan (Ekipa...)
4.Fight Club (Brad Pitt,Edward Norton)
5.The Darjeeling Limited (Owen Wilson,Adrien Brody)

Takodje filmovi Lika Besona,Pedra Almodovara,Lucas,Spielberg,Cameron,Coppola... i pored toga sto je dobar glumac,Clint Eastwood je jako dobar reditelj!","umetnost"
"Mene jako interesuje da li ovde ima obožavalaca Ingmara Bergmana ili Andreja Tarkovskog? 

Preporučio bih svima koji od filmova ne traže dvočasovno ubijanje dosade, tj koji vole prvenstveno umetničke filmove začinjene filozofskom tematikom, ovu dvojicu umetnika. Kod njih je sve posebno i nikad ponovljeno. Sa obojicom treba imati živaca, jer dok se ne skapira njihov ples sa kamerama, pojedini njihovi filmovi mogu delovati uspavljujuće i čak dosadno, ali to je samo za onaj filmski ukus koji je odrastao na Holivudu poslednjih 25 god. Npr. ""Nostalgiju"" od Tarkovskog sam morao da gledam nekoliko puta da bih mogao da nešto skapiram, bez naravno pomoći kritika koje nisam hteo da čitam dok ne sklopim sopstvenu sliku, i svaki naredni put sam bio sve prikovaniji za fotelju i doživljaj tog filma za mene je prosto neopisiv. Sličan je trip i sa ""Tišinom"" ili ""Zimskim svetlom"" od Bergmana. Tarkovski je sažetiji, ima tek nekoliko duuuuuugometražnih od kojih nijedan nije promašaj, dok je Bergman snimio nekoliko puta više filmova, te sam kod njega nailazio na neke koji su ostavljali bljutav utisak, mada je i pored toga Bergman moj omiljeni ikad. Svi oskarovci od sedamdesetih do danas od Bergmana su se učili kinematografiji. Uglavnom treba biti strpljiv i istrajan sa ovom dvojicom reditelja, a intenzivna inspiracija i neverovatan spektar otvorenih pitanja, ostaće kao utisak od pogledanih njihovih filmova.","umetnost"
"Gledala sam samo jedan film Tarkovskog: Offret - Sacrificatio, i svideo mi se. Bergmana nikad nisam gledala, a čuči mi ovde pored levog kolena :-)","umetnost"
"Od Bergmana jedino Sedmi pecat...a od Tarkovskog...Andrej Rubljov...toliko.
Kad imam nekad vremena pokusacu da odgledam jos.

U medjuvremenu odgledajte:
Bronson - film iz ove godine, britanski, o njihovom najpoznatijem zatvoreniku, koji robija vec 34 godine, a lud je ko struja...","umetnost"
"Jel' gledao neko Brothers Bloom? Liči na dobar film, odlični glumci(Adrien Brody, Mark Ruffalo...), poslednji film od istog pisca/režisera bio odličan Brick, a još i sniman kod nas i u okolini (Beograd, Vojvodina, Madjarska, Bar...)...","umetnost"
"""Rubljov"",""Stalker""od Tarkovskog,""Bura"",""Dete iz Mekona"",""Ričard III"" Grinaveja..","umetnost"
"Od novijih stranih filmova preporučila bih vam ""Angels and demons"", ""Eagle eye"", ""The Express"", a od domaćih filmova, jedan od mojih omiljenih, a to je ""Lavirint"", zatim ""Variola vera"", ""Lepa sela lepo gore"", ""Bulevar revolucije"", ""Kaži zašto me ostavi"" i ""Hadersfild"".","umetnost"
"ja sam u petak gledao edit i ja :D","umetnost"
"Italian job(али онај стари из '69.са Мајклом Кејном),Јужњачка утеха,Путовање у средиште земље...Нисам неки филмофил,али ово препоручујем.","umetnost"
"I sad će dupe da mi pomera mesec dana jer je gledao Edit i ja pre mene... Smrad! :)","umetnost"
"Pre neko veče sam gledala malo stariju američku srednjoškolsku komediju Porky's i moram da priznam da me nije skoro rasplakao od smeha neki film.
Veoma simpatično i nenametljivo duhovit film ili samo samo bila dobro raspoložena :)","umetnost"
"Let the right one in planiram da gledam, svakodnevno. Jos nisam.","umetnost"
