post,tema,topic
 pomoć pod hitno dobijam karton vina saznam dddd naime naziv jednog filma jeste izašao pred kraj foru armagedona tim jedini film kome asteroid stvarno udari zemlju sjebe vam pomoći sećam kraju filma preživljava ak ljudi izlaze nekog podruma belom tripuju harikrišna fazon dddd kom filmu pričam molim javi unapred fala,umetnost,NA
deep impact a asteroid asteroid pošto gledao a ovom trešu dip imapkta preživi ljudi kolko hoćeš manje filmovi kraja devedesetih asteroid udara zemlju tematikom,umetnost,NA
e jebigane takosvaki film dobar svoj nacintako nemogu izdvojim a spomenem drugi,umetnost,NA
 jednom americi prohujalo vihorom,umetnost,NA
cidade de deus brazilski film oduševio uzme obzir zasnovan istinitoj priči garantuje jak doživljaj inače radi sukobu bandi predgrađu rio de žaneira izgleda potpuno autentično glumci deluju pokupljeni ulice stvarno članovi bande,umetnost,NA
volim drame omiljeni film kuca cudnih dusa,umetnost,NA
odgledao revolver rokenrolukao vidim ovog posledvečadjaveisneča ričija jbgkao strepeosmeće veliko skoro pogledao matoru paranoju las vegasuskroz zadovoljan odgledao film po prvoj knjizi terija pračetanije ,umetnost,NA
paranoja las vegasu feer loathing in lv a verovatno jeste ja kapiram svima svidja film ja uopste ukapirao bezveze dal omatoreo pojma nemam,umetnost,NA
jesi jesi d pokušaš knjigom oduševila hanter tompson,umetnost,NA
 denveru mrtav jako dopao film gledao,umetnost,NA
boat drinks omiljeni film ,umetnost,NA
preporučujem fanboys žanr zajebancija big lebowski šmekom četri ortakagikovifanovi star wars a idu lukas ranč ukradu prvi pogledaju novi nastavak šuška izlaziusput naravnoprolaze koz gomilu zgoda nezgoda uključujući nasilne sukobe fanovima zvezdanih staza prljavi trekiji jednomtopla preporuka,umetnost,NA
predložio takodje ubuduće uz naziv preporuku gurnete sinopsis realno neću pogledam filmako napišete filmdo ,umetnost,NA
pijanista tužan filmistinita priča apocalypto morbidan filmu ruku tužan chalenging tužan filmistinita priča mrzi opisujem čemu radiali volite osećate ogorčenobezvoljno tužno gledanja nekog filmaonda ti filmovi,umetnost,NA
posto postoje dve ovakve teme druga lose spojite jednu a ,umetnost,NA
sumnjam moći a pokuša spajanjem nastaje džumbus ,umetnost,NA
 ivana ,umetnost,NA
druga tema zaključana straija manje postova dupilarmo,umetnost,NA
 number fountain jacket things in denver when youre dead a beautiful mind usual suspects perfume story of a murderer requiem a dream grudge angel heart pulp fiction laberinto del fauno el once upon a time in america crash manchurian candidate butterfly effect a clockwork orange romper stomper dodao filmove tom hanks om naravno ovi filmovi tim redom gvozdene linkove ka imdb citaj komentare mile volje ,umetnost,NA
zivot cudo vrane pulp fiction apokalipsa reduks variola vera budjenje pacova skupljaci perja lepa sela lepo gore hadersfild,umetnost,NA
pans labyrinth little children,umetnost,NA
pulp fiction život lep eulogy prevedeno sumanuti parastos lud film skroz spomenu paranoju las vegasu izvinite ubedљivo najgore utrodenih dva sata mom životu љubiteљe leta iznad kukavicjeg gnezda film fenomenalan kњiga mnoooogo boљa,umetnost,NA
 vremena terbalo svakako obrati pažnju američku autorku kelly reichardt gledao njena dva filma old joy wendy lucy moram reći trenutno verovatno jedna najzanimljivijih filmskih stvaralaca planeti old doj gledao godinu a vendi lusi jedno pola godine filmovi potpuno otvoreno pristupaju ljudima okolišanja lelemuđenja pogađaju tačno ,umetnost,NA
hard candy last unicorn lolita dracula true story of dark prince drop dead gorgeous,umetnost,NA
a smara predložene filmove gledao d,umetnost,NA
 volje pošalje film kosa odužiću mu način komunikacija pvt a,umetnost,NA
ajde ja spomenem poneki film monsieur verdoux admiral adventures of robin hood la cité des enfants perdus grad izgubljene dece delicatessen delikatesna radnja kini jedu pse jalajala andrej rubljov pinocchio benjini son of pink panther benjini,umetnost,NA
 favorit ciudad de deus brazilski once upon a time in west casablanca tri muskarca noga italijanski la haine francuski goodfellas al ste gledaliotprilike kolko vidim,umetnost,NA
 primetih iko pominje filmove devida linča ste ljudi čovek stvarno vodi mesta on poznaje a imamo sreću bar virnemo old boy harsh times constantin hellboy,umetnost,NA
 dodamdom vesanjepojma nemam cega pesme a hellboy dobar a elephant manvaljda ja covek serije,umetnost,NA
 dodam kevin smithsve,umetnost,NA
che vu preporukama gledao buffalo hard candy waking life dobri filmovi,umetnost,NA
ja držim klasičnog holivuda iako zasuzile oči petak dom vešanje izdvojio fight club gledao odgleda zaljubljene curious case of benjamin button a neshvaćene slučaj ponovo odledaju american beauty dodao cidade de deus preporučio vlajko odličan,umetnost,NA
ja gledao puta pravim ce ,umetnost,NA
wicked nedavno oci zasuzile dom filmadzija nekoliko elevator francuski triler sezdesetih a posebnost muzika naime majls dejvis vreme ziveo radio parizu prvi film muzicarima pustili projekciju a improvizovali majls svirao trubu flugelhorn a dva francuza klavir pored film uopste los po love if dare francuski ja istripovao hardkor festivalski glavni potok al svejedno super film ubacim jednu komendiju hercules returns australijska komedija ljubitelji z grade kinematografije otvore svoj bioskop tome hoce spreci baja drzi bioskop dere ljude blokbasterima ljigi otvaranje puste italijanski film sezdesetih herkulesu same premijere skapiraju film italijanskom titlova im jedino ostavlja izbor sami naprave sinhronizaciju ceo film hiljaditi put gledao provalio foru tada,umetnost,NA
preksinoć gledao zvona bogorodicine crkve inngrid bergman lep film,umetnost,NA
sinoć gledao decak prugastoj pičami boy in striped pajamas lod film clanka ,umetnost,NA
veridba dugo trajala un long dimanche de fiançaillesa very long engagement snimljen po knjizi sebastijen žaprisoa pošto knjigu čitala godina odgledala film prvo nju preporučujem a film slike stvarala čitala knjigu stravično slične onima filmu subjektivna stvar prvi svetski rat manek odlazi front ostavlja sobom verenicu matildu matilda miri vestima manekovoj smrti sama kreće potragu ulazeći trag ljudima njim ratištu suvišno napisati radnji koga zanima pogleda film režirao žan pjer žene čudesna sudbina amelije pulen a glavnu ulogu tumači amelija tj odri totu,umetnost,NA
pogledati vrlo brzo imitaciju života lanom tarer,umetnost,NA
deset must see po mom skromnom misljenju izuzimajuci kuma podrazumeva jednom americi once upon a time in america fight club jesenja legenda legend of fall snatch london djavolji advokat devils advocate dezurni krivci usual suspects matrix prvi deo kancelarijski prostor office space americka istorija x american history x,umetnost,NA
dan mrmota efekat leptira primer,umetnost,NA
uuu dan mrmota mocan film,umetnost,NA
jedini hteo odgledam prilici stari film građanin kejn gledao prenese utiske ,umetnost,NA
gledao transformerse watchmen dan transformersi odrađeni prosečan akcioni film zadnjih pola sata filma zbrzali spojili loše pitam spilberg namerno seckao film inat majklu baju a watchmen ostavio dobar utisak posebno prikazali tip superheroja poludelih multimilionera hodajućih polubogova,umetnost,NA
crank gledao sinoć totalno bolesno vrh karanje hipodromu stazi konji preskaču aktera,umetnost,NA
k pax glumi kevin spaceyvredi pogleda preporucujem filmove glumi steve mcqueen cincinnati kid bullitti ostale gacudesna sudbina amelije pulen moz pogleda naravno bruno alter ego sacha baron cohen apored poznatih g ja borat a film urnebesan,umetnost,NA
 došlo podsetim mladosti upravo skidam triologiju austina powersa veselo d,umetnost,NA
gledao half blood harija potera ma ljudi pričali film živa dosada ni takmiči knjigom gledao komediju hangover desi gomila udrogiranih likova počne zajebava po vegasu odličan film,umetnost,NA
gledala zodiacmislim ovako piše hbobio jučedobar filmistinita priča serijskom ubici uhvaćen a učinio moguće provale gledala sid nency internetaglup filma veze životom gledala kendi hit ledžeromsviđaju filmovi njim gledam hari poterainače fanali svake godine idem drugaricompostala tradicija,umetnost,NA
ja toplo preporucila koreanskog reditelja chanwook park a njegovu trilogiju nuzno ovim redom oldboy sympathy mr vengeance lady vengeance a opustanje cristopher guest a najkultniji mu spinal tap odlicno sprda zanrom dokumentarca naziva mighty wind waiting guffman best in show ,umetnost,NA
preporučio curious case of benjamin button glavnu ulogu tumači bred pit radi čoveku rađa beba starac vreme odmiče postaje mlađi,umetnost,NA
 nikita mihalkov,umetnost,NA
pogledajte elitni odred brazilski rade regrutima stvarno svačiji stomak a tek prodju obuku rade dilerima droge šminke zadrške,umetnost,NA
pogledajte deveta četa ruski film pokazuje sav besmisao ratova uopšte primeru ruskog angažovanja avganistanurežiser miša bondarčuk originalu zove rota,umetnost,NA
takodje dom durakovkuća ludakaopet ruski odgovor let iznad kukavičjeg gnezda,umetnost,NA
pored velikog broja odličnih pomenutih filmova eventualno obratiti pažnju full metal jacket barfly barska mušica graduate diplomac naravno balkanski špijun dr strangelove makar jednom mesečno,umetnost,NA
jazodiplomac drstrangelove jacket odlicni filmovi ja dodao makedonski film balkankan gledao puta,umetnost,NA
a ljubitelje tinejdzerskih komedija niko gleda gledaju filmove engleski pacijent deset sati poslu preporuka girl next door plitiko opustajuce engleskog pacijenta balkankan pogledati takodje,umetnost,NA
 reko girl next doorza sasvim dobra komedija e oces gledas bolji film temu dodas kevina smitha eto ti zack miri make pornofilmcina,umetnost,NA
ha ha ha balkankan odlično jugoslavensko ostvarenje vrlo nostalgičan film,umetnost,NA
 film fenomenalan,umetnost,NA
medicus ivana drago delite misljenjeja nasmejem gledam film bugarska rabota ,umetnost,NA
 pominju domaci filmovi pokojniku najlepse jasno im dali snime takvu sprdacinu komunizam ,umetnost,NA
ma snimali sprdacinesamo mislimo moglo snimatimeni prvo padne pamet mlad zdrav ruza,umetnost,NA
film odgledala tek sram naked odavno ,umetnost,NA
 jedno stotina omiljenih filmovaali potrese rain man kisni covekfenomenalan film,umetnost,NA
dead man jim jarmusch psycho alfred hitchcock rear window alfred hitchcock its a wonderful life james stewart desetak kurosawinih filmova recimo reservoir dogs quenteen tarantino mission jeremy ironsrobert de niro saving private ryan ekipa fight club brad pittedward norton darjeeling limited owen wilsonadrien brody takodje filmovi lika besonapedra almodovaralucasspielbergcameroncoppola pored dobar glumacclint eastwood jako dobar reditelj,umetnost,NA
 jako interesuje obožavalaca ingmara bergmana andreja tarkovskog preporučio svima filmova traže dvočasovno ubijanje dosade tj vole prvenstveno umetničke filmove začinjene filozofskom tematikom ovu dvojicu umetnika posebno ponovljeno obojicom imati živaca skapira ples kamerama pojedini njihovi filmovi delovati uspavljujuće dosadno filmski ukus odrastao holivudu poslednjih npr nostalgiju tarkovskog morao gledam nekoliko puta mogao skapiram naravno pomoći kritika hteo čitam sklopim sopstvenu sliku naredni put prikovaniji fotelju doživljaj tog filma prosto neopisiv sličan trip tišinom zimskim svetlom bergmana tarkovski sažetiji tek nekoliko duuuuuugometražnih kojih promašaj bergman snimio nekoliko puta filmova nailazio ostavljali bljutav utisak pored bergman omiljeni ikad oskarovci sedamdesetih bergmana učili kinematografiji uglavnom strpljiv istrajan ovom dvojicom reditelja a intenzivna inspiracija neverovatan spektar otvorenih pitanja ostaće utisak pogledanih njihovih filmova,umetnost,NA
gledala film tarkovskog offret sacrificatio svideo bergmana gledala a čuči pored levog kolena ,umetnost,NA
 bergmana jedino sedmi pecata tarkovskogandrej rubljovtoliko vremena pokusacu odgledam medjuvremenu odgledajte bronson film godine britanski njihovom najpoznatijem zatvoreniku robija godine a lud struja,umetnost,NA
 gledao brothers bloom liči dobar film odlični glumciadrien brody mark ruffalo poslednji film istog piscarežisera odličan brick a sniman okolini beograd vojvodina madjarska bar,umetnost,NA
rubljovstalkerod tarkovskogburadete mekonaričard iii grinaveja,umetnost,NA
 novijih stranih filmova preporučila vam angels demons eagle eye express a domaćih filmova mojih omiljenih a lavirint zatim variola vera lepa sela lepo gore bulevar revolucije kaži zašto ostavi hadersfild,umetnost,NA
ja petak gledao edit ja d,umetnost,NA
italian jobali stari majklom kejnomjužњacka utehaputovaњe sredidte zemљenisam filmofilali preporucujem,umetnost,NA
 dupe pomera mesec dana gledao edit ja smrad ,umetnost,NA
 veče gledala stariju američku srednjoškolsku komediju porkys moram priznam skoro rasplakao smeha film veoma simpatično nenametljivo duhovit film raspoložena ,umetnost,NA
let right in planiram gledam svakodnevno ,umetnost,NA
cashback mali indie film lika studenta umetnosti ostavila devojka spava radi noćnu smenu supermarketu gomilom čudnih likova nalazi način bori sporim prolazkom vremena noćnoj smeni on zamišlja usporava vreme šeta medju zamrznutim ljudima crta devojke divi lepoti razmišlja prirodi života lep film,umetnost,NA
 pomoć davno gledala film irski a zove dvoje beže svog grada vanbračnoj vezi prave jedno drugo treće dete jedva sastavljaju kraj krajem prinuđeni često menjaju mesto boravka situacija postaje nepodnošljiva jednog dana najstarije dete čuje razgovor između oca majke tj svađu tiče njihove materijalne situacije on umišlja deca krivi takvu situaciju matorci poslu davi malog brata guši sestru kraju obesi veselo kom filmu radi tj zove,umetnost,NA
izvini insolent nemam pojma sačekaj sledeći komentar dan gledao up neba toplo preporučujem ,umetnost,NA
pogledajte večeras avali thank smoking simpatičan filmić,umetnost,NA
 brothers bloom pored dobrih glumaca dobrih foricaali bukvalno a skoro gledao panov lavirinti uspio odusevi pored pozitivnih kritika cuo procitao moon sinoc gledaonova naucna fantastikaza holivudske standarde dobar th hour niko spomenuo ja mislimkao ni game starijih samuraja ipo moram ovako izbacat po parjer umijem zaustavit pocnem nabrajat francusko spanski film kombinacija spanskih glumaca francuskog reziseraisto kombinacija zanrova ludih nebuloznih idejakadrova dobre muzicke podloge science of sleep vam nece svidjeti ce oduseviti ,umetnost,NA
preporuka edge silence of lambs cannibal rising shining full metal jacket clockwork orange rashomon hitchiker a preporucujem animirani pixar ov film pod nazivom wall e odusevio,umetnost,NA
život emila zole mator fenomenalan film teme pravda istina narednik jork mator odličan teme moral vera,umetnost,NA
napad policijsku stanicu karpenterov film odlično obrađenom temom straha,umetnost,NA
 utsefeaturefvw,umetnost,NA
no country old men ,umetnost,NA
th street danny aiello anthony lapaglia istinita priča najsrećnijem čoveku svetu osvojio mil američkoj lutriji jednostavan film holivudskog glamura ameri rekli must see gledao nekih puta dosad,umetnost,NA
 insider film prikazuje realnost savremenih medija nalaze pod snažnim pritiscima velikih kompanija biraju sredstva zaštite sopstvene interese,umetnost,NA
 predloga man on fire genijalan film većina denzelom vošingtonom lord of war laconfidential little nicky bang bang are dead ttc of benjamin button,umetnost,NA
 pobogu ofi mjuzikl američka teen sranja nekako deprimirajuće morbidno pevaju nećete osećati depresivno kraju filma svini tod ti stavljaš američka teen sranja ddd,umetnost,NA
čekaj mrtva umorna shvatamšta redu tim rekla obično kome pomenem st onog trenutka im kažem mjuzikl kažu gledali hairspray high school mjuzikl vole mjuzikle e ja gledala filmove nemam nameru foru idu otkida tim filmovima svideti kažem druga vrsta mjuzikla dovoljno reći igra džoni depaaaahhhh p,umetnost,NA
 srećeš pogrešne ljude d,umetnost,NA
ma uobičajno d žan luk godard poslednjeg daha prvi film belmonda deca raja marsel karne linčova dina bla bla dobri a očigledni ,umetnost,NA
 ja odgledah good bye lenin wolfgang becker preporučujem,umetnost,NA
eastern promises fin filmic naomi vots vigo mortensen vinsent kasel skoro rts nekom trebaju titlovi nek javi ovi kruze netom puni bisera edit stomak odgleda svih minuta e krmacu ,umetnost,NA
amarkord felinija,umetnost,NA
 relativno novijih blackbook zwartboek children of men slumdog millionairene setim nekog dosta ,umetnost,NA
mnogima verovatno poznat ja juce po prvi put gledao udaraca film zapoceo francuski novi talas krajem pedesetih pocetkom sezdesetih,umetnost,NA
zar novi talas započeo poslednjeg daha,umetnost,NA
seven pounds,umetnost,NA
blues brothers blues brothers meet spartansdisaster movie epic movie posto vidim stavljaju mracne drame tragedije razveselim,umetnost,NA
 gledao avatarzanima mu zasad zarada iznosi milijardu dolara,umetnost,NA
nickname ,umetnost,NA
ene gle stvarnohvala,umetnost,NA
johnny got gun verovatno najbolja antiratna drama ikada snimljena snimana po knjizi daltona tramboa prikazuje sav besmisao ratovanja najsuroviji način oslikava tanku liniju između života smrti istančanim filmskim ukusom film svakako propustiti,umetnost,NA
mastrixt tog filma uzeti delovi spot a tice mojih omiљenih filmova back futuresva tri dela obožavam film cube honours in mouth of madnessovo morate pogledati van helsing jod dosta togaal vrh liste,umetnost,NA
dr janković film prvi put prikazan godine spot pomogao njegovu bolju promociju ovim spotom film doživeo ponovno rađanje duguje svojoj popularnosti mlađih generacija eto marketing,umetnost,NA
barem film dopro mlađih generacijasad stvarno interesuje kakav a tice domaćih filmovamožda složiti mnomali moji apsolutni favoriti sucrni bombarder tamna noć ni nebuni zemљi velika frka lavirintnaravnoklasici poputmaratonaca peva sl podrazumevajune samih filmovaveć њihove replike prepricavaju godinamamožda jesmo pogledali bar putaalikad reprizirajusamo sedid idcekujed kaže svoju repliku,umetnost,NA
h party people film,umetnost,NA
ufff film dobar bar prva polovina joy divison ljudi hitno crna marija nabaviti,umetnost,NA
mnooogo dobar ceo vrhunski nemam crnu mambu sorry,umetnost,NA
mariju,umetnost,NA
 ja a dvd verziju izasla mesec dva,umetnost,NA
film taken srnje barem tip neprestano ubija siptare siptare parizu,umetnost,NA
 tzameti prevodu trinaest film sniman francusko gruzijskoj produkciji igri organizuju ljudi viškom para ljudski život vrednost uloga tiketu igra slična ruskom ruletu kojoj učestvuju ljudi svojevoljno mimo volje uglavnom dna društvene lestvice ljudi pare dinara narkomani ludaci a zarad pružanja mogućnosti njihovim gazdama zarade velike pare vredi pogledati dobar film trejlera pokriven dust in wind scorpions a pesma jako ide uz film ,umetnost,NA
omiljeni american gangster catch if can children of men dead poets society fight club good will hunting inglourious basterds inside man le fabuleux destin damélie poulain léon lock stock two smoking barrels lucky number slevin memento munich oceans ps love pride prejudice rocknrolla seen shakespeare in love sherlock holmes snatch bank job bourne identity bridges of madison county curious case of benjamin button dark knight godfather life of david gale matrix notebook pianist shawshank redemption usual suspects ,umetnost,NA
ladno poređao abecedno luđi daidija њegovih popisa ,umetnost,NA
poređala luđa ,umetnost,NA
dizvined ,umetnost,NA
bornov identitet gej originalna verzija,umetnost,NA
e skroz pravu pogledam blage veze nemam stavila palo pamet,umetnost,NA
e pitam jedno godine nemam predstavu gledao film rts radnju ime gledao nekako podsvesti fiml zove kuca nade verovatno glasi originalni naziv obzirom prevodioci strucni ukratko radnje a gledao nek javi covek zena sina po godina siromasni majka radi a otac valjda prodavac satova drugovi mladjeg sina cesto bivaju postali rodbine roditelji nemaju hrane otac obecava nece uraditi majka odlazi stacionar bolesne bolnica secem otac ode radi mladjeg sina posalje rodbine otac dobija posao prodaje nekih satova ode nekoliko meseci daleko sinu kaze prijatelja restoranu ce mu davati hranu dorucak rucak vecera ostavio mu para otisao ok jedno dana mali odlazi restoran kazu mu ocev prijatelj otpusten mali tad dan kupuje po jednu pogacicu jede praznu vodom mu ponestane para pocne kraducka najupecatljivija scena uzme novine slikava hrane sece nozem jede drugovima kaze mu roditelji arheolozi rade iskopinama starijim drugom razne vratolomije nevolje eto ovih detalja nek kaze mu zahvalan pogresio izostavio rekoh film gledao davno,umetnost,NA
 kuća nade pod tim imenom tuck zaveo life as a house čoveku rak ruši svoju porodičnu kuću počinje ceo život iznova,umetnost,NA
vule poznat film,umetnost,NA
poslednji odgledah wristcutters a love story divan film smorodonosan momente svemu dobar interesantna ideja postavka control tome lepo crno beo nemam pojma,umetnost,NA
 days of summer romanticni po jedini tera povracanje machuca cileanski vuce socrealizam previse proseravanja odlicna prica odlican film until light takes us najnoviji dokumentarac norveskom blekeraju oldboy kvalitetan japanski into wild son pen rezirao ostavlja utisak tera razmisljanje filmovi mojim omiljenim junacima jayom silent bobom,umetnost,NA
oldboy doduse korejanski no ,umetnost,NA
mastrixt trejlera pokriven dust in wind scorpions a pesma jako ide uz film mala ispravka stvar ide pozadini pjesma dkorpionsa najpoznatija numera legendardne grupe kanzas,umetnost,NA
oldboy najjači film svetu,umetnost,NA
zeljček pravu original kansasa učinilo verzija scorpionsa čuo anplagd verziju a kansasa originalnu proverio verzija nalepljena trejler jeste kansasa pogrešio prihvatam ispravku,umetnost,NA
mastrixt ma inace zainteresovao svojih recenica tom filmu potrudiću nabavim brojeva ja preporucujem film nikite mihalkova ,umetnost,NA
ja prednost dao originalu ,umetnost,NA
hard candy stvarno dobar ni gledala videla preporuke ,umetnost,NA
 vi sami procenite,umetnost,NA
 saw ii iii iv v human trafficking taken just like in heaven white chicks godfather notebook bourne ultimatum erin brokovich truman show džim keri legenda služi pamćenje setim ovi ostali upečatljivo dobri preporučujem vremena nek baci ,umetnost,NA
secret window po priči stivena kinga freak mighty elizabethtown yes man džim kerijem definitivno popravlja raspoloženje postala yes woman gledajući film d onih relativno skoro gledala,umetnost,NA
upravo odgledanpreporuchujem volite tuzhnesurovemochne filmoverazlichite ovih novih usranih hitovaprava stvar provesti h zblenutosti ,umetnost,NA
čitala knjigu divna topik hm a girl like gwen araujo story,umetnost,NA
 prekinuti zagrljaji gorki mesec izgubljeni prevodu strah drhtaji vavilon pričaj njom život more američka lepota slomljeno cveće frida,umetnost,NA
zivot lep prvih sastanaka tigar sneg americka pita deca kukuruza chronicles of riddickpitch black beethoven dog who stopped war surogati orgazmo d,umetnost,NA
 dark knight,umetnost,NA
