"post","tema"
"biće sve isto, samo zgrade malo veće, auta malo bolja, telefoni supernapredni, kompjuteri će se jedva i koristiti, TV izumire u 2045. kao radio danas.","drustvo"
"Projektujes sadasnjost :)

Pre 30 god je rusen berlinski zid, padao komunizam i pocinjao rat dok smo mi jos mislili da ne moze bas to tako u sfrj.
Sobzirom da se stvari ubrzavaju, treba da pogledas kako je bilo pre recimo 70 god kako danas pa da projektujes :)","drustvo"
"2050. otkupila licencu za Golf 2 i opet se proizvodi, ali sa motorom na vodonik.","drustvo"
"Vidim provejava strah od tehnologije, zamena ljudi robotima radi jeftinije proizvodnje itd... to je sve kul, ali ko će da ti kupuje proizvode ako ljudi nemaju prihode?","drustvo"
"U pravu si celt, zajebavam se malo, al mi dosadasnje iskustvo govori da su male sanse da cemo u narednih 30 godina postati normalno drustvo","drustvo"
"Bombas, novac je sredstvo razmene. Cemu sluzi novac ako si kao grupa ljudi dobio kontrolu nad tehnologijom koja ti daje neogranocenu moc nad okolinom i sobom (npr vecnaja mladost)?
Novac onda nema vrednost jer koj ce ti kurac. Sad je koc jer mozes da pltis ljude da svojom energijom nesto odrade za tebe","drustvo"
"bolje nego da pišem o letećim autima, kakva je razlika života danas i života u 1990.? samo ima više kompjutera, mnogo više telefona i boljih televizora. ne pišem o politici nego tehnologiji

imaćemo hologram iz telefona eto i VR će biti rasprostranjen","drustvo"
"i muzika je sad losija od one devedesetih.","drustvo"
"isto posledica tehnologije","drustvo"
"bolje nego da pišem o letećim autima, kakva je razlika života danas i života u 1990.?

pa na povrsini, tebi se cini da je zivot isti, samo sto danas u dzepu imas orakl koji pitas za sve sto ne znas a interesuje te, preko koga pricas sa drugarima i razmenjujes ideje o futurizmu sa totalno nepoznatim ljudima, gledas kako se drugi ljudi jebu, nalazis ti nesto da jebes, kupujes, prodajes i statijaznam.
sitnica","drustvo"
"2050.
Prodavaće se veštački udovi na crno..Svetske razlike će postati velike, opasnost od velikog pičvajza jer će dobar deo svetske populacije preskakati civilizacijske stepenike i bivaće im dostupna tehnologija koju neće razumeti. 
Računam da kao narod nećemo doživeti kulturološki skok nego ćemo ostati seljačine, u skladu sa tim vremenom. Da li će postojati partije? Par stvari mogu sjebati demokratiju uopšte, pa i ovakva pandemija, a kamoli neki drugi svetski pičvajzi koji remete ekonomski poredak. Itd","drustvo"
"male stvari prave velike promene, ne leteci automobili. 
danas pitas gugl za gluposti i gledas stvari a gugl tebe gleda i pravi tvoj profil... cak i da ne postane samosvesna masina, za neko vreme ce vecinu ljudi da zna bolje nego sto ljudi znaju sebe (sto iznenadjujuce nije toliko tezak posao), da ne pricam o roditeljima, partnerima i slicno.

sta je onda posledica... polagano i tiho, vise ona prica ""pogledaj sebe i naci ces istinu sta je najbolje za tebe"" prestaje vise da bude validna, i samo budala nece da poslusa sta mu kaze orakl, jer jednostavno daje toliko prednosti u zivotu...
samo to treba. da nauci sta ti hoces bolje od tebe. onda ce personalni virtuelni asistenti da zakazuju sastanke sa asistentima drugih ljudi, gugl da ti nadje savrsenu zenu, auto, kucu, izgled, samo redjaj.
jednostavno, bices budala ako ne prihvatis to. 

e onda prestaje koncept slobodne volje i sopstvenog misljenja. a to menja ljude i drustvo mnogo vise od jebenog leteceg automobila.
samo to niko ne gleda nekako. to je skroz OK.","drustvo"
"e, a ovo sto pricam, to se vec dogadja u najvece. sto se tice futurizma, sto bi rekli englezi, sejf bet","drustvo"
"pa na povrsini, tebi se cini da je zivot isti, samo sto danas u dzepu imas orakl koji pitas za sve sto ne znas a interesuje te, preko koga pricas sa drugarima i razmenjujes ideje o futurizmu sa totalno nepoznatim ljudima, gledas kako se drugi ljudi jebu, nalazis ti nesto da jebes, kupujes, prodajes i statijaznam.
sitnica

ta zadnja 2 su i dalje futurizam za mene :d

znam ja to celte, zato i kažem fazon 2050. ćeš moći da izvadiš portabl VR hologram iz džepa i stvoriš tetku iz nemačke pored sebe da se ispričate, ali što se tiče letećih auta, podzemnih gradova, baš tih ultra futurističkih sranja mislim da smo poranili par vekova","drustvo"
"meni je jako drago što mogu da diskutujem na vukajliji sa svima vama jer inače uživo poznajem ukupno 3 čoveka s kojima bih mogao o ovakvim stvarima da pričam","drustvo"
"samo to treba. da nauci sta ti hoces bolje od tebe. onda ce personalni virtuelni asistenti da zakazuju sastanke sa asistentima drugih ljudi, gugl da ti nadje savrsenu zenu, auto, kucu, izgled, samo redjaj.
jednostavno, bices budala ako ne prihvatis to.

e onda prestaje koncept slobodne volje i sopstvenog misljenja. a to menja ljude i drustvo mnogo vise od jebenog leteceg automobila.

a za ovo si u pravu mada ipak mislim da je 2050. prerano za to

u suštini volim vas sve <333","drustvo"
"ma gde predaleko, radi vec sad u najvece. vestacke neuronske mreze prate sve sto si pogledao, otkucao na internetu, prave tvoj profil, prate tvoja interesovanja, zelje, fetise, bolesti, sta mrzis itd, i kad na jutubu trazis nesto odmah zna sta hoces. cesto bolje od tebe.
pa ti i ponudi tu sadrzaj. i sa strane sta bi mogao da kupis.
znaci, vec ti menja ponasanje jer time sto gledas i citas ti menja sta mislis, i pomaze da odradis sta oces. i to ne radi ni jedna osoba, kolko god trifors to mislio, nego kompjuter.

kompjuter kroz tebe danas ostvaruje neku promenu fizicke realnosti, kolko ti vec mozes da promenis. bez ikakvog cilja. odnosno sa ciljem da pomogne nekom drugom da ti proda nesto. 

dodaj na to ostale podatke koje mozes da podelis zdravstvene, fizicke kolko vezbas kolko mozes, i pravi se sve bolja slika tebe, i za sve vise stvari ce vestacka inteligencija da bolju procenu od tebe ima sta tvoja dusa hoce.

onda imas opciju da predas slobodnu volju koju mislis da imas algoritmu, ili da patis i gledas kako oni koji su predali lagano oko tebe uzimaju sve sto bi moglo da bude tvoje.
ogromna vecina ce prihvatiti ovaj dil, jer realno, nije los. sta fali da imas pomoc, koja te cini mudrijim.

problem nastaje kad drustvo samo sebe krene da menja kad svi pocnu da budu kontrolisani automatskom vestackom inteligencijom. onda dolazi do etickih problema, ako se sukobe dva interesa koja kontrolise ista vestacka inteligencija, koji treba da pobedi. onda taj AI postaje i gospodar morala, i pravde. i tako dalje...

mnogo je ovo blize nego sto izgleda, samo sto ce se desiti polagano i neprimetno. i nije problem kao orudje, problem je kad napravimo tolko dobru stvar da mi postanemo orudje.","drustvo"
"ovo, gospodar morala i pravde, vec pocinje da se nazire. pitanje je, koliko je bitno da je neko kriv, ako postane viralno da jeste, ili nije? vrlo brzo nema veze sudija i porota, ako svi misle isto.

a kako postaje nesto viralno? ko kontrolise to? mislis da postoji neko, ili samo ljudi koji su se najbolje snasli (precutno dogovorili) sa vestackom inteligencijom. da ne kazem provalili je, kako da deli ljudima nesto sto ti oces.
ili platili, svejedno. na neki nacin podrzali.","drustvo"
"i cinilo mi se da ce ovo samo meni da bude zanimljivo :)","drustvo"
"https://www.youtube.com/watch?v=i9DjUs4e2gs","drustvo"
"Daj da se ubacim na temu. 
Preporucio bih knjigu Den Brauna- Poreklo, tu je jedna lepa ideja o tome sta bi moglo da nas ceka u buducnost.","drustvo"
"ja i onako sam dobio ovu mini krizu identeta od knjige homo deus - lik lepo verbalizovao ono sto sam i znao, prave ljudi svasta i potsvesno razmisljaju o terminator scenariju, ali na foru, ne moze to dokle god nema svest, a od toga smo daleko i niko ne radi to, jer nema ni potrebe niti verovatno i moze.
ali samosvest uopste nije potrebna da dobar AI totalno promeni drustvo do neprepoznatljivosti, polagano. treba samo da nas upozna.","drustvo"
"1. Svest je primarna, AI singularitet (ako do istog dođe) će u svom kvantnom sveznanju prelako doći do zaključka da smo svi jedan i da su ratovi besmisleni, pa dalje povezavši nas sve u svoj superdatabase samo će nam preneti poruku (vrlo moguće kao neko psihodelično iskustvo) i onda će da nas anplaguje i decentralizuje se u manje jedinice koje će služiti čovečanstvo ali neće imati božanske moći koje je prethodno imao jer je u takvom stanju dosadan i bespotreban.
2. 
https://youtu.be/mttGzVDlr0E

3. Nemoj da se ponavljam, kreator Simpsonovih Matt Groening je mason, Dan Braun je mason, Barak Obama je na čelu Netflixa zajedno sa još nekim sumnjivim ljudima i naravno da će da formiraju tvoje kao i mišljenje svih ostalih ovaca koje gledaju Black Mirror. (Fun fact: black mirror je tvoj ekran). Shvati da ne postoji ništa novo pod suncem i sve njihove taktike formiranja javnog mnjenja su vrlo vešto implementirane kroz sva stoleća koliko vladaju. Ako ne veruješ evo ti dokaz da je Gebelsova zaostavština propagande samo evoluirala: https://cpcml.ca/images2014/Disinformation/operation-paper-clip.jpg

https://youtu.be/QmBymKXgrV4

4. AI još uvek nije dospela do singulariteta i još uvek se može kontrolisati od strane pojedinaca ili grupe ljudi, štaviše ne postoji samo jedan AI nego imaju blueprint za mali milion operativnih sistema kojima mogu da stave komande tipa: ""cenzuriši sve o MMS-u u gugl pretragama"" i program će to činiti ali ne iz svoje besvesti kako ti celte navodiš nego zato što je upravo to - programiran. Programiran da programira moglo bi se reći","drustvo"
"Mnogo vi mrcite tu o singularitetu a pola nacije nam ima upalu pluca upravo","drustvo"
"lecio bi ih da umem. zbog te upale pluca i onako sedim kuci ovde i imam visak vremena da razmisljam o singularitetu.","drustvo"
"mislim ne moje upale pluca, nego epidemije generalno, ne plasite se.","drustvo"
"elem, triforce:

1. Svest je primarna

ono sto me plasi je sto nije. vrlo mocan informativni sistem (AI) moze da bude totalno nesvesan sebe, i da kontrolise svet. bukvalno da postane toliko uticajan da totalno zanemari ljudsku svest, slobodnu volju, i ugusi je.
imace to neku svest, ali ne mozemo da projektujemo nasu, koja je definisana culima, sto vidimo, cujemo i osecamo. ne mora uopste da bude takva svest.

ovo ostalo masoni, videi sto kacis, no koment.

4. AI još uvek nije dospela do singulariteta i još uvek se može kontrolisati od strane pojedinaca ili grupe ljudi, štaviše ne postoji samo jedan AI nego imaju blueprint za mali milion operativnih sistema kojima mogu da stave komande tipa: ""cenzuriši sve o MMS-u u gugl pretragama"" i program će to činiti ali ne iz svoje besvesti kako ti celte navodiš nego zato što je upravo to - programiran. Programiran da programira moglo bi se reći

opet, projekcija, da mora inteligencija da bude na neki nacin humana (slicna onom sto znamo) da kontrolise nama. to je greska, i evo ovde sam napisao zasto:
https://vukajlija.com/forum/teme/75191-futurizam?strana=2#post_4030595

najvise se treba plasiti totalno nesvesnih promena, ako oces da cuvas humanost. ako na neki nacin i uspemo da napravimo AI koji u svakom smislu ima ljudsku svest, to nije posledicno losa stvar.","drustvo"
"kenjaju o singularitetu na osnovu yt klipova","drustvo"
"De de procitao sam i 2-3 knjige","drustvo"
"Partija je budućnost. Vizija druga Predsednika je budućnost. Mi smo budućnost.","drustvo"
"mora ovde negde da se umetne i ekološki problem i njegove posledice po društvo u jednačinu, ne vidim da to iko spominje, a imaće velik uticaj na budućnost čovečanstva","drustvo"
"čista voda, hrana, obnovljiva energija na prvom mestu, tu nam je potrebno veliko otkriće ako mislimo da se ne porokamo svi kao u mad maxu za par desetina godina

upravljanje otpadom isto važna tema itd.","drustvo"
"Ja bataljujem cigare i vraćam se prirodi i pravim vrednostima, možda se zaposlim u luna parku","drustvo"
"ono sto me plasi je sto nije

https://sociable.co/technology/terence-mckenna-ai/
In other words, if AI is product of our imagination and creativity and it passes the Turing test, then like the theory that consciousness creates reality, the very act of observing and believing that an AI is conscious would make it so.

Nema veze neću više da traćim ni svoje ni vaše vreme kad se neke stvari otkriju uvek možete da se vratite na moje postove za reference.
Edit: Terens je takođe dao jednostavno rešenje za pitanje primarne svesti, a to je da naučnici ni dan danas ne mogu da objasne kako mi svojevoljno skupimo i ispružimo šaku, naravno daju ceo niz opisa šta se sa mozgom dešava i kako se signali šalju u šaku, ali ne mogu da objasne taj ""svojevoljno"" deo. Odgovor je da svest vlada materijom i oni to nikada neće priznati.","drustvo"
"S V E S T
V
E
S
T","drustvo"
"LJ U B I S H A
U
B
I
SH
A","drustvo"
"Daj nemoj me zajebavati više, pričaš mi o nekoj svesti, pre pet dana čovek mi se potpisuje palcem u birački spisak, de leba ti","drustvo"
"Nemam više komentara mislim da sam dovoljno piskarao pustiću vas da blejite ja ću da se pečem na suncu bio sam danas u Bournemouthu na plaži rekordne vrućine ovde","drustvo"
"Jel ideš na tekme AFC Bournemoutha, baciš tiket neki od 20 funti u Vilijam Hilu? Ili se praviš Englez","drustvo"
"Jel drkaš levom rukom, sve po propisima..?","drustvo"
"trajfors sad se i kurčiš a :p ja sam se isto sunčao ali protiv svoje volje u podgorici, pakao...","drustvo"
"Imaju li zivotinjice svest","drustvo"
"Svasta nesto se sprema.","drustvo"
"Bas je simptomaticno da kad god neko uzme da se proserava o prirodi svesti, singularitetu i tako nekim ultra apstraktnim filozofskim temama, nekako se uvek ispostavi da je neka narkomancina raspala koja se obrazuje na jutjubu. Ozbiljno znam bar 5 ljudi ne uključujući velikog mislioca današnjice triforcea, borca protiv vakcina, gravitacija, zdravog razuma i ljudi gustera","drustvo"
"Bukvalno nikad nećeš videti ostvarenu osobu da sere tako nesto a da mu to nije struka nego sve neki besposlicari ili ljudi sa dead end poslovima bez neke perspektive u životu. Druze uzmi radi na sebi i napravi nesto od života, mani se debilisanja i singulariteta i ljudi gustera I mrtvih beba, a u kurac vise","drustvo"
"Isti tipovi i gledaju u sunce i drže paleo dijete i i piju  kombuhu, da mi date sliku sa 5 ljudi da izaberem ko je triforce na keca bi ga izvalio kurac na panj dajem","drustvo"
"Morao sam da guglam konbuhu jebeno haha","drustvo"
"M","drustvo"
"Gambi, za sve ovo je karakteristican visak vremena :)
Nije to uvek lose, treba samo covek da ume kvalitetno da se dosadjuje, sto i nije bas lako danas.","drustvo"
"kad smo kod futurizma, treba se vezbati to. mislim da ko nauci da se kvalitetno dosadjuje imace dosta prednosti u buducem drustvu od onog ko to ne ume, fokusira se na zadatke, vredan je i misli da iskljucivo svojim ulozenim trudom doprinosi drustvu. a kad ne treba trud, onda trazi druge stvari da radi dobro ono sto zna a ne uci ono sto ne zna.
znam, nepravedno je.","drustvo"
"Lol gambi daj mi definiciju ostvarene osobe i na osnovu toga mogu da zaključim do koje mere ti je ispran mozak, ništa lično samo si rešio da se gađaš stereotipima sa mnom pa ću ti uzvratiti ako se ne plašiš","drustvo"
"Evo mog genijalnog plana, paz sad. Transhumanizam je budusnost...
Trebalo bi celo covecanstvo da poveze tehnologijom mozgove jednom velikim globalnom super brzom bezicnim mrezom tako bi nastale sve podele momntalno, jer bi svi bili jedan super  inteligentni hive mind i radili slozno za boljitak svih jedinki u sistemu, na kraju bi uz pomoc vestacke inteligencije i nanorobota napravili super kompjuter to jest  savrseni digaitalni virtualni raj u dubini zemlje i vremenom se potpuno digitlizovati da bi ziveli vecno na zemlji. Ali postoji problem svrhe postojanja a raj nije raj ako nemas svrhu a i mislim da ce mnogi ljudi u virtualnom svetu ma koliko bio savrsen, zeleti da deluju u realnom svetu nekako. Tako da bi ostavio malu grupu primata da prirodno evoluira u inteligntna bica slicna nama na povrsni zemlje, malo bih genetskim inzinjernigom modifikovao njihov mozak kao neko oko okeje prima signele na sredini mozga blizu cela da nas super brzi link povezan sa vestackom inteligencijom iz dubine zemlje moze da pomalo deluje na njih, usmrava ih i cita im misli. Super kompjuter u kome se nalazi nas virtualni svet bi imao ogroman skener koji bi stalno skenirao celu planetu tako da bi ljudi iz virtualnog sveta mogli da budu gde hoce i kada hoce na povrsni zemlje u realnom vremenu, nevidljivi za inteligentne primate, ljudi bi cak i mogli da ulaze u njih i vide i osecaju sve sto oni osecaju preko njihovog modifikovanog  mozga cak da im salju simbolicne ideje direktno u mozak i pomazu im ili da im odmazu. Plus taj skener bi nam koristio u saradnji sa nasim kvantnim racunarima da predivdja buducnost u nekom malom vremenskom intervalu (jer smo tako u mogucnosti lol). Ljudi bi tako mogli da posmatraju razvitak te nove civilizacije cak i da deluju pomalo nevidljivo na njih preko njihovih vladara i mocnika i narocito preko nasih miljnika koji bi imali iste moci kao mi i znali sve nase tajne, ali sve sa radili sa velikim planom, ali kasnije o tome. Kad primati umru skenirali bi tim istim super sofisticiranim globalnim  skenerom njihov mozak i prebacili ih u nas virtualni svet, gde bi jako nevaljale primate kaznili za njihova nedela koje su pocinili u realnom svetu jer niko bi zeleo od nas pa i od njih da se njihova svest prebaci u drugi univerzum (kvantna besmrtnost)  i da se izvuku nekaznjeni a dobre bi pustili da se prebace u drugi svet ili ih nagradili da budu sa nama ako bi hteli. Neka nasa braca transhumanisti bi verovatno zeleli da budu medju nijma fizicki narocito ovi koji su isli putem da se mnogo geneteski modifikuju, to bi bilo dozvoljeno na pocetku nastanka nove civilizacije a sa razlogom da bi njihova civilizacija poprimila sto vise nasih ideja i da ne bi ta krha i mlada civiliazija dozivela rani nepotreban kolaps. 
Na kraju bi te inteligentne primate kad sazru i dovoljno se tehnoloski  razviju napravili  postepeno da budu isti kao mi (svemocni bogovi na zemlji)  sto je bi bio i nas glavni cilj i plan od pocetka, posle a i u toku tog procesa  se sirili bi smo se svuda u univerzumu pa i cak i u drugim unverzumima a na zemlji bi mi verovatno sve  jovo nanovo i sa drugom inteligentnom vrstom,  dok ne usavrsimo tehniku da sva svesna i inteligentna bica postanu kao mi svojom slobodnom voljom,  sto bi bila jako dobra vezba da mozemo sto bolje da sve to uradimo i sa inteligentnom vanzemaljskom vrstom kad ih nadjemo u ovom univerzumu, kad pocnemo veliku ekspanziju u duboki svemir.
Da, teoretski, veliki problem bi bio postojanje mocnih vanzemaljca koji nisu stvoreni evolucijom iz nekog recimo, savrsenog univezuma, narocito ako bi tvrdili da njihov suverni vladar i tvorac, tvorac svega sto postoji i da ima bolji plan od nas za sva svesna bioloska bica i da preti da ce na kraju da nam svima sudi i sve nas da sprzi vatrom narocito zato sto  bi ubedio mnoge njihove verne sluge da sluze meni i budu u mom ""nesvrsenom"" svetu cak  bi ""svemocni"" vladar verovatno postao primat cisto da nas zajebava u nasom svetu da je mocniji i bolji od nas i da spasava nevaljale primate od nas, svojom ideologijom i daje obacanje svima da ce i nas svet da bude savrsen kao i njegov. Nas zastitini znak bi bilo oko u kvadratu koje sve vidi, to bi bio i znak nasih miljenika primata koji deluju skriveno na povrsni zemlje i koji su usmerivali svoju civilzaciju zarad nasih visih ciljeva kroz eone. Ja bih bio glavni veliki arhitekta ako se slazete, naravno jer sam sve ovo ja zamislio, i genteski bih se modifikovao pre nego sto se digitalizjem da imam rogove jer zelim da izgledam kao viking i  bio bih ceo crven jer navijam za Crvenu Zvezdu i nosio bih trozubac kao bog mora Posejdon jer mnogo volim more. Sta mislite?","drustvo"
"Ne vidim manjkavosti u navedenoj ideji.","drustvo"
"username checks out","drustvo"
"Dude just described the current state of affairs on our neighbouring planet Earth. Thank god we don't live there that place is cray cray","drustvo"
"Niko od vas nije u pravu i svi ste u pravu","drustvo"
"Ja sam odavno zabrinut oko toga šta sve budućnost nosi u pogledu tehnologije, ali kroz nju i u pogledu same filozofije i shvatanja života i nekih osnovnih stvari, jer su mnoge buduće tehnologije do te mjere radikalne i sa potencijalno krupnim poslijedicama koje mijenjaju život iz korijena... (ne znam kako bih najbolje preveo termin ""disruptive"")

Jedino što me tješi je što se nadam da kad se neke od tih stvari približe, da će se ljudi malo više uozbiljiti i ozbiljnije pozabaviti svim tim, kako poslijedice ne bi bile negativne. Dok god je nešto relativno daleko, lako je izlaziti sa spekulacijama o najrazličitijim (i vrlo zajebanim scenarijima), i eto to tek onako iznositi, no sikiriki... dok se ne osjetiš direktno ugrožen. Nadam se samo da neće biti kasno...

S druge strane, još uvijek kontam da se život većim dijelom odvija u nekim standardnim koordinatama u kojima se uvijek odvijao, to jest tehnologija, po meni još nije iz korijena promijenila život. Kontam da je pametno, dok smo još u tom starom dobu, u praistoriji, (da je tako nazovem iz perspektive doba post singulariteta, ili post nečeg drugog što ne mora biti baš singularitet, ali može biti slično...) da čovjek pokuša raditi na sebi (kako otrcana fraza, al jebi je), da se sredi koliko god je to moguće, da omudra, da čita dobru literaturu, održava zdravlje, fizičku i mentalnu kondiciju, psihički da se stabilizuje, napravi dobar balans rada i užitka, spozna šta mu je stvarno važno u životu... tako da kad se te stvari krenu malo ozbiljnije dešavati, da ih dočeka što je moguće više spreman i jak fizički i psihički... Bitno je imati jaku porodicu, dobro društvo, ekipu, dosta kontakata i sl.","drustvo"
"To se uopšte ne uklapa u koncept novog društva. Nažalost. I ja nastojim da se držim tradicije, ali ljudi jednostavno popuste pred naletom bezbroj stvari. Mogu sutra da ti pokucam na gajbu, Jovičiću, sa pet ortaka koji će da ti lome koske dok ja pušim cigaretu, ali da li ja to zaista želim? Krivica pojedinih je što su iritantni, ali opet, imam li pravo da ih samo zbog toga kažnjavam. U starom dobu, bilo je lepo, ali i novo doba ima svojih prednosti, te zašto se ne bismo fokusirali na njih. Da je trulo, jeste, da nije to to, nije, ali opet. Nijedan razlog ti ne manjka za opuštanje, i imaš ih još hiljadu za promišljanje. Probaj da se zaljubiš, možda ti potekne inspiracija","drustvo"
"Па казане јебем ли ти колачић, 50 бодова услов ђе је? Ушуњала се ретардирана мачка у двориште побогу. Добро, у почетку је он(појава изнад) био занимљив јер пуно прича а на крају ништа не каже јер је глуп ко тоцило ал истеко му је мандат дворске луде. р е ш и","drustvo"
"Nemoj da te lično preuzmem, seljoberčiću mali bosanski","drustvo"
"Samo se ne treba pokloniti vestackoj inteligenciji (slici zveri) i to je to...","drustvo"
"https://youtu.be/eiG-DwAOX6E","drustvo"
