post,tema,topic
a uzimaš odraslog psa strašno preterana populizacija uništi jednu rasu eto čist primer stafordi trenutnoviše vidiš skoro čistokrvnog staforda klinci pomamljeni uzimaju snalažljivi prodavci mešaju svašta neupućenim klincima prodaju pod staforde,priroda,1
sećam staforda jednog devedeset nekemoja drugarica imala mužjakabežogroman biostalno vodili izložbe jako miroljubiv igrali njimgnjavili edit trebalo pas odraste uz tebetj uzmeš štene odraslog psa,priroda,2
srna volim ,priroda,2
drug oženio a pasa keve izfinansira hranjenje ja a jako miroljubiv odlučio ja uzmem moram brinem dresure izbalansirane ishrane mu kondiciju nabijem njim biciklom idem okolnih sela jeste pravu previše većina mužjaka liči ženke klinci brzo odustanu znaju izdresiraju smešno izgledaju džukac vuče po centru prelepa rasa išao bg specijalku njim izložbe ovako taman sazreo otišao faks redje dolazio manje njim vratio ovom posvetim edit tačno maro ovog vezao štene vremena polako,priroda,1
 pekinezerku godina skoro rođendan a volio imati čehoslovačkog vučjeg psa obožavam vukove a ovi isti,priroda,2
ja baseta httpcdnwwwdailypuppycommediadogsanonymousbentleybassethoundjpgwjpg httpwwwdogswallpaperscomusercontentuploadswallobassethoundpuppyjpg,priroda,1
jeste lepa rasaa ljudi vole džibera smatraju agresivnim borbi pasa eksploatisanjima svrhe bebop hahahmwax,priroda,1
 pomenuo osobe neodlučne vole kerove generalisanje ker tupav rođen tupav služi ker najbolji čovekov prijatelj prodao mangulicu transfer enivej volim kerove kuce jednog pticara dva komada skoro rodjena braca znalo luđi veoma zanimljivi prvi pogled blentavi balave skaču slušaju prvi pogled a caka šetati ljudi deluju agesivno a stvari puni energije retku priliku šetaju trče skaču živo ja šetam otvorenom van naselja izvedem lepo proplanak štema zajedno daluje znaju sobom međutim sasvim suptrotno kreću osmicama prečniku metara trče jednog mesta izvide situaciju dođu nazad naredbe nastave suptrotnom smerui udaljavaju previse trče ni zečevima ni ostalim avlijanerima odobrenja stvar bolja niko dresirao,priroda,1
httpfarmstaticflickrcomfdfbojpg dupe prodao nek puta čuvam,priroda,2
ja vojvodjanskog pulina kazu najinteligentnija rasa glupo httpiphotobucketcomalbumshhslavonskibrodnalajpg slike manji ker d,priroda,2
a volio imati čehoslovačkog vučjeg psa obožavam vukove a ovi isti postoji sarlosov vučijak sličniji vuku al postoji srb dve vrste,priroda,1
httpzooberzapoljomasinenetoglasislikedeeaffeecfbejpg deda ovakvog malasila psavozio stalno čamcemsedne pramac prvi uskočiodličan čuvar,priroda,2
postoji sarlosov vučijak sličniji vuku draskovicu,priroda,1
po lepše mističnije rase httpuploadwikimediaorgwikipediacommonsffsiberianhuskycopperbieyejpg,priroda,2
httpbpblogspotcomcjcalsydetiohfxersiaaaaaaaainewpbyuoaugsshowmainimagejpg a ovom vrstom ,priroda,2
httpuploadwikimediaorgwikipediacommonsffsiberianhuskycopperbieyejpg ker gluv levo uho,priroda,1
pih glup pojmove ja pomislio radi filmu,priroda,2
hahahaha,priroda,2
 rotvajlera reći obožavao veoma pametan često trip razume srpski,priroda,2
ja trenutno zlatnog ritrivera volela httpwwwtypesofdogsorgimagesakitainujpg haskiji samojedi divni,priroda,1
akita prelepaaaaal japanskih tj azijata faforit tosa inu httpwwwmatsukennelcomfilesgrandpasudojpg pas kojeg retko svetu osim japanu inače koriste sumo borbe pasa,priroda,1
tose velike naborane balave mrcine posedujem jednog reci divno odrasti uz takvog kera,priroda,1
httpwwwvauvaunetimagesifciskupinacehoslvucjakprofildesnojpg jačeg,priroda,1
 mogao iskustva psima posavetuje ritrivera ženku staru skoro sedam meseci nemirna cima laje dosta ludi drugim psima mackama onako igra mlati repom sudtini vesela nemirna veze dresurom preblagi uzrastom jednostavno takva po prirodi zajedno rekla razmažena nismo fazonu pudtamo radi cini rastrojstvu tice aktivnosti dan ide detњu po nekoliko puta pudtamo istrci po okolnim livadama voљa daљe vuce dadava skace luda vidi drugog psa mala odvojili majke veze prestati odraste jedno godinu dana ozbiљnije pozabavimo њenom dresurom,priroda,2
probaj sljepnes onako po tintari viknes nju ukapira stvari,priroda,1
rekla takva mala pudla takva skoro prestalo ludilo proludovala prvo teranje činjenica moraš nateraš ti makar po boji glasa sme a ja kažem dosta mirna njeno ime oštrijim tonom odma bataljuje radi dolazi noge napravi sranjce jače podvikni uštini uvo taman jaukne puta znaće zabrljala tvog podvika bolela duša povučem uvo naučila progovori a mačkama juri luda dalje im krvi skoro iskopala krticu bašti krticu ćale jurio godinu dana skočila počela kopa op inače francuska pudlica,priroda,1
marijana p retriveri po prirodi takva rasa dosta lovačke krvi energija adrenalin kipe plus praktično štene dresurom vrijedi počinjati prije og mjeseca učiti komande tipa uz blaži trzaj povocem ćušku po dupetu po glavi brzo naučiti pokaži autoritet smije a smije kazna zajebanciju nagrada kulturu kažnjavaš radi odmah nakon učinjene pizdarije ti džaba trudi ponašaš staloženo ujednačeno njom komande izdaješ uvijek istim tonom budi dosljedna pravilima uz truda bombon,priroda,1
httpwwwyoutubecomwatchvkrshkfzwxy,priroda,1
httpwwwlovackipesinetalpskibraklovackipasgromgromalpskibrakjazavcarjpg httpstaticpikbagalerijaslikadefaultjpg alpski brak jazavičar bosanski gonič barak stari ovakve slične ludi kerovi,priroda,2
oće doživimo temu a cenim dosta љubiteљi plemenite sorte,priroda,1
moram ispricati najbolesnije jebenom psu koga ikad videocaletov ortak drzi mu cuva radno mesto gajbuposto zivi radimesavina belgijskog ovcara sarplaninca brateveceg kera zivotu videooni rotfajleri pudliceplus jezivo agresivanna metara usrao gledajuci laje pokusava otrgne lancua inace tajcaletov ortak morao koristiti onu omcu stokujer kerove nikako dovoljnona zalost mu mogal prici igram njimjer reko nikako druzeljibuv nepoznate glavedan ujeo ogroman keral ni blizu velik a ja hteo pomazim,priroda,1
daj oživimo temu iskustva mađarskim vižlama lep pas nekim mestima kažu nikako pas stanimam omanje dvorište pošto potpuno lovački pas navodno mu teba pun treninga istrčavanja inače bidne nesrećna e nekim mestima kaže tolko strašno a mešanca inače podseća dosta baraka slike gore al čega al boljeg kera mogao poželeti majke vižle httpwwwmojpescomwpcontentuploadsvizlajpg,priroda,2
čapa,priroda,2
 lik kojim druzio neralan tice privlacenja kerova odene prati kerova svakiali put kerovi moraju njim idu zajebavali debeo podseca slaninu xd nalazio njim trafike vidim dolazi km odma prepoznam on kerova a znao zvuk napravi odmaali odma privuce kerovecak nebitno glasno kolika udaljenost kerecem jeziku kaze koski kalishu jednom blejimo iznad zoloskog vrtacak udaljeniji prilicno on zvuk napravi cujes vukove oglasavaju sea zima preljuta napoljuzivotinje vrv ni bile napoljuuradi vuci oglasavaju sei opetnerrealno jebeno gajbi spratu uradi toker pm udaljeni vidis oglasava sea zvuk radi tiho jedva ja pored cujemdobrone jedvaal uopste glasan zvuk,priroda,1
snimak wolfdog favorit portuguese water dog dobar,priroda,1
 pas gluv levo httpuploadwikimediaorgwikipediacommonsffsiberianhuskycopperbieyejpg,priroda,1
ole ti napišem post jako slično iskustvo,priroda,2
andjelkojbgnemam,priroda,2
 desetak dana dva bretonca jednog morao dam lajalo govedo po celu noć a žao bijem jedino redeњe ćale loži lovacke kerove ja volim preterano planiram uzmem nekog kvalitetnog zlatnog volim mekane neagresivne pse akitu engleskog buldoga planiram duzmem skorijoj budućnosti,priroda,2
 akita jako neagresivna,priroda,1
napisao retrivera neagresivan mojne jeded prebijem dabane mali volim mekane pse agresivnih znaci љute voleo cuvam,priroda,2
 mekan pihtijast kupi jebenog pinča ti priliči nube,priroda,2
džabe teretana muda malena,priroda,1
hahaga pincevi preobjadњavaju uzeo maltezera pљunuo lice đovak a њega podnosim istetoviraj pitbula pored gracanice grbi agresivni covece takve prebijam pogledom,priroda,2
angele ,priroda,2
stafa jebo pit ,priroda,2
muda rastu teretani engleski buldog ,priroda,1
jazavičar aka kobasica odličan pas jedina mana pustiš niz stepenice,priroda,1
httpkhongthecomwallpapersanimalscooldogjpg jbt,priroda,2
dodirnuo najgotivniju kerecu dlaku ikada minuta japanski ker prefina preljubazna dlakastiskao kera tog ceo dan,priroda,1
 ženku pulina prcala samojedom lice dtenad,priroda,1
 fina štenad a psi kontam šareni vjerovatno bijeli crni špicaste njuške podignute uši ženke mužijaci kila im krzno kul fotkaćeš vidimo,priroda,2
httpwwwpagogcompicsaugustweirdanimalsgif daovo kerdrzao gajbi,priroda,1
obavezno slike samolin rase obesiš,priroda,2
httpwwwsrbijadanascomsitesdefaultfilesstylesfullarticleimagepublicvelikipasjpg,priroda,2
httpwwwzivotinjersslikeitemimgpasjpg panda pas,priroda,2
gle postoji paspandan pandi,priroda,1
psi rase japanska akita mislite ,priroda,2
 ženku pulina prcala samojedom lice dtenad bač daj slike ovoga pulina a uzo hteo samojeda živo zanima čega liče kakav im karakter,priroda,1
 kojim slučajem nekog žešćeg psa tipa rot staford pitbul kane korso sl obučavao tipičnog seoskog džukca kućnog mešanca omanjeg crnobelog polučupavca vezuje trči po dvorištu fazon ma prostu džukelu onu agresivnu žicu ,priroda,1
 ja pitammoj drug staforda napravio mirnije kuce pudleneko kuce napalo on poceo cvili drugi put napao lanuo straha al kuce valjda videlo po lavezu jaci odustaloe jednom osetilo borbu dobarmada niko sigurno ce kuce ponasa ja gledam pitove pune ljubavi dobroteigraju decom itdda kuce promeni ponasanjene verujem dobrice zver postane oseti borbu nece izbegava desi zapocinje ponekada prema ljudima ce ponasa znamtreba im stavlja korpa ulici a vlasnik kuci nek radi k,priroda,2
 agresija zavisi bitnije ti povedes racuna tome kakvog legla stene dolazi imalo kontakta ljudima progledavanja kakva keva slicno naravno period socijalizacije tobom navikavas ljude pocetka napravis anksioznim dozivi traumu ti psi znaju jako zajebani budu stenci prezive traumu prepravke agresije uzrokovane teze ispravljanje agresije uzrokovane losom postavkom dominacije coporu svakom slucaju psa trci slobodno van dvorista smes pustati,priroda,1
zabluda stafordi pitovi agresivni prema ljudima zapravo genetski selektovani budu agresivni prema drugim psima borba sama po veze covek pitanju pravi ogroman problem socijalizaciji drugim psima skoro resiv problem staford kvrcne napadne pas jak on cak ni vrhu nekih lista tice ujedljivosti najujedljiviji pas ovom svetu koker spanijel pas po svojoj prirodi agresivan sladak ljudi zanemaruju a ozb stetu napravi realno,priroda,1
lol bitno lik trenira pitbula borbu ker dobre kuće keva mu pacifista ti agresivnog psa edit sojin komadić ,priroda,2
 tesko stavit mu korpu pas navikne toverujem mu neobicno korpe navikao nju lajanjem trazio mu gazda stavi korpukazem pitova stvarno dobrihda zavisi kakvo leglo uzgajivac ponasao prema njimaima faktora verujem pitovi agresivnivelika vecina jesu im vlasnici uglavnom debilinajodvratnije ceni kuce po snazikazem ja jednom coveku nekog psa lep a on napravi facu pas vredi nicemu jaka covek fizicki slab misli drugi ljudi vrednovali po tomekako mu ,priroda,1
 uzimas psa gledaj uzmes najrazigranije najmirnije stene legla raspitaj pitaj jesu drzali stence rukama progledali posmatraj leglo ponasaju kevom uzimaj stene ispod dva meseca nikako,priroda,1
lol,priroda,2
ja dve macke jedna preza ni pasamislio ce nastrada svojim stavom uspeva otera kojeg psatvrdim iskezila nakostresila borbeni pit bul podvio rep,priroda,2
 labokv kaze pitove stafove uglavnom uzimaju debili ti psi zapravo pretrpe ozb maltretiranje kvrcnu pit staf vazi agresivnu rasu glupost agresivni prema psima ljudima zapravo jako inferiorni,priroda,1
 ujeo koker cista mira,priroda,1
koker ujeda cista mira stalno praksi vidimo kokera brnjica podrazumeva a imala kokera naujedao pare,priroda,1
 kaže sojin ,priroda,2
kazem ja ovom reko gle lep malinoa on kaze ma los ker znas mu uradio pitmnogo takvih ljudi cudimo pas napadne nekog mje najgore krivimo zivotinju,priroda,1
ma glupost msm jeste pit jaci malinoe dizajniran dvoriste malinoa zakon radni pas dobar slican nekadasnjem vucjaku po karakteristikama malinoa agresivnija pita dosta,priroda,1
ma ja pitam setio nečeg ranije haskija klinac dresirao tipično klinačko igranje psom vezan koristio priliku zbriše van dvorišta po sati nekada po ceo dan genetski programirani bubu teritorijalni kodirani budu razigrani eksploreri stvari pomislio haski genetski predorderđen drži mesto pravilno dresiran pit dvorišta nasrne rendom džukelu šeta po komšiluku,priroda,2
 malinoa cuvaroa valjda belu kucu cuvaju malinoezajeban pasmeni lepiali volim pas agresivan,priroda,2
 desi psi kolju teritorije dresiran a opasnost postoji haski primitivna rasa porediti drugim psima gomile stvari tice ni ni malamuta ni ruske lajke a pita postoji velika sansa ce klati druge pse prilike,priroda,2
ja obozavam malinoe vucjake dusa boli nemacke ovcare osakatili greh,priroda,2
labrador nekako najgotivnija pasmina,priroda,2
volim vučkaste pse tipa haski recimo vezan koristio priliku zbriše van dvorišta po sati nekada po ceo dan jebeš mu mater izgleda nisi jedini d vidim haskija nekog mota po gradu dao oglas klinci drugar našao haskija pobegao vlasnici nekog udruženja našli vratili ,priroda,2
dosta ljudi imali haskija kazu glup pas djeluje normalan drugi zanima misljenje kaze ljudi imali haskija,priroda,1
ahahha zamisljam haskija nekom psecem drustvu polivaju nekim kucecim forama a on kapira,priroda,1
 komdiluku haski bukvalno dan on turu pređe vlasnici puste on ide po gradu obiđe mesta blizu vrati preže sanke odmah devijacija,priroda,2
 zove mali beli psic podseca jazavicara a glavu terijer,priroda,1
darude sandstorm,priroda,1
zove ejdus pička ti materina,priroda,2
 bavi dresurom pasa,priroda,2
pezos,priroda,2
radim honorarno muriju vucjake sopove iskljucivo,priroda,2
pez httpsimgurcomaokvvo,priroda,1
inka pas,priroda,2
bezdlaki peruanski pas,priroda,2
 anubis,priroda,2
kakav držanje kući nabaviti,priroda,2
 odgovara mu klima osim andske a zvace lisce koke inace brzo ugine,priroda,1
 lupetaj,priroda,1
¿¡,priroda,2
 peruanski pas preziveti obodima kosmaja pasji zivot nemoj muciti zivotinju,priroda,1
nabijem ti prst dupe ,priroda,2
 šarplaninaca van šarplanine kangala van turske tibetanskog mastifa van tibeta ,priroda,1
 jako specificna rasa kreirana boga licno zahtev samana ajahuaski,priroda,2
 jednog mladenovackog seljaka jebiga,priroda,1
drzi pitbulova bembare ,priroda,2
staforda,priroda,2
 uginula belgijska ovcarka kuja godina imala rak izjeo dobio dzaba stene belgijskog ovcara lik morao resi tuzio stanodavac radni pas odlican naucio poslusnosti tice odem bicikl vozim on trci mnom miran ,priroda,1
 pazi ja malinoa pas jedinu manu manom zvati malinoa pretrči km problemu hiper aktivan neumoran najpodobniji dresuru radi nonstop njim,priroda,2
 stanu kavez ,priroda,1
 malopre ja umorio stene jebeno biciklu vozio min poslednjoj brzini jedino previse radoznao hoce dvorista izadje vidi kera a prelako mu izadje kroz resetke kapiji drzim duzem lancu preraste,priroda,1
malinoa preskače metra mesta fazon nauči ograde negde ,priroda,2
sop bohore pored zajeban dozu nacionalizma,priroda,1
ma jes boh stene provuce postoji ograda preskace bezobrazan ker a radoznao,priroda,1
 naprave kerbera genetskim inzenjeringom interesantno drzati psa a poprilican cigan vezivao zivotinju moram pustim negde livadu poklonim ti ja ,priroda,2
 preferirate odane pokorne pse svojeglave komplikovane macke,priroda,2
 posedovati mackustvorenje crknes zavalilo dokle hrane ciniji ,priroda,2
macke gledaњe egzoticne oranžcrnog krzna psi suživot,priroda,2
psi protiv mačaka ljudi vole mačke ja pitam definitivno psi,priroda,1
psi mačku naučiti raskube nekoga komandu,priroda,1
kučiki,priroda,2
jao klasicna hipsterska prica ja macku pas poslusnik slepo prati svog gospodara macka svoj gospodar neobuzdana divlja jedinstvena ja,priroda,2
al odakle mačke svojeglave neposlušne zgradi jedna debela ide ciganin vrata vrata govno pojela baciš lezi depresivno po ceo dan,priroda,1
 privrzene nikome obraduje ti macka pas vidi bukvalno ce srece hahah,priroda,2
macke razloga sere razliku dzukela pisaju seru stignu,priroda,1
 inace hoces slugu kupi kera oces gospodara kupi macku praksi macki izvrnes konzervu granule ciniju ocistis pesak keruzanju vodaj po ceo dan napolju kisa sneg neces ti zasere stan,priroda,2
 naravno ce najveci poslusnik sajtu morao ceo zivot peva mu kazu aplaudira masi mu kazu kompleksa voli macke po prici on glupane izadji tog mehura kom zivis pas jednako lako nauci trazi ide napolje pisa kenja a macka ti iserava jeziva tanka smrdljiva pesak kupatilo,priroda,1
ahahah docekao penal pezz tanka puna peska,priroda,1
 terasu garsonjera pitanju kupatilo,priroda,1
brate volio macke nikako prije godine ja msm sajosto vrijeme rata krio ispod leseva omaci mu macka majka navali donese on donese ja majki krv pio ce znaci sprdali zvali sajovke po saju brate po znaci macke pod kozu bile uvukle nedje pola godine jedna macka ojde nedje ubiju kola ovu drugu ubiju kola ogromna tuga znaci ka ruku okinuo dotu igrat nekako reka majki trazi macke godinu saju macke omace majka mu trazi macke ja skacem majku radis jadna ce donese macke brate vrlo slicne onim proslim cak jace znaci prelijepe fine mirne umiiiljate braate znaci nevjera umiljate dodju maze cuda cuda godinu pola godine jednu ubiju kola a drugu nedugo zatim kuca macke nece imat brate prevelika tuga izgubis,priroda,1
љudi drže macke pse kući najveće debilcine svetu,priroda,2
mačke vode same brigu nahrani setis pusti ide po selu zivi zivot lepo slobodno kera moras vezes negde mu ogranicis kretanje debil,priroda,2
 bohor kera mackual ce izvinjavanja naredna dva meseca ,priroda,2
ma salim ja kerovi bolji,priroda,2
ja macku nemam ja kucni macak napominjati rasan persijaner papirima ostalo sluzi nicemu generalno tezak smarac dosadnjakovic grebe vrata ludi celu noc po kuci nekako vezes nemam pojma meseci srbiji kazu smoren slabo jede verovatno mu nedostajem,priroda,2
љudi drže macke pse kući najveće debilcine svetu љudi drže koњa godina kući upitni,priroda,1
dobar,priroda,1
macke setas nahranis zamenis pesak karakter a slepo podanicko pozicioniranje coporu vezuje uglavnom jednog clana porodice eventualno fin prema zgotivi nece pokazati pandurima drzis vutru slicne stvari psi previse komplikacije ljude vole napolju zavisi njihove dobre lose volje,priroda,2
 kučiki,priroda,1
petar pan pezo jao klasicna hipsterska prica ja macku pas poslusnik slepo prati svog gospodara macka svoj gospodar neobuzdana divlja jedinstvena ja bukvalno žensko ikad macketina jede sere spava a žene glume kleopatru stari egipat,priroda,2
macke lepse mibas briga umiljate psi covek gnjavi macku spavaako budna bezi uhvatim zadrzim minutznaci najbolje spavaa nervira vlasnik psa kazevise volim pse pokazuju ljubavpa pricemoj riki vidi on skace srecejooj obradovaofuj macke macke lukaveoce izrade coveka masu repom skacu srece gazdunego briga gazdukazes jojeeej rani dodji voli mea ,priroda,2
 kaze labo usudjuje dodje zovem pricam primatima sutiraju onu pitbulove budu opasniji kakav jebeni glitch evolucije,priroda,1
muškarci mačkoljubi većinom žešći frikovi lik mog grada nadimak mu ket fakr ladno lik pričao mu digo mazio mačku,priroda,2
bombas stvari slazemomi generacija prave vrednosti ovi klinci danasa ljudi staro vreme ziveli najpravilnijesad seti jedne zene po ceo dan ide svojim kucetom prica njimsva posvecena kucetu kuce ceo njen svetkakav mizeran zivot ubijemucno gledati jeposebno prica kerom srodnom dusomtakav osecaj izazivaju ni prosjaci ruku nogu onaljudi izdali a kuce nece,priroda,2
nadimak mu ket fakr ladno lik pričao mu digo mazio mačku jednom čovjeku digne odmah prozivke,priroda,2
a drugi lik mu uginula mačka isključio fon nikom javljao dana pritom lik godine tad reci frikovi brate,priroda,1
 ljudi srecni pojedu popijuali znali stres srecniji danastako pravilno zivi,priroda,1
orkana pricas lazi,priroda,2
jedna zena sexualno opstila kerom ker ljubavnikaj kupila grobno mesto nju kera budu sahranjeni jedno pored drugog,priroda,1
trenutno psa konja sokola istreniraću sokola fata mačke baca rijeku,priroda,2
psi naravno vidim nikakvu vrstu satisfakcije deljenju životnog prostora mačkom,priroda,2
 jedno drugo mali macke uopste voleo promenilo porodicu macaka dvoristu onako jednu veliku porodicnu zadrugu nekoliko generacija jedno vreme macka psa obojica muzjaci zvali žuća,priroda,1
muči pseto misli psima skeč,priroda,2
jebala ti mačka mater ide ,priroda,2
abokv jedna zena sexualno opstila kerom ker ljubavnikaj kupila grobno mesto nju kera budu sahranjeni jedno pored drugog ker,priroda,1
macke setas nahranis zamenis pesak karakter a slepo podanicko pozicioniranje coporu vezuje uglavnom jednog clana porodice eventualno fin prema zgotivi nece pokazati pandurima drzis vutru slicne stvari psi previse komplikacije ljude vole napolju zavisi njihove dobre lose volje karakterhahahahhahareci engleskom buldogu karaktera ljudi svetukoji jebeno tvrdoglaviji svake macke neposlusnijiima vrsti pasa tih rasnih priznatih kojih svaka drugacija al apsolutno razume bukvalno ni recenicu sastavi kinologiji misljenje inace ce smatrati jako neispunjenim danomajde bezite macke domace najdivljije tipa tigra lava isti karakter dosadne generalno a psi kolko rasa postoji svetu drugacije pas nauci tipa malinois border koli ni simpanza jebena nauci aj mrs tim pricama macijem karakteruod tog njihovog karaktera dobijete vam skrivaju tanka jako smrdljiva svuda iza troseda ugaonih garnitura im dosadno iskopaju govno peska stave negde ispod krevetapsi puta raznovrsniji osobeniji karaktera jednolicnih macaka loze hipsteri mahom masa kruga dvojke,priroda,2
plus pas stvarno umes mu budes karakter bukvalno nocna pogotovo rasa fci grupe primer molosabas voleo presvilenu osobu vidim barata boerboelom bulmastifom alabaiem nebitno hahah boji ni kometa svemira padne a kamoli oseti svileni glasic feministkinje mu govori ti nisi macka nemas karakter ajde mrs najobicnijeg maltezera moras karakter voleo postovao a kamoli zver psa podanika psu pogotove svileni glasovi hahha tipa bombas feministkinjea glupavu macku nikog slusa pas zadavi cim mu dodje dvoriste,priroda,2
 vam mater jako vam isprdim po facama spavate znate snaslo,priroda,1
hahahaha,priroda,1
 oboje uglavnom,priroda,2
 koker španijela izuzetno veran a komšije barem ak mačaka budu velikog dvorišta zabavljaju dan druge komšije otišle privatno germany ja prosto verujem pas tuguje njimatri dana jeo a put pređem njib on zaleti kapiju misli dolaze svemu skratim priču ja predivnog kokera dajem glas mačkama verne gazdama lakše preživljavaju gledaju svoj interes a psi previše vezani puno košta njihovom životu razlika naravno zavisnosti rasa naravno životinja malena istog gazde donekle varira po istom principu,priroda,2
jedini razlog bavim preterano ozbiljno pezosom jeste ogromna razlika svemu dete pet godina napadne maše ručicama eto dakle svakom smislu užasno neuporedivo dominantan odnosu nemam pogonsko gorivo bakćem njim jednom rečenicom izbacio takta mesec dana smiri progoni maltene svakom upisuto stvar iskustva jednostavno kakve šanse godišnjak živi novom sadu kevom garsonjeri protiv nekog poput postoje dani vidim akcije nesretni pez čitav život diram zamisli javor pezos trči okolo unezveren proziva čelzi ja smešna spika jebena vukajlija dođeš nasmeješ progene kojekakvi mediokriteti pezosi čika bulje slični,priroda,1
komšinica udovica muž vojno lice umro živela vučjakom mačaka vučjaka muž doneo vojske umre žena našli dana prodavnici zapitali dodje hitna policija provale uvidjaj ubio imala baka pare mačke krenule jedu jebeno pete pojele skroz videlo a vučjak podavio mačke majkao pored nerealna slika pisao tome voli mačke mrtve kerova,priroda,1
ti video ,priroda,2
