post,tema,topic
 zgrade veće auta bolja telefoni supernapredni kompjuteri jedva koristiti tv izumire radio ,drustvo,1
projektujes sadasnjost rusen berlinski zid padao komunizam pocinjao rat mislili sfrj sobzirom stvari ubrzavaju pogledas recimo projektujes ,drustvo,1
 otkupila licencu golf proizvodi motorom vodonik,drustvo,1
vidim provejava strah tehnologije zamena ljudi robotima radi jeftinije proizvodnje kul ti kupuje proizvode ljudi nemaju prihode,drustvo,2
 pravu celt zajebavam al dosadasnje iskustvo govori male sanse cemo narednih godina postati normalno drustvo,drustvo,2
bombas novac sredstvo razmene cemu sluzi novac grupa ljudi dobio kontrolu nad tehnologijom ti daje neogranocenu moc nad okolinom sobom npr vecnaja mladost novac vrednost koj ce ti koc pltis ljude svojom energijom odrade ,drustvo,1
 pišem letećim autima kakva razlika života života kompjutera telefona boljih televizora pišem politici tehnologiji imaćemo hologram telefona eto vr rasprostranjen,drustvo,1
 muzika losija devedesetih,drustvo,2
 posledica tehnologije,drustvo,1
 pišem letećim autima kakva razlika života života povrsini cini zivot isti dzepu orakl pitas znas a interesuje koga pricas drugarima razmenjujes ideje futurizmu totalno nepoznatim ljudima gledas drugi ljudi jebu nalazis ti jebes kupujes prodajes statijaznam sitnica,drustvo,2
 prodavaće veštački udovi crnosvetske razlike postati velike opasnost velikog pičvajza dobar deo svetske populacije preskakati civilizacijske stepenike bivaće im dostupna tehnologija razumeti računam narod nećemo doživeti kulturološki skok ćemo ostati seljačine skladu tim vremenom postojati partije stvari sjebati demokratiju uopšte ovakva pandemija a kamoli drugi svetski pičvajzi remete ekonomski poredak ,drustvo,1
male stvari prave velike promene leteci automobili pitas gugl gluposti gledas stvari a gugl gleda pravi profil cak postane samosvesna masina vreme ce vecinu ljudi ljudi znaju iznenadjujuce tezak posao pricam roditeljima partnerima slicno posledica polagano tiho prica pogledaj naci ces istinu najbolje prestaje validna budala nece poslusa mu kaze orakl jednostavno daje prednosti zivotu nauci ti hoces ce personalni virtuelni asistenti zakazuju sastanke asistentima drugih ljudi gugl ti nadje savrsenu zenu auto kucu izgled redjaj jednostavno bices budala prihvatis e prestaje koncept slobodne volje sopstvenog misljenja a menja ljude drustvo jebenog leteceg automobila niko gleda nekako skroz ok,drustvo,1
e a pricam dogadja najvece tice futurizma rekli englezi sejf bet,drustvo,1
 povrsini cini zivot isti dzepu orakl pitas znas a interesuje koga pricas drugarima razmenjujes ideje futurizmu totalno nepoznatim ljudima gledas drugi ljudi jebu nalazis ti jebes kupujes prodajes statijaznam sitnica zadnja dalje futurizam d ja celte kažem fazon ćeš moći izvadiš portabl vr hologram džepa stvoriš tetku nemačke pored ispričate tiče letećih auta podzemnih gradova tih ultra futurističkih sranja poranili vekova,drustvo,2
 jako drago diskutujem vukajliji svima inače uživo poznajem ukupno čoveka mogao ovakvim stvarima pričam,drustvo,2
 nauci ti hoces ce personalni virtuelni asistenti zakazuju sastanke asistentima drugih ljudi gugl ti nadje savrsenu zenu auto kucu izgled redjaj jednostavno bices budala prihvatis e prestaje koncept slobodne volje sopstvenog misljenja a menja ljude drustvo jebenog leteceg automobila a pravu prerano suštini volim ,drustvo,1
ma predaleko radi najvece vestacke neuronske mreze prate pogledao otkucao internetu prave profil prate interesovanja zelje fetise bolesti mrzis jutubu trazis odmah hoces cesto ti ponudi sadrzaj strane mogao kupis znaci ti menja ponasanje time gledas citas ti menja mislis pomaze odradis oces radi ni jedna osoba kolko trifors mislio kompjuter kompjuter kroz ostvaruje promenu fizicke realnosti kolko ti promenis ikakvog cilja odnosno ciljem pomogne nekom drugom ti proda dodaj ostale podatke podelis zdravstvene fizicke kolko vezbas kolko pravi bolja slika stvari ce vestacka inteligencija bolju procenu dusa hoce opciju predas slobodnu volju mislis algoritmu patis gledas predali lagano uzimaju moglo ogromna vecina ce prihvatiti dil realno los fali pomoc cini mudrijim problem nastaje drustvo krene menja pocnu budu kontrolisani automatskom vestackom inteligencijom dolazi etickih problema sukobe dva interesa kontrolise ista vestacka inteligencija pobedi ai postaje gospodar morala pravde dalje blize izgleda ce desiti polagano neprimetno problem orudje problem napravimo tolko dobru stvar postanemo orudje,drustvo,1
 gospodar morala pravde pocinje nazire pitanje bitno kriv postane viralno jeste vrlo brzo veze sudija porota misle a postaje viralno kontrolise mislis postoji ljudi najbolje snasli precutno dogovorili vestackom inteligencijom kazem provalili deli ljudima ti oces platili svejedno nacin podrzali,drustvo,2
 cinilo ce zanimljivo ,drustvo,2
httpswwwyoutubecomwatchvidjusegs,drustvo,2
daj ubacim temu preporucio knjigu den brauna poreklo jedna lepa ideja tome moglo ceka buducnost,drustvo,2
ja onako dobio ovu mini krizu identeta knjige homo deus lik lepo verbalizovao znao prave ljudi svasta potsvesno razmisljaju terminator scenariju foru dokle svest a daleko niko radi ni potrebe niti verovatno samosvest uopste potrebna dobar ai totalno promeni drustvo neprepoznatljivosti polagano upozna,drustvo,1
 svest primarna ai singularitet istog dođe svom kvantnom sveznanju prelako doći zaključka ratovi besmisleni dalje povezavši svoj superdatabase preneti poruku vrlo moguće psihodelično iskustvo anplaguje decentralizuje manje jedinice služiti čovečanstvo imati božanske moći prethodno takvom stanju dosadan bespotreban httpsyoutubemttgzvdlre nemoj ponavljam kreator simpsonovih matt groening mason dan braun mason barak obama čelu netflixa zajedno nekim sumnjivim ljudima naravno formiraju mišljenje svih ostalih ovaca gledaju black mirror fun fact black mirror ekran shvati postoji novo pod suncem njihove taktike formiranja javnog mnjenja vrlo vešto implementirane kroz stoleća vladaju veruješ ti dokaz gebelsova zaostavština propagande evoluirala httpscpcmlcaimagesdisinformationoperationpaperclipjpg httpsyoutubeqmbymkxgrv ai dospela singulariteta kontrolisati strane pojedinaca grupe ljudi štaviše postoji ai blueprint mali milion operativnih sistema stave komande tipa cenzuriši mmsu gugl pretragama program činiti besvesti ti celte navodiš upravo programiran programiran programira moglo reći,drustvo,2
 vi mrcite singularitetu a pola nacije upalu pluca upravo,drustvo,2
lecio umem upale pluca onako sedim kuci visak vremena razmisljam singularitetu,drustvo,2
 upale pluca epidemije generalno plasite ,drustvo,1
elem triforce svest primarna plasi vrlo mocan informativni sistem ai totalno nesvesan kontrolise svet bukvalno postane uticajan totalno zanemari ljudsku svest slobodnu volju ugusi imace svest mozemo projektujemo nasu definisana culima vidimo cujemo osecamo uopste takva svest ostalo masoni videi kacis no koment ai dospela singulariteta kontrolisati strane pojedinaca grupe ljudi štaviše postoji ai blueprint mali milion operativnih sistema stave komande tipa cenzuriši mmsu gugl pretragama program činiti besvesti ti celte navodiš upravo programiran programiran programira moglo reći projekcija inteligencija nacin humana slicna onom znamo kontrolise greska napisao zasto httpsvukajlijacomforumtemefuturizamstranapost najvise plasiti totalno nesvesnih promena oces cuvas humanost nacin uspemo napravimo ai svakom smislu ljudsku svest posledicno losa stvar,drustvo,1
kenjaju singularitetu osnovu yt klipova,drustvo,1
de de procitao knjige,drustvo,1
partija budućnost vizija druga predsednika budućnost budućnost,drustvo,2
 negde umetne ekološki problem njegove posledice po društvo jednačinu vidim iko spominje a imaće velik uticaj budućnost čovečanstva,drustvo,1
čista voda hrana obnovljiva energija prvom mestu potrebno veliko otkriće mislimo porokamo mad maxu desetina godina upravljanje otpadom važna tema ,drustvo,2
ja bataljujem cigare vraćam prirodi pravim vrednostima zaposlim luna parku,drustvo,2
 plasi httpssociablecotechnologyterencemckennaai in other words if ai is product of our imagination creativity it passes turing test then like theory consciousness creates reality very act of observing believing an ai is conscious would make it so veze neću traćim ni ni vreme stvari otkriju možete vratite postove reference edit terens dao jednostavno rešenje pitanje primarne svesti a naučnici ni dan objasne svojevoljno skupimo ispružimo šaku naravno daju ceo niz opisa mozgom dešava signali šalju šaku objasne svojevoljno deo odgovor svest vlada materijom nikada priznati,drustvo,1
daj nemoj zajebavati pričaš nekoj svesti pet dana čovek potpisuje palcem birački spisak de leba ti,drustvo,2
nemam komentara dovoljno piskarao pustiću blejite ja pečem suncu bournemouthu plaži rekordne vrućine ,drustvo,2
 ideš tekme afc bournemoutha baciš tiket funti vilijam hilu praviš englez,drustvo,1
 drkaš levom rukom po propisima,drustvo,1
trajfors kurčiš a p ja sunčao protiv volje podgorici pakao,drustvo,2
 zivotinjice svest,drustvo,1
svasta sprema,drustvo,1
 simptomaticno uzme proserava prirodi svesti singularitetu nekim ultra apstraktnim filozofskim temama nekako ispostavi narkomancina raspala obrazuje jutjubu ozbiljno bar ljudi uključujući velikog mislioca današnjice triforcea borca protiv vakcina gravitacija zdravog razuma ljudi gustera,drustvo,1
bukvalno nećeš videti ostvarenu osobu sere a mu struka besposlicari ljudi dead end poslovima perspektive životu druze uzmi radi napravi života mani debilisanja singulariteta ljudi gustera mrtvih beba a ,drustvo,1
isti tipovi gledaju sunce drže paleo dijete piju kombuhu date sliku ljudi izaberem triforce keca izvalio panj dajem,drustvo,2
morao guglam konbuhu jebeno ,drustvo,2
gambi karakteristican visak vremena lose covek ume kvalitetno dosadjuje lako ,drustvo,2
 futurizma vezbati nauci kvalitetno dosadjuje imace dosta prednosti buducem drustvu onog ume fokusira zadatke vredan misli iskljucivo svojim ulozenim trudom doprinosi drustvu a trud trazi druge stvari radi a uci nepravedno ,drustvo,2
lol gambi daj definiciju ostvarene osobe osnovu zaključim mere ti ispran mozak lično rešio gađaš stereotipima mnom ti uzvratiti plašiš,drustvo,1
 mog genijalnog plana paz transhumanizam budusnost trebalo celo covecanstvo poveze tehnologijom mozgove jednom velikim globalnom super brzom bezicnim mrezom nastale podele momntalno super inteligentni hive mind radili slozno boljitak svih jedinki sistemu kraju uz pomoc vestacke inteligencije nanorobota napravili super kompjuter jest savrseni digaitalni virtualni raj dubini zemlje vremenom potpuno digitlizovati ziveli vecno zemlji postoji problem svrhe postojanja a raj raj nemas svrhu a ce mnogi ljudi virtualnom svetu ma savrsen zeleti deluju realnom svetu nekako ostavio malu grupu primata prirodno evoluira inteligntna bica slicna povrsni zemlje genetskim inzinjernigom modifikovao mozak okeje prima signele sredini mozga blizu cela super brzi link povezan vestackom inteligencijom dubine zemlje pomalo deluje usmrava cita im misli super kompjuter kome nalazi virtualni svet ogroman skener stalno skenirao celu planetu ljudi virtualnog sveta mogli budu hoce hoce povrsni zemlje realnom vremenu nevidljivi inteligentne primate ljudi cak mogli ulaze osecaju osecaju njihovog modifikovanog mozga cak im salju simbolicne ideje direktno mozak pomazu im im odmazu plus skener koristio saradnji nasim kvantnim racunarima predivdja buducnost nekom malom vremenskom intervalu mogucnosti lol ljudi mogli posmatraju razvitak nove civilizacije cak deluju pomalo nevidljivo njihovih vladara mocnika narocito nasih miljnika imali iste moci znali nase tajne radili velikim planom kasnije tome primati umru skenirali tim istim super sofisticiranim globalnim skenerom mozak prebacili virtualni svet jako nevaljale primate kaznili nedela pocinili realnom svetu niko zeleo svest prebaci drugi univerzum kvantna besmrtnost izvuku nekaznjeni a dobre pustili prebace drugi svet nagradili budu hteli nasa braca transhumanisti verovatno zeleli budu medju nijma fizicki narocito ovi isli putem geneteski modifikuju dozvoljeno pocetku nastanka nove civilizacije a razlogom civilizacija poprimila nasih ideja krha mlada civiliazija dozivela rani nepotreban kolaps kraju inteligentne primate sazru dovoljno tehnoloski razviju napravili postepeno budu isti svemocni bogovi zemlji glavni cilj plan pocetka a toku tog procesa sirili svuda univerzumu cak drugim unverzumima a zemlji verovatno jovo nanovo drugom inteligentnom vrstom usavrsimo tehniku svesna inteligentna bica postanu svojom slobodnom voljom jako dobra vezba mozemo uradimo inteligentnom vanzemaljskom vrstom nadjemo ovom univerzumu pocnemo veliku ekspanziju duboki svemir teoretski veliki problem postojanje mocnih vanzemaljca stvoreni evolucijom nekog recimo savrsenog univezuma narocito tvrdili suverni vladar tvorac tvorac postoji bolji plan svesna bioloska bica preti ce kraju svima sudi sprzi vatrom narocito ubedio mnoge njihove verne sluge sluze budu mom nesvrsenom svetu cak svemocni vladar verovatno postao primat cisto zajebava nasom svetu mocniji bolji spasava nevaljale primate svojom ideologijom daje obacanje svima ce svet savrsen zastitini znak kvadratu vidi znak nasih miljenika primata deluju skriveno povrsni zemlje usmerivali svoju civilzaciju zarad nasih visih ciljeva kroz eone ja glavni veliki arhitekta slazete naravno ja zamislio genteski modifikovao digitalizjem rogove zelim izgledam viking ceo crven navijam crvenu zvezdu nosio trozubac bog posejdon volim more mislite,drustvo,1
 vidim manjkavosti navedenoj ideji,drustvo,1
username checks out,drustvo,2
dude just described current state of affairs on our neighbouring planet earth thank we dont live there place is cray cray,drustvo,2
niko pravu ste pravu,drustvo,1
ja odavno zabrinut budućnost nosi pogledu tehnologije kroz nju pogledu same filozofije shvatanja života nekih osnovnih stvari mnoge buduće tehnologije mjere radikalne potencijalno krupnim poslijedicama mijenjaju život korijena najbolje preveo termin disruptive jedino tješi nadam tih stvari približe ljudi uozbiljiti ozbiljnije pozabaviti svim tim poslijedice bile negativne relativno daleko lako izlaziti spekulacijama najrazličitijim vrlo zajebanim scenarijima eto tek onako iznositi no sikiriki osjetiš direktno ugrožen nadam kasno druge strane uvijek kontam život većim dijelom odvija nekim standardnim koordinatama uvijek odvijao jest tehnologija po korijena promijenila život kontam pametno tom starom dobu praistoriji nazovem perspektive doba post singulariteta post nečeg drugog singularitet slično čovjek pokuša raditi otrcana fraza al jebi sredi moguće omudra čita dobru literaturu održava zdravlje fizičku mentalnu kondiciju psihički stabilizuje napravi dobar balans rada užitka spozna mu stvarno važno životu stvari krenu ozbiljnije dešavati dočeka moguće spreman jak fizički psihički bitno imati jaku porodicu društvo ekipu dosta kontakata sl,drustvo,2
 uopšte uklapa koncept novog društva nažalost ja nastojim držim tradicije ljudi jednostavno popuste pred naletom bezbroj stvari sutra ti pokucam gajbu jovičiću pet ortaka ti lome koske ja pušim cigaretu ja zaista želim krivica pojedinih iritantni pravo kažnjavam starom dobu lepo novo doba svojih prednosti zašto bismo fokusirali trulo jeste razlog ti manjka opuštanje hiljadu promišljanje probaj zaljubiš ti potekne inspiracija,drustvo,1
 kazane ti kolacić bodova uslov đe uduњala retardirana macka dvoridte pobogu pocetku onpojava iznad zanimљiv puno prica a kraju nidta kaže glup tocilo al isteko mu mandat dvorske lude r e d ,drustvo,2
nemoj lično preuzmem seljoberčiću mali bosanski,drustvo,2
 pokloniti vestackoj inteligenciji slici zveri ,drustvo,1
httpsyoutubeeigdwaoxe,drustvo,2
mislite moguca besmrtnost smrt bioloski fakt nikakav napredak nauci tehnologiji spreci moguce godina moguce potencijalno produziti zivot gej stop mind uploading stop,drustvo,2
definitivno moguće izvodljivo nekoj dalekoj budućnosti ti ja ćemo odavno budemo crvlji izmet izvodljivo,drustvo,2
eh a nekada smatralo vek tog rešenja doći veći problem imamo nestašice smrti pospešiti razmišljalo pravcu besmrtnosti,drustvo,1
 ti ubrizgaju besmrtan neizvodljivo ti ubrizgavaju iusporilo starenje zašto sem vrv morao redovno podvrgavaš tom nekom sranju skupo makar prvih decenija ogromna većina mogla priušti stvorilo gomilu problema postojeće,drustvo,1
 moguće kroz medicinu tehnologiju kroz prosvetљeњe novi nivo svesti novi nacin funkcionisaњa verovatno bismo morali pronaći smisao života bar blizu ,drustvo,1
verovatno bismo morali pronaći smisao života bar blizu httpsvukajlijacomforumtemeulibartvojidugovastranapost,drustvo,1
a ti rekao jebeno besmrtan nisi odradio setio,drustvo,1
metafizika svetlost,drustvo,1
 misliš besmrtan besmrtni vukajlije besmrtna pokojna baba stojna zakopali jeste desilo njom,drustvo,1
jebeno skreneš besmrtnost godina većina stanovnika psihički odlepljena kome ,drustvo,1
šmokljo identifikuješ nečim ultimativno nisi ti probam ti dokažem sledeći način jesi ti ruka jesi ti mozak jesi ti tvog tela ti jedino ti celina ruku odsečeš ostaješ dalje ti ruke nisi ruka mozgom nemoj a živeti mozga postoje primeri nekih ljudi živeli duge relativno zdrave živote leve desne hemisfere delove tela oljuštiš glavicu luka kraju ostaje ti ti a ti paradoks iluzija kontra sama nepojmljiva pojava vidi izgleda prava istina ti ti ja ti forum ti ja nažalost hotul get point all is self telo sutra zanavijek sklopi oči ja držim otvorene svestan stvarno besmrtan krajnjem slučaju teatar ikada dođe nekog scenarija pobiti meteor uspeti skroz naskroz uništi ostaje besmrtna svest zakuvala prvom mestu vrv voajerisala samu znaš uvrnuti lol dosadi bleji jedinstvu ponoviće proces podele proizvesti novo seme života geometrijski kodirano a kodovi ištampani prirodi samima pitanje ćeš konačno uspeti ponovo vidiš magle kojom ti tamna strana maže oči,drustvo,2
daj dokaz izasrao,drustvo,2
httpsyoutubezroozokbe,drustvo,1
besmrtnost jedino moguća uz duboko spoznanje božijih zakona hristove nauke kroz razumevanje vaskrsenja,drustvo,2
ma ok al ja lično neću budem živ zabole svest nastavi postoji čista nedokazana baljezgarija btw telo dotrajalo ja nemam ja neću osetim ti tvrdiš istina a nemaš dokaze kapiraš neću imati oči vidim uši čujem mozak procesuiram neću postojati bukvalno kakva svest ostala neopipljiva nedokaziva sranja,drustvo,2
 ćeš imati postojanje drugim dimenzijama ti neshvatljivo svet posmatraš perspektive ljudskih čula,drustvo,2
svest primarna šmokljo plašim nemaš izlaza,drustvo,1
httpswwwqummulatorcomwpcontentthemesqummulatorimgteslaquotejpg,drustvo,1
nemoj a živeti mozga postoje primeri nekih ljudi živeli duge relativno zdrave živote leve desne hemisfere delove tela oljuštiš glavicu luka kraju ostaje a primera ljudi ziveli obe hemisfere mozga pitam druga,drustvo,1
 ti melkor brt npr,drustvo,1
 ljude jedna kokoška živela meseci glave jebeno httpswwwbbccomnewsmagazine,drustvo,1
pise gateway,drustvo,2
poremećeni antivakser napiše normalna osoba daj dokaz učio škola eksperiment proveo poremećeni antivakser youtube link slap,drustvo,1
sevaste živeti bel leve hemisfere živeti desne hemisfere dokazuje život zavisi mozga tom slučaju srcem jbt,drustvo,1
 naso kokosku vikipediji kaze sledece on september farmer lloyd olsen of fruita colorado was planning eat supper his motherinlaw was sent out yard by his wife bring back a chicken olsen chose a fiveandahalfmonthold wyandotte chicken named mike axe removed bulk of head but missed jugular vein leaving ear most of brain stem intact,drustvo,2
probaj editovo ,drustvo,1
brain stem but brain,drustvo,2
although most of his head was severed most of his brain stem ear were left on his body since basic functions breathing heart rate etc as well as most of a chickens reflex actions are controlled by brain stem mike was able remain quite healthy this is a good example of central motor generators enabling basic homeostatic functions be carried out in absence of higher brain centres in addition birds possess a secondary balance organ in pelvic region lumbosacral organ which controls walking locomotion virtually independently from vestibular organ involved in flight this has been used explain how a headless chicken can walk balance despite destruction of much of cranial vestibular system,drustvo,1
au pročitao prvu rec iznervirao instant mislio pises post a kopirao ,drustvo,1
ejdus ćeš imati postojanje drugim dimenzijama ti neshvatljivo svet posmatraš perspektive ljudskih čula odakle znaš ti shvatljivo a a pišete gluposti,drustvo,1
 de kokošku teško dokazati poentu priče identifikovati ti kojim delom svog tela uključujući mozak živiš desnom hemisferom desna hemisfera ovi drugi žive levom hemisferom,drustvo,1
 de kokošku teško dokazati poentu priče identifikovati ti kojim delom svog tela uključujući mozak živiš desnom hemisferom desna hemisfera ovi drugi žive levom hemisferom slazem identifikovati ni jednim svojim delom naucnofantasticnu poentu hoces izvedes potrebno brt razumeo ti tvrdis svest vecna fizicke smrti postoji isprogramirana svest otelotvori razumeo jesam stvarno mislis navedes primera ljudi ziveli jedne hemisfere mozga zakljucis svest postoji vecno eto resili jednu najvecih misterija univerzuma jebali mu kevu yt video tome znaci solved archived,drustvo,1
daj pročitaj početni post jednom leba ti ponavljam,drustvo,1
 svest duša mani tih komunjarsko ciganskih termina čuj svest jebene komunjare,drustvo,2
httpsyoutubewvjagrubfw gledaj ovako pesak tabli e ti fizičko telo a frekvencija oblikuje jeste duneš sav pesak table ostaje,drustvo,1
 svest duša mani tih komunjarsko ciganskih termina čuj svest jebene komunjare kakav rednečki komentar nekoga navijač kosmopolitskog avantgarde kluba,drustvo,2
svest duša potpuno svejedno bombaš termini ovoj debati zajebani al daj držimo osnovne retorike a postoji,drustvo,2
 primarno,drustvo,2
dobra fora gambore zašto ljudi dalje veruju meteor cima pobije gledali pobegnu negde pod zemlju prežive iako ponudi bog postoji ni najmanje sumnjam uverio ličnim primerima suviše lični pisao takodje poznajem suviše ljudi doživeli razna neobjašnjiva čuda usudio dovodim pitanje proučavao vremenom svašta budizam islam filozofe kastanedu njuejdž istočnjački okultizam vratio pravoslavlju zapravo tek otkrivam svašta mučilo npr duše ljudi nikada čuli hrista nakon smrti no našao odgovor novom zavetu postoji medjutim jedna druga problematika naime dučić voleo kaže majke učile očenaš drugo očevi a naročito popovi nikada privoleli čemu ljudi majke bar uputile hrišćanstvo uglavnom čeka ateizam trnovit put pun nevolja izgubljenosti praznine heroine svačega lično četvoricu bivših ultra ateista najčudnije načine dospeli hrišćanstva postao sveštenik,drustvo,2
 debata zajebana argumenti nekako igraju najmanju ulogu reče hrist ja došao zemlju donesem mir mač rastavim sina oca muža žene naravno tek vaditi konteksta opasno teško drugi dovesti spoznaje hrista čega drugog dajte ateistu dva sata napraviti vernika v jerotić put uglavnom krećeš potrebu tim zanimajte tražite čitajtepopovi vladike patrijarsi teško vam pomoći naprotiv,drustvo,1
svest duša potpuno svejedno bombaš termini ovoj debati zajebani al daj držimo osnovne retorike a postoji svest postoji iskoristiću naučne termine iako većina veze naukom mojega po nekim naučnim žurnalima veza jednom ljudskom mozgu atoma celom svemiru pripisuje evoluciji ja nemam dalje razgovaram,drustvo,1
post molitva bojte dužim dalje,drustvo,1
jahahahahah čekaj svest postoji svesni duša svesna,drustvo,2
po nekim naučnim žurnalima veza jednom ljudskom mozgu atoma celom svemiru pripisuje evoluciji ja nemam dalje razgovaram ajde sedi razmisli upravo napisao,drustvo,2
konkretno po nekim naučnim žurnalima veza jednom ljudskom mozgu atoma celom svemiru,drustvo,2
 ajde sedi razmisli,drustvo,1
svesno,drustvo,2
bog postoji postoji tbh,drustvo,2
popovi vladike patrijarsi teško vam pomoći naprotiv praštajte gluplje pročitao skorije vreme skoro celo znanje ljudskog roda zasniva učenju unapređivanju prethodnih iskustava izjaviš stekao znanje jednog hirurga kući učeći youtubea naravno slušati onoga nekoj temi a veri ljudi crkve ti pričaš budističkojoga sranja odvesri nikuda osim propast ljudi rukopoloženi znaš ukratko isus položio ruku apostole zaduženi dalje prenose učenje samim tim dodiru božanskim orginalnih rukopoložilo sledećih dalje današnjih dana rukopolaže episkop pop ulici monah božanski dodir generalno učiti nepotrebnosti sveštenstva duhovnom životu duboko pogrešno usuđujem reći satanističko moraš kažeš siguran roditelje komunisti,drustvo,1
iskreno nadam bomby troluje ovim religija sveštenstvo powerslavlje spikama mozak procesuira ista glava odgovorna stavove dzvedza mimove,drustvo,2
ljudi rasprava vodi ničemu vidimo zauvek godini kvantnoj sajberpank vukajliji budem pisao kakvo bahanalisanje marsu ,drustvo,1
